"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV GT-line 4X2 DCT 136CV","","Híbridos de gasóleo","M1","2200","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X2 136CV","","Híbridos de gasóleo","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X2 136CV Techo","","Híbridos de gasóleo","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X2 DCT 136CV","","Híbridos de gasóleo","M1","2200","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X2 DCT 136CV Pack Luxury","","Híbridos de gasóleo","M1","2200","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X4 136CV","","Híbridos de gasóleo","M1","2150","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X4 136CV Pack Luxury","","Híbridos de gasóleo","M1","2150","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X4 DCT 136CV","","Híbridos de gasóleo","M1","2225","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X4 DCT 136CV Pack Luxury","","Híbridos de gasóleo","M1","2225","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi Concept 4X2 150CV","","Gasolina","M1","2085","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi Drive 4X2 150CV","","Gasolina","M1","2085","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi Drive 4X2 150CV Pack Design","","Gasolina","M1","2085","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Drive 4X2","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Drive 4X2 Pack Design","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV GT-line 4X2","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV GT-line 4X4","","Híbridos de gasolina","M1","2245","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Launch Edition 4X2","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Tech 4X2","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Tech 4X2 Pack Luxury","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Tech 4X4","","Híbridos de gasolina","M1","2245","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Tech 4X4 Pack Luxury","","Híbridos de gasolina","M1","2245","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Drive 4X2 150CV","","Híbridos de gasolina","M1","2120","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Drive 4X2 150CV Pack Design","","Híbridos de gasolina","M1","2120","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV GT-line 4X2 DCT 150CV","","Híbridos de gasolina","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV GT-line 4X4 DCT 180CV","","Híbridos de gasolina","M1","2210","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X2 150CV","","Híbridos de gasolina","M1","2120","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X2 150CV Techo","","Híbridos de gasolina","M1","2120","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X2 DCT 150CV","","Híbridos de gasolina","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X2 DCT 150CV Pack Luxury","","Híbridos de gasolina","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X4 DCT 180CV","","Híbridos de gasolina","M1","2210","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X4 DCT 180CV Pack Luxury","","Híbridos de gasolina","M1","2210","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi PHEV Drive 4X4","","Híbridos enchufables","M1","2415","16.9","66.9","70.0","13.8"
"Kia NUEVO SPORTAGE 1.6 T-GDi PHEV Drive 4X4 Pack Design","","Híbridos enchufables","M1","2415","16.9","66.9","70.0","13.8"
"Kia NUEVO SPORTAGE 1.6 T-GDi PHEV GT-line 4X4","","Híbridos enchufables","M1","2415","16.9","66.9","70.0","13.8"
"Kia NUEVO SPORTAGE 1.6 T-GDi PHEV Tech 4X4","","Híbridos enchufables","M1","2415","16.9","66.9","70.0","13.8"
"Kia NUEVO SPORTAGE 1.6 T-GDi PHEV Tech 4X4 Pack Luxury","","Híbridos enchufables","M1","2415","16.9","66.9","70.0","13.8"
"Kia OPTIMA PHEV 2.0 GDi PHEV","","Híbridos enchufables","M1","2200","122.0","50.0","54.0","27.2"
"Kia PICANTO 1.0 CVVT Concept (4p) Eco-Dynamics","","Gasolina","M1","1300","","","",""
"Kia PICANTO 1.0 CVVT Concept (Pack Confort) (4p) Eco-Dynamics","","Gasolina","M1","1300","","","",""
"Kia PICANTO 1.0 CVVT GT Line (4p) Eco-Dynamics","","Gasolina","M1","1300","","","",""
"Kia PICANTO 1.0 DPI AMT GT Line (Advanced Driving Assistance Pack) Eco-Dynamics","","Gasolina","M1","1405","","","",""
"Kia PICANTO 1.0 DPI CONCEPT (MY22)","","Gasolina","M1","1400","","","",""
"Kia PICANTO 1.0 DPI GT Line (Advanced Driving Assistance Pack) Eco-Dynamics","","Gasolina","M1","1400","","","",""
"Kia PICANTO 1.0 DPI GT LINE AMT (MY22)","","Gasolina","M1","1405","","","",""
"Kia PICANTO 1.0 DPI GT LINE MY22 (MY22)","","Gasolina","M1","1400","","","",""
"Kia PICANTO 1.0 T-GDi GT Line (Advanced Driving Assistance Pack) Eco-Dynamics","","Gasolina","M1","1450","","","",""
"Kia PICANTO 1.0 T-GDI GT LINE (MY22)","","Gasolina","M1","1450","","","",""
"Kia PICANTO 1.0 T-GDI X LINE (MY22)","","Gasolina","M1","1450","","","",""
"Kia PICANTO 1.0 T-GDi X-Line (Advanced Driving Assistance Pack) Eco-Dynamics","","Gasolina","M1","1450","","","",""
