"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Kia Canarias Rio 1.2DPI 63kW(85cv) 2wd 5MT FLEX connect {MY21}","","Gasolina","M1","1570","","","",""
"Kia Canarias Rio 1.2DPI 63kW(85cv) 2wd 5MT GT-LINE (+pack LEDs) {MY21}","","Gasolina","M1","1570","","","",""
"Kia Canarias Rio 1.2DPI 63kW(85cv) 2wd 5MT GT-LINE {MY21}","","Gasolina","M1","1570","","","",""
"Kia Canarias Rio 1.2MPI 63kW(85cv) 2wd 5MT ACTIVE {MY20}","","Gasolina","M1","1560","","","",""
"Kia Canarias Rio 1.4MPI 74kW(100cv) 2wd 6MT ACTIVE {MY20}","","Gasolina","M1","1580","","","",""
"Kia Canarias Rio 1.4MPI 74kW(100cv) 2wd 6MT GT-LINE SPORT {MY20}","","Gasolina","M1","1590","","","",""
"Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 2wd 6AT KLASS {MY21}","","Híbridos de gasolina","M1","2580","","44.0","","1.8"
"Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 2wd 6AT SPIRIT {MY21}","","Híbridos de gasolina","M1","2580","","44.0","","1.8"
"Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 4wd 6AT KLASS {MY21}","","Híbridos de gasolina","M1","2610","","44.0","","1.8"
"Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 4wd 6AT SPIRIT {MY21}","","Híbridos de gasolina","M1","2610","","44.0","","1.8"
"Kia Canarias Sorento 1.6TGDI-PHEV 195kW(265cv) 4wd 6AT KLASS {MY21}","","Híbridos enchufables","M1","2680","18.4","67.0","57.0","13.8"
"Kia Canarias Sorento 1.6TGDI-PHEV 195kW(265cv) 4wd 6AT SPIRIT {MY21}","","Híbridos enchufables","M1","2680","18.4","67.0","57.0","13.8"
"Kia Canarias Sorento 2.2CRDI 148kW(202cv) 2wd 8DCT SPIRIT {MY21}","","Gasóleo","M1","2458","","","",""
"Kia Canarias Sportage 1.6CRDI 100kW(136cv) 2wd 6MT OPEN SPIRIT {MY20}","","Gasóleo","M1","2120","","","",""
