"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Fiat 500X 120th Aniversario 1.6 E-Torq 81KW (110 CV) 4x2 S&S","","Gasolina","M1","1275","","","",""
"Fiat 500X 120th Aniversario 1.6 MultiJet 88KW (120 CV) 4x2 S&S","","Gasóleo","M1","1320","","","",""
"Fiat 500X City Cross 1,0 Firefly T3 88KW (120 cv) S&S","","Gasolina","M1","1320","","","",""
"Fiat 500X City Cross 1,3 Firefly T4 110KW (150 cv) S&S DCT","","Gasolina","M1","1320","","","",""
"Fiat 500X City cross 1.3 MultiJet 70KW (95 CV) 4x2 S&S","","Gasóleo","M1","1320","","","",""
"Fiat 500X City Cross 1.6 E-Torq 81KW (110 CV) 4x2 S&S","","Gasolina","M1","1275","","","",""
"Fiat 500X City cross 1.6 Mjet 88KW (120 cv) S&S","","Gasóleo","M1","1320","","","",""
"Fiat 500X City cross 1.6 Mjet 88KW (120 cv) S&S DCT","","Gasóleo","M1","1320","","","",""
"Fiat 500X Club 1.0 Firefly T3 88kW (120cv)","","Gasolina","M1","1290","","","",""
"Fiat 500X Club 1.5 MHEV 97kW (130cv) DDCT","","Híbridos de gasolina","M1","1405","","","",""
"Fiat 500X Club 1.6 MultiJet 97kW (130cv)","","Gasóleo","M1","1320","","","",""
"Fiat 500X Cross 1,0 Firefly T3 88KW (120 cv) S&S","","Gasolina","M1","1320","","","",""
"Fiat 500X Cross 1,3 Firefly T4 110KW (150 cv) S&S DCT","","Gasolina","M1","1320","","","",""
"Fiat 500X Cross 1.0 Firefly T3 88kW (120cv)","","Gasolina","M1","1290","","","",""
"Fiat 500X Cross 1.5 MHEV 97kW (130cv) DDCT","","Híbridos de gasolina","M1","1405","","","",""
"Fiat 500X Cross 1.6 Mjet 88KW (120hp) DCT S&S","","Gasóleo","M1","1320","","","",""
"Fiat 500X Cross 1.6 Mjet 88KW (120hp) S&S","","Gasóleo","M1","1320","","","",""
"Fiat 500X Cross 1.6 MultiJet 97kW (130cv) S&S","","Gasóleo","M1","1320","","","",""
"Fiat 500X Cross 2.0 Mjet 110KW (150hp) AT 4x4 S&S","","Gasóleo","M1","1495","","","",""
"Fiat 500X Cult 1.0 Firefly T3 88kW (120cv)","","Gasolina","M1","1290","","","",""
