"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"MG MG ZS EV MG ZS EV (105 kW) MY2019","","Eléctricos puros","M1","1966","17.9","105.0","267.0","44.5"
"MG MG ZS EV MG ZS EV (105 kW) MY2020","","Eléctricos puros","M1","1966","17.9","105.0","267.0","44.5"
"MG MG ZS EV MG ZS EV (115 kW)","","Eléctricos puros","M1","2070","17.8","115.0","440.0","72.0"
"MG MG ZS EV MG ZS EV (130 kW)","","Eléctricos puros","M1","2060","17.3","130.0","320.0","51.0"
"MG MG ZS MG ZS (78 kW)","","Gasolina","M1","1695","","","",""
"MG MG ZS MG ZS (82 kW)","","Gasolina","M1","1730","","","",""
"MG MG ZS MG ZS (82 kW) AT","","Gasolina","M1","1730","","","",""
"MG MG4 Electric 170 CV (125 kW) AF5LKEAA","","Eléctricos puros","M1","2083","16.7","125.0","351.0","51.0"
"MG MG4 Electric 170 CV (125 kW) STD: AF5LKEA","","Eléctricos puros","M1","2103","16.7","125.0","351.0","51.0"
"MG MG4 Electric 203 CV (150 kW) COM: BF5LKEB","","Eléctricos puros","M1","2133","15.7","150.0","453.0","64.0"
"MG MG4 Electric 203 CV (150 kW) LUX: BF5LKEE","","Eléctricos puros","M1","2133","16.5","150.0","436.0","64.0"
"MG MG4 Electric 204 CV (150 kW) BF5LKE??","","Eléctricos puros","M1","2113","15.7","150.0","464.0","64.0"
"MG MG4 Electric 245 CV (180 kW) CF5LKE?E","","Eléctricos puros","M1","2209","16.0","180.0","523.0","77.0"
"MG MG4 Electric 435 CV (320 kW) DF5LKE?D","","Eléctricos puros","M1","2261","18.0","320.0","397.0","66.0"
"MG MG5 Electric 115 kW (01-LSJ-I)","","Eléctricos puros","M1","2017","15.8","115.0","402.0","61.1"
"MG MG5 Electric 115 kW (03-LSJ-I)","","Eléctricos puros","M1","2017","16.7","115.0","380.0","61.1"
"MG MG5 Electric 115 kW (05-LSJ-I)","","Eléctricos puros","M1","2017","17.0","115.0","402.0","61.1"
"MG MG5 Electric 115 kW (07-LSJ-I)","","Eléctricos puros","M1","2017","17.6","115.0","390.0","61.1"
"MG MG5 Electric 130 kW (02-LSJ-I)","","Eléctricos puros","M1","2017","16.8","130.0","324.0","50.3"
"MG MG5 Electric 130 kW (04-LSJ-I)","","Eléctricos puros","M1","2017","17.2","130.0","318.0","50.3"
"MG MG5 Electric 130 kW (06-LSJ-I)","","Eléctricos puros","M1","2017","17.4","130.0","321.0","50.3"
"MG MG5 Electric 130 kW (08-LSJ-I)","","Eléctricos puros","M1","2017","17.9","130.0","310.0","50.3"
"MICRO MICROLINO COMPETIZIONE","","Eléctricos puros","L7e","750","13.9","12.5","177.0","10.5"
"MICRO MICROLINO DOLCE","","Eléctricos puros","L7e","750","13.9","12.5","177.0","10.5"
"MICRO MICROLINO PIONEER","","Eléctricos puros","L7e","750","13.9","12.5","177.0","10.5"
"MINI 3 puertas COOPER AUTOMÁTICO","","Gasolina","M1","1610","","","",""
"MINI 3 puertas COOPER MANUAL","","Gasolina","M1","1590","","","",""
"MINI 3 puertas COOPER S AUTOMÁTICO","","Gasolina","M1","1645","","","",""
"MINI 3 puertas COOPER SE","","Eléctricos puros","M1","1775","15.3","135.0","233.0","32.6"
"MINI 3 puertas JOHN COOPER WORKS AUTOMÁTICO","","Gasolina","M1","1710","","","",""
"MINI 5 puertas COOPER AUTOMÁTICO","","Gasolina","M1","1740","","","",""
"MINI 5 puertas COOPER MANUAL","","Gasolina","M1","1740","","","",""
"MINI 5 puertas COOPER S AUTOMÁTICO","","Gasolina","M1","1775","","","",""
