"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Goupil G4-L plomo 15,4 N1 PB + riego","","Eléctricos puros","N1","2100","22.0","16.5","83.0","15.4"
"Goupil G4-L plomo 15,4 N1 PF","","Eléctricos puros","N1","2100","21.7","16.5","84.0","15.4"
"Goupil G4-L plomo 8,6 L7e CAJA SATÉLITE","","Eléctricos puros","L7e","2100","17.1","16.5","54.0","8.6"
"Goupil G4-L plomo 8,6 L7e FURGÓN","","Eléctricos puros","L7e","2100","17.1","16.5","54.0","8.6"
"Goupil G4-L plomo 8,6 L7e MIXTO FURGON","","Eléctricos puros","L7e","2100","16.5","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 L7e MIXTO PB + ASPIR.","","Eléctricos puros","L7e","2100","16.5","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 L7e MIXTO PB + COFRE","","Eléctricos puros","L7e","2100","16.5","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 L7e MIXTO PB + GRUA","","Eléctricos puros","L7e","2100","16.5","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 L7e MIXTO PB + HP 200","","Eléctricos puros","L7e","2100","16.5","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 L7e MIXTO PF + HP 200","","Eléctricos puros","L7e","2100","16.2","16.5","57.0","8.6"
"Goupil G4-L plomo 8,6 L7e PB","","Eléctricos puros","L7e","2100","16.6","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 L7e PB + HP 500","","Eléctricos puros","L7e","2100","16.6","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 L7e PB + riego","","Eléctricos puros","L7e","2100","16.6","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 L7e PF","","Eléctricos puros","L7e","2100","16.3","16.5","57.0","8.6"
"Goupil G4-L plomo 8,6 N1 CAJA SATÉLITE","","Eléctricos puros","N1","2100","17.1","16.5","54.0","8.6"
"Goupil G4-L plomo 8,6 N1 FURGÓN","","Eléctricos puros","N1","2100","17.1","16.5","54.0","8.6"
"Goupil G4-L plomo 8,6 N1 MIXTO FURGON","","Eléctricos puros","N1","2100","16.5","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 N1 MIXTO PB + ASPIR.","","Eléctricos puros","N1","2100","16.5","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 N1 MIXTO PB + COFRE","","Eléctricos puros","N1","2100","16.5","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 N1 MIXTO PB + GRUA","","Eléctricos puros","N1","2100","16.5","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 N1 MIXTO PB + HP 200","","Eléctricos puros","N1","2100","16.5","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 N1 MIXTO PF + HP 200","","Eléctricos puros","N1","2100","16.2","16.5","57.0","8.6"
"Goupil G4-L plomo 8,6 N1 PB","","Eléctricos puros","N1","2100","16.6","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 N1 PB + HP 500","","Eléctricos puros","N1","2100","16.6","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 N1 PB + riego","","Eléctricos puros","N1","2100","16.6","16.5","56.0","8.6"
"Goupil G4-L plomo 8,6 N1 PF","","Eléctricos puros","N1","2100","16.3","16.5","57.0","8.6"
"Goupil G5 E Litio Goupil G5 E Litio CAJA SATÉLITE","","Eléctricos puros","N1","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio CAJA SATÉLITE","","Eléctricos puros","L7e","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio CHASIS CABINA","","Eléctricos puros","N1","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio CHASIS CABINA","","Eléctricos puros","L7e","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio FURGON","","Eléctricos puros","N1","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio FURGON","","Eléctricos puros","L7e","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio MIXTO PB + ASP,","","Eléctricos puros","N1","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio MIXTO PB + ASP,","","Eléctricos puros","L7e","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio MIXTO PB + HP 200","","Eléctricos puros","N1","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio MIXTO PB + HP 200","","Eléctricos puros","L7e","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio PB","","Eléctricos puros","N1","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio PB","","Eléctricos puros","L7e","2100","13.1","11.0","201.0","19.0"
"Goupil G5 E Litio Goupil G5 E Litio PB + HP 500","","Eléctricos puros","N1","2100","13.1","11.0","201.0","19.0"
