"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Nissan Qashqai 1.3DIG-T 140CV 2WD MT N-CONNECTA ANTIGUO","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 140CV 2WD MT N-CONNECTA EURO6D-FULL","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 140CV 2WD MT N-STYLE EURO6D-FULL","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 140CV 2WD MT N-TEC","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 140CV 2WD MT Q-LINE","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 140CV 2WD MT TEKNA","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 140CV 2WD MT TEKNA+","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 140CV 2WD MT VISIA","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT ACENTA","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT ACENTA EURO6D-FULL","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT ACENTA LLANTA 18","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT ACENTA LLANTA 18","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT ACENTA LLANTA 18 ANTIGUO","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT N-CONNECTA","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT N-CONNECTA","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT N-CONNECTA ANTIGUO","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT N-CONNECTA EURO6D-FULL","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT N-STYLE EURO6D-FULL","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT N-TEC","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT Q-LINE","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT TEKNA","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD DCT TEKNA+","","Gasolina","M1","1885","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD MT ACENTA","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD MT ACENTA LLANTA 18","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD MT ACENTA LLANTA 18 ANTIGUO","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD MT N-CONNECTA","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD MT N-CONNECTA","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD MT N-TEC","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD MT Q-LINE","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD MT TEKNA","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.3DIG-T 160CV 2WD MT TEKNA+","","Gasolina","M1","1870","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD DCT ACENTA","","Gasóleo","M1","1975","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD DCT ACENTA LLANTA 18","","Gasóleo","M1","1975","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD DCT ACENTA LLANTA 18 ANTIGUO","","Gasóleo","M1","1975","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD DCT N-CONNECTA","","Gasóleo","M1","1975","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD DCT N-CONNECTA ANTIGUO","","Gasóleo","M1","1975","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD DCT N-TEC","","Gasóleo","M1","1975","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD DCT Q-LINE","","Gasóleo","M1","1975","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD DCT TEKNA","","Gasóleo","M1","1975","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD DCT TEKNA+","","Gasóleo","M1","1975","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD MT ACENTA","","Gasóleo","M1","1955","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD MT ACENTA LLANTA 18","","Gasóleo","M1","1955","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD MT ACENTA LLANTA 18 ANTIGUO","","Gasóleo","M1","1955","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD MT TEKNA+","","Gasóleo","M1","1955","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD MT VISIA","","Gasóleo","M1","1955","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD MTN-CONNECTA","","Gasóleo","M1","1955","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD MTN-CONNECTA ANTIGUO","","Gasóleo","M1","1955","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD N-TEC","","Gasóleo","M1","1955","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD Q-LINE","","Gasóleo","M1","1955","","","",""
"Nissan Qashqai 1.5dCi 115CV 2WD TEKNA","","Gasóleo","M1","1955","","","",""
"Nissan Qashqai 1.7dCi 150CV 2WD MT ACENTA","","Gasóleo","M1","2020","","","",""
"Nissan Qashqai 1.7dCi 150CV 2WD MT ACENTA LLANTA 18","","Gasóleo","M1","2020","","","",""
"Nissan Qashqai 1.7dCi 150CV 2WD MT N-CONNECTA","","Gasóleo","M1","2020","","","",""
"Nissan Qashqai 1.7dCi 150CV 2WD MT N-TEC","","Gasóleo","M1","2020","","","",""
