"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón 35L3H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón 35L3H3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón DRIVER 35L3H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Camión 35 L3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Camión Doble Cabina 35 Heavy L4 7 plazas","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Chasis Cabina 35 Heavy L2S","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Chasis Cabina 35 Heavy L3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Chasis Cabina 35 Heavy L4","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Chasis Cabina 35 L3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Chasis Doble Cabina 35 Heavy L4 7 plazas","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Furgón 35 Heavy L3H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Furgón 35 Heavy L3H3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Furgón 35 Heavy L4H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Furgón 35 Heavy L4H3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Furgón 35L2H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Furgón 35L3H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Furgón 35L3H3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Piso Cabina 35 Heavy L3","","Gasóleo","N1","3500","","","",""
"Citroën Jumpy BlueHDi 100 S&S 6v Doble Cabina Talla M","","Gasóleo","N1","2705","","","",""
"Citroën Jumpy BlueHDi 100 S&S 6v Furgón Talla M","","Gasóleo","N1","2620","","","",""
"Citroën Jumpy BlueHDi 100 S&S 6v Furgón Talla XS","","Gasóleo","N1","2610","","","",""
"Citroën Jumpy BlueHDi 100 S&S 6v Furgón Talla XS","","Gasóleo","N1","2620","","","",""
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M  Driver","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M  Worker","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M Control","","Gasóleo","N1","2645","","","",""
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M Doble Cabina","","Gasóleo","N1","3060","","","",""
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M Doble Cabina Control","","Gasóleo","N1","2680","","","",""
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla XL","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla XS CityVan","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla XS Club","","Gasóleo","N1","2650","","","",""
"Citroën Jumpy BlueHDi 145 S&S 6v Furgón Talla M Club","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 145 S&S 6v Furgón Talla M Control","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 145 S&S 6v Furgón Talla M Doble Cabina Abatible Control","","Gasóleo","N1","3030","","","",""
"Citroën Jumpy BlueHDi 145 S&S 6v Furgón Talla XL Club","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 145 S&S 6v Furgón Talla XL Control","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 145 S&S 6v Furgón Talla XL Doble Cabina Abatible Control","","Gasóleo","N1","3030","","","",""
"Citroën Jumpy BlueHDi 145 S&S EAT8 Furgón Talla M Club","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 150 S&S 6v Furgón Talla XL Club","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy Combi BlueHDI 120 S&S 6v Talla M","","Gasóleo","M1","2700","","","",""
"Citroën Jumpy Combi BlueHDI 120 S&S 6v Talla XL","","Gasóleo","M1","2740","","","",""
"Citroën Jumpy Combi BlueHDI 120 S&S 6v Talla XS","","Gasóleo","M1","2660","","","",""
"Citroën Jumpy Combi BlueHDI 140 S&S 6v Talla M","","Gasóleo","M1","2760","","","",""
"Citroën Jumpy Combi BlueHDI 140 S&S 6v Talla XL","","Gasóleo","M1","2790","","","",""
"Citroën Jumpy Combi BlueHDi 150  S&S 6v Talla XL","","Gasóleo","M1","2785","","","",""
"Citroën Jumpy Combi BlueHDi 150 S&S 6v Talla M","","Gasóleo","M1","2750","","","",""
"Citroën Nuevo C3 BlueHDi 100 S&S 6v","","Gasóleo","M1","1675","","","",""
"Citroën Nuevo C3 PureTech 110 S&S 6v","","Gasolina","M1","1605","","","",""
"Citroën Nuevo C3 PureTech 110 S&S EAT6","","Gasolina","M1","1645","","","",""
"Citroën Nuevo C3 PureTech 83 S&S","","Gasolina","M1","1475","","","",""
"Citroën Nuevo C4 BlueHDi 110 S&S 6v","","Gasóleo","M1","1760","","","",""
