"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"SEAT Ateca 1.5 EcoTSI 150CV St&Sp STYLE s48","","Gasolina","M1","1900","","","",""
"SEAT Ateca 1.5 EcoTSI 150CV St&Sp XCELLENCE","","Gasolina","M1","1900","","","",""
"SEAT Ateca 1.5 EcoTSI 150CV St&Sp XCELLENCE EDITION","","Gasolina","M1","1900","","","",""
"SEAT Ateca 1.5 EcoTSI 150CV St&Sp XCELLENCE EDITION s48","","Gasolina","M1","1900","","","",""
"SEAT Ateca 1.5 EcoTSI 150CV St&Sp XCELLENCE s48","","Gasolina","M1","1900","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S FR DCT 4WD MY19","","Gasolina","M1","2050","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S FR DCT MY19","","Gasolina","M1","1920","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S FR EDITION DCT 4WD MY19","","Gasolina","M1","2050","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S FR EDITION DCT MY19","","Gasolina","M1","1920","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S FR EDITION MY19","","Gasolina","M1","1900","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S FR MY19","","Gasolina","M1","1900","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S STYLE DCT MY19","","Gasolina","M1","1920","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S STYLE EDITION DCT MY19","","Gasolina","M1","1920","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S STYLE EDITION MY19","","Gasolina","M1","1900","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S STYLE MY19","","Gasolina","M1","1900","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S XCELLENCE DCT 4WD MY19","","Gasolina","M1","2050","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S XCELLENCE DCT MY19","","Gasolina","M1","1920","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S XCELLENCE ED DCT MY19","","Gasolina","M1","1920","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S XCELLENCE ED. MY19","","Gasolina","M1","1900","","","",""
"SEAT Ateca 1.5 TSI 110KW S/S XCELLENCE MY19","","Gasolina","M1","1900","","","",""
"SEAT Ateca 1.5 TSI 110KW XCELLENCE ED. DCT 4WD MY19","","Gasolina","M1","2050","","","",""
"SEAT Ateca 1.6 TDI 85KW S/S REFERENCE ECOMOTIVE MY19","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI 85KW S/S REFERENCE EDITION ECO MY19","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI 85KW S/S STYLE ECOMOTIVE DCT MY19","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 1.6 TDI 85KW S/S STYLE ECOMOTIVE MY19","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI 85KW S/S STYLE EDITION DCT MY19","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 1.6 TDI 85KW S/S STYLE EDITION ECO MY19","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI 85KW S/S XCELLENCE ECOMOTIVE DCT MY19","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 1.6 TDI 85KW S/S XCELLENCE ECOMOTIVE MY19","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI 85KW S/S XCELLENCE ED. DCT MY19","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 1.6 TDI 85KW S/S XCELLENCE ED. MY19","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV DSG St&Sp STYLE Ecomotive","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 1.6 TDI CR 115CV DSG St&Sp STYLE EDITION Ecomotive","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 1.6 TDI CR 115CV DSG St&Sp XCELLENCE Ecomotive","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 1.6 TDI CR 115CV DSG St&Sp XCELLENCE EDITION Ecomotive","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp REFERENCE Ecomotive","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp REFERENCE Ecomotive s48","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp REFERENCE EDITION Ecomotive","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp REFERENCE EDITION Ecomotive s48","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp STYLE Ecomotive","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp STYLE Ecomotive s48","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp STYLE EDITION Ecomotive","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp STYLE EDITION Ecomotive s48","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp XCELLENCE Ecomotive","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp XCELLENCE Ecomotive s48","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp XCELLENCE EDITION Ecomotive","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 1.6 TDI CR 115CV St&Sp XCELLENCE EDITION Ecomotive s48","","Gasóleo","M1","1970","","","",""
"SEAT Ateca 2.0 EcoTSI 140kW (190CV) DSG-7 4DRIVE St&Sp FR","","Gasolina","M1","2090","","","",""
"SEAT Ateca 2.0 EcoTSI 140kW (190CV) DSG-7 4DRIVE St&Sp FR","","Gasolina","M1","2100","","","",""
"SEAT Ateca 2.0 EcoTSI 140kW (190CV) DSG-7 4DRIVE St&Sp FR  XL MY23","","Gasolina","M1","2090","","","",""
"SEAT Ateca 2.0 EcoTSI 140kW (190CV) DSG-7 4DRIVE St&Sp FR GO","","Gasolina","M1","2100","","","",""
"SEAT Ateca 2.0 EcoTSI 140kW (190CV) DSG-7 4DRIVE St&Sp FR GO","","Gasolina","M1","2090","","","",""
"SEAT Ateca 2.0 EcoTSI 140kW (190CV) DSG-7 4DRIVE St&Sp FR GO MY22","","Gasolina","M1","2090","","","",""
"SEAT Ateca 2.0 EcoTSI 140kW (190CV) DSG-7 4DRIVE St&Sp FR MY22","","Gasolina","M1","2090","","","",""
"SEAT Ateca 2.0 EcoTSI 140kW (190CV) DSG-7 4DRIVE St&Sp FR XM MY23","","Gasolina","M1","2090","","","",""
"SEAT Ateca 2.0 EcoTSI 140kW (190CV) DSG-7 4DRIVE St&Sp FR XS MY23","","Gasolina","M1","2090","","","",""
"SEAT Ateca 2.0 EcoTSI 190CV DSG-7 4DRIVE St&Sp FR","","Gasolina","M1","2080","","","",""
"SEAT Ateca 2.0 EcoTSI 190CV DSG-7 4DRIVE St&Sp FR EDITION","","Gasolina","M1","2080","","","",""
"SEAT Ateca 2.0 EcoTSI 190CV DSG-7 4DRIVE St&Sp FR EDITION s48","","Gasolina","M1","2080","","","",""
"SEAT Ateca 2.0 EcoTSI 190CV DSG-7 4DRIVE St&Sp FR s48","","Gasolina","M1","2080","","","",""
"SEAT Ateca 2.0 EcoTSI 190CV DSG-7 4DRIVE St&Sp XCELLENCE","","Gasolina","M1","2080","","","",""
"SEAT Ateca 2.0 EcoTSI 190CV DSG-7 4DRIVE St&Sp XCELLENCE EDITION","","Gasolina","M1","2080","","","",""
"SEAT Ateca 2.0 EcoTSI 190CV DSG-7 4DRIVE St&Sp XCELLENCE EDITION s48","","Gasolina","M1","2080","","","",""
"SEAT Ateca 2.0 EcoTSI 190CV DSG-7 4DRIVE St&Sp XCELLENCE s48","","Gasolina","M1","2080","","","",""
"SEAT Ateca 2.0 TDI 110KW 4WD FR DCT MY19","","Gasóleo","M1","2010","","","",""
"SEAT Ateca 2.0 TDI 110KW 4WD FR EDITION DCT MY19","","Gasóleo","M1","2010","","","",""
"SEAT Ateca 2.0 TDI 110KW 4WD XCELLENCE DCT MY19","","Gasóleo","M1","2010","","","",""
"SEAT Ateca 2.0 TDI 110KW 4WD XCELLENCE ED DCT MY19","","Gasóleo","M1","2010","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S FR DCT MY19","","Gasóleo","M1","2010","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S FR EDITION DCT MY19","","Gasóleo","M1","2010","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S FR EDITION MY19","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S FR MY19","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S STYLE DCT MY19","","Gasóleo","M1","2010","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S STYLE EDITION DCT MY19","","Gasóleo","M1","2010","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S STYLE EDITION MY19","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S STYLE MY19","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S XCELLENCE DCT MY19","","Gasóleo","M1","2010","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S XCELLENCE ED DCT MY19","","Gasóleo","M1","2010","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S XCELLENCE EDITION MY19","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 2.0 TDI 110KW S/S XCELLENCE MY19","","Gasóleo","M1","1990","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG 4DRIVE St&Sp X-PERIENCE XL MY23","","Gasóleo","M1","2120","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG 4DRIVE St&Sp X-PERIENCE XM MY23","","Gasóleo","M1","2120","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG 4DRIVE St&Sp X-PERIENCE XM MY24","","Gasóleo","M1","2120","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG 4DRIVE St&Sp X-PERIENCE XXL MY23","","Gasóleo","M1","2120","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG 4DRIVE St&Sp X-PERIENCE XXL MY24","","Gasóleo","M1","2120","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp FR","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp FR","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp FR  XL MY23","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp FR GO","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp FR GO","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp FR GO MY22","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp FR MY22","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp FR XM MY23","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp FR XS MY23","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp STYLE","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp STYLE","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp STYLE (Sem.51)","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp STYLE GO","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp STYLE GO","","Gasóleo","M1","2030","","","",""
"SEAT Ateca 2.0 TDI CR 110kW (150CV) DSG St&Sp STYLE GO (Sem.51)","","Gasóleo","M1","2030","","","",""
