"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"BMW X4 X4 xDrive30d (4M31) Auto.07/2020","","Gasóleo","M1","2530","","","",""
"BMW X4 X4 xDrive30d (4M31)Auto.01/2021","","Gasóleo","M1","2530","","8.0","","90.0"
"BMW X4 X4 xDrive30d (61CA) Auto.08/2021","","Gasóleo","M1","2010","","","",""
"BMW X4 X4 xDrive30d Auto.11/2019","","Gasóleo","M1","2500","","","",""
"BMW X4 X4 xDrive30i (2V11)Auto.01/2021","","Gasolina","M1","2400","","","","80.0"
"BMW X4 X4 xDrive30i (31DT) Auto.08/2021","","Gasolina","M1","1890","","","",""
"BMW X4 X4 xDrive30i Auto.11/2019","","Gasolina","M1","2400","","","",""
"BMW X5 M X5 M (JU01)Auto.01/2021","","Gasolina","M1","3000","","","","105.0"
"BMW X5 X5 M Auto.11/2019","","Gasolina","M1","3000","","","",""
"BMW X5 X5 M50d Auto.11/2019","","Gasóleo","M1","3010","","","",""
"BMW X5 X5 M50i (JU41) Auto.07/2020","","Gasolina","M1","2995","","","",""
"BMW X5 X5 M50i (JU41)Auto.01/2021","","Gasolina","M1","2995","","","","80.0"
"BMW X5 X5 M50i Auto.11/2019","","Gasolina","M1","2995","","","",""
"BMW X5 X5 xDrive25d (CV41)Auto.01/2021","","Gasóleo","M1","2820","","","","90.0"
"BMW X5 X5 xDrive25d Auto.11/2019","","Gasóleo","M1","2820","","","",""
"BMW X5 X5 xDrive30d (JU81)Auto.01/2021","","Gasóleo","M1","2940","","8.0","","90.0"
"BMW X5 X5 xDrive30d Auto.11/2019","","Gasóleo","M1","2860","","","",""
"BMW X5 X5 xDrive40d (TH41) Auto.07/2020","","Gasóleo","M1","2940","","","",""
"BMW X5 X5 xDrive40d (TH41)Auto.01/2021","","Gasóleo","M1","2940","","8.0","","90.0"
"BMW X5 X5 xDrive40i (CR61)Auto.01/2021","","Gasolina","M1","2840","","8.0","","90.0"
"BMW X5 X5 xDrive40i Auto.11/2019","","Gasolina","M1","2800","","","",""
"BMW X5 X5 xDrive45e (TA61) Auto.07/2020","","Híbridos enchufables","M1","3150","23.5","80.0","",""
"BMW X5 X5 xDrive45e (TA61)Auto.01/2021","","Híbridos enchufables","M1","3150","","83.0","81.0","80.0"
"BMW X5 X5 xDrive45e Auto.11/2019","","Híbridos enchufables","M1","3150","21.5","83.0","",""
"BMW X5 xDrive40e iPerformance (KT01) Auto. 07/2017","","Híbridos enchufables","M1","2980","15.4","83.0","31.0","9.2"
"BMW X5 xDrive50e xLine 41EU","","Híbridos enchufables","M1","2420","22.9","145.0","110.0","25.7"
"BMW X6 M X6 M (CY01)Auto.01/2021","","Gasolina","M1","3000","","","","105.0"
"BMW X6 X6 M Auto.11/2019","","Gasolina","M1","3000","","","",""
"BMW X6 X6 M50d Auto.11/2019","","Gasóleo","M1","3010","","","",""
"BMW X6 X6 M50i (CY81)Auto.01/2021","","Gasolina","M1","2980","","","","80.0"
"BMW X6 X6 M50i Auto.11/2019","","Gasolina","M1","2975","","","",""
"BMW X6 X6 xDrive30d (GT81) Auto.07/2020","","Gasóleo","M1","2940","","","",""
"BMW X6 X6 xDrive30d (GT81)Auto.01/2021","","Gasóleo","M1","2940","","8.0","","90.0"
"BMW X6 X6 xDrive30d Auto.11/2019","","Gasóleo","M1","2860","","","",""
"BMW X6 X6 xDrive40d (TC61) Auto.07/2020","","Gasóleo","M1","2950","","","",""
"BMW X6 X6 xDrive40d (TC61)Auto.01/2021","","Gasóleo","M1","2950","","8.0","","90.0"
"BMW X6 X6 xDrive40i (CY61) Auto.07/2020","","Gasolina","M1","2800","","","",""
"BMW X6 X6 xDrive40i (CY61)Auto.01/2021","","Gasolina","M1","2840","","8.0","","90.0"
"BMW X6 X6 xDrive40i Auto.11/2019","","Gasolina","M1","2800","","","",""
"BMW X7 X7 M50d Auto.11/2019","","Gasóleo","M1","3290","","","",""
"BMW X7 X7 M50i (CX61)Auto.01/2021","","Gasolina","M1","3295","","","","80.0"
"BMW X7 X7 M50i Auto.11/2019","","Gasolina","M1","3285","","","",""
"BMW X7 X7 xDrive30d Auto.11/2019","","Gasóleo","M1","3220","","","",""
"BMW X7 X7 xDrive40d (TB41) Auto.07/2020","","Gasóleo","M1","3295","","","",""
"BMW X7 X7 xDrive40d (TB41)Auto.01/2021","","Gasóleo","M1","3295","","8.0","","90.0"
"BMW X7 X7 xDrive40i (CW21)Auto.01/2021","","Gasolina","M1","3195","","8.0","","90.0"
"BMW X7 X7 xDrive40i Auto.11/2019","","Gasolina","M1","3155","","","",""
"BMW XM Label Red 31CS","","Híbridos enchufables","M1","2720","35.9","145.0","83.0","25.7"
"BMW Z4 Z4 M40i (HF51) Auto.07/2020","","Gasolina","M1","1860","","","",""
"BMW Z4 Z4 M40i (HF51)Auto.01/2021","","Gasolina","M1","1860","","","","90.0"
"BMW Z4 Z4 M40i Auto.11/2019","","Gasolina","M1","1860","","","",""
"BMW Z4 Z4 sDrive20i (HF11) Auto.07/2020","","Gasolina","M1","1740","","","",""
"BMW Z4 Z4 sDrive20i (HF11) Man.07/2020","","Gasolina","M1","1725","","","",""
"BMW Z4 Z4 sDrive20i (HF11)Auto.01/2021","","Gasolina","M1","1740","","","","80.0"
"BMW Z4 Z4 sDrive20i (HF11)Man.01/2021","","Gasolina","M1","1725","","","","80.0"
"BMW Z4 Z4 sDrive20i Auto.11/2019","","Gasolina","M1","1740","","","",""
"BMW Z4 Z4 sDrive20i Man.11/2019","","Gasolina","M1","1725","","","",""
"BMW Z4 Z4 sDrive30i (HF31) Auto.07/2020","","Gasolina","M1","1740","","","",""
"BMW Z4 Z4 sDrive30i (HF31)Auto.01/2021","","Gasolina","M1","1740","","","","80.0"
"BMW Z4 Z4 sDrive30i Auto.11/2019","","Gasolina","M1","1740","","","",""
"BUXO eURBA II 3500ee","","Eléctricos puros","N3","20000","130.0","243.0","100.0","160.0"
"BUXO eURBA II 3750ee","","Eléctricos puros","N3","20000","130.0","243.0","100.0","160.0"
"BUXO eURBA II 4500ee","","Eléctricos puros","N3","20000","130.0","243.0","100.0","160.0"
"BUXO eURBA III 3500ee","","Eléctricos puros","N3","30000","170.0","243.0","100.0","240.0"
"BUXO eURBA III 3750ee","","Eléctricos puros","N3","30000","170.0","243.0","100.0","240.0"
"BUXO eURBA III 4500ee","","Eléctricos puros","N3","30000","170.0","243.0","100.0","240.0"
"BYD BYD ATTO 3 SC2E/M2F1C/1NXE5E001NL1","","Eléctricos puros","M1","2160","15.6","150.0","420.0","60.5"
"BYD BYD B19 DC Low Floor 3/4 Puertas","","Eléctricos puros","M3","29500","130.0","300.0","400.0","563.0"
"BYD BYD DOLPHIN EM2E-1/H2F1C/2NTE5F002NL1","","Eléctricos puros","M1","2068","15.9","150.0","427.0","60.4"
"BYD HAN AWD SE2D1C/1NXE5E001NL1","","Eléctricos puros","M1","2660","18.5","380.0","521.0","85.4"
"BYD K11U DC Low Floor 4 Puertas","","Eléctricos puros","M3","28000","125.3","300.0","300.0","391.0"
"BYD K7UA DC Low Entry 2 Puertas","","Eléctricos puros","M3","14440","69.3","300.0","200.0","174.0"
