"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Goupil G4 plomo 11,5 L7e PB + riego","","Eléctricos puros","L7e","2100","17.3","16.5","73.0","11.5"
"Goupil G4 plomo 11,5 L7e PF","","Eléctricos puros","L7e","2100","16.9","16.5","74.0","11.5"
"Goupil G4 plomo 11,5 N1 CAJA SATÉLITE","","Eléctricos puros","N1","2100","17.8","16.5","70.0","11.5"
"Goupil G4 plomo 11,5 N1 FURGÓN","","Eléctricos puros","N1","2100","17.8","16.5","70.0","11.5"
"Goupil G4 plomo 11,5 N1 MIXTO FURGON","","Eléctricos puros","N1","2100","17.2","16.5","73.0","11.5"
"Goupil G4 plomo 11,5 N1 MIXTO PB + ASPIR.","","Eléctricos puros","N1","2100","17.2","16.5","73.0","11.5"
"Goupil G4 plomo 11,5 N1 MIXTO PB + COFRE","","Eléctricos puros","N1","2100","17.2","16.5","73.0","11.5"
"Goupil G4 plomo 11,5 N1 MIXTO PB + GRUA","","Eléctricos puros","N1","2100","17.2","16.5","73.0","11.5"
"Goupil G4 plomo 11,5 N1 MIXTO PB + HP 200","","Eléctricos puros","N1","2100","17.2","16.5","73.0","11.5"
"Goupil G4 plomo 11,5 N1 MIXTO PF + HP 200","","Eléctricos puros","N1","2100","16.8","16.5","75.0","11.5"
"Goupil G4 plomo 11,5 N1 PB","","Eléctricos puros","N1","2100","17.3","16.5","72.0","11.5"
"Goupil G4 plomo 11,5 N1 PB + HP 500","","Eléctricos puros","N1","2100","17.3","16.5","73.0","11.5"
"Goupil G4 plomo 11,5 N1 PB + riego","","Eléctricos puros","N1","2100","17.3","16.5","73.0","11.5"
"Goupil G4 plomo 11,5 N1 PF","","Eléctricos puros","N1","2100","16.9","16.5","74.0","11.5"
"Goupil G4 plomo 15,4 L7e CAJA SATÉLITE","","Eléctricos puros","L7e","2100","22.6","16.5","80.0","15.4"
"Goupil G4 plomo 15,4 L7e FURGÓN","","Eléctricos puros","L7e","2100","22.6","16.5","80.0","15.4"
"Goupil G4 plomo 15,4 L7e MIXTO FURGON","","Eléctricos puros","L7e","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 L7e MIXTO PB + ASPIR.","","Eléctricos puros","L7e","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 L7e MIXTO PB + COFRE","","Eléctricos puros","L7e","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 L7e MIXTO PB + GRUA","","Eléctricos puros","L7e","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 L7e MIXTO PB + HP 200","","Eléctricos puros","L7e","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 L7e MIXTO PF + HP 200","","Eléctricos puros","L7e","2100","21.6","16.5","85.0","15.4"
"Goupil G4 plomo 15,4 L7e PB","","Eléctricos puros","L7e","2100","22.1","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 L7e PB + HP 500","","Eléctricos puros","L7e","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 L7e PB + riego","","Eléctricos puros","L7e","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 L7e PF","","Eléctricos puros","L7e","2100","21.7","16.5","84.0","15.4"
"Goupil G4 plomo 15,4 N1 CAJA SATÉLITE","","Eléctricos puros","N1","2100","22.6","16.5","80.0","15.4"
"Goupil G4 plomo 15,4 N1 FURGÓN","","Eléctricos puros","N1","2100","22.6","16.5","80.0","15.4"
"Goupil G4 plomo 15,4 N1 MIXTO FURGON","","Eléctricos puros","N1","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 N1 MIXTO PB + ASPIR.","","Eléctricos puros","N1","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 N1 MIXTO PB + COFRE","","Eléctricos puros","N1","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 N1 MIXTO PB + GRUA","","Eléctricos puros","N1","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 N1 MIXTO PB + HP 200","","Eléctricos puros","N1","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 N1 MIXTO PF + HP 200","","Eléctricos puros","N1","2100","21.6","16.5","85.0","15.4"
"Goupil G4 plomo 15,4 N1 PB","","Eléctricos puros","N1","2100","22.1","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 N1 PB + HP 500","","Eléctricos puros","N1","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 N1 PB + riego","","Eléctricos puros","N1","2100","22.0","16.5","83.0","15.4"
"Goupil G4 plomo 15,4 N1 PF","","Eléctricos puros","N1","2100","21.7","16.5","84.0","15.4"
"Goupil G4 plomo 8,6 L7e CAJA SATÉLITE","","Eléctricos puros","L7e","2100","17.1","16.5","54.0","8.6"
"Goupil G4 plomo 8,6 L7e FURGÓN","","Eléctricos puros","L7e","2100","17.1","16.5","54.0","8.6"
"Goupil G4 plomo 8,6 L7e MIXTO FURGON","","Eléctricos puros","L7e","2100","16.5","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 L7e MIXTO PB + ASPIR.","","Eléctricos puros","L7e","2100","16.5","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 L7e MIXTO PB + COFRE","","Eléctricos puros","L7e","2100","16.5","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 L7e MIXTO PB + GRUA","","Eléctricos puros","L7e","2100","16.5","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 L7e MIXTO PB + HP 200","","Eléctricos puros","L7e","2100","16.5","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 L7e MIXTO PF + HP 200","","Eléctricos puros","L7e","2100","16.2","16.5","57.0","8.6"
"Goupil G4 plomo 8,6 L7e PB","","Eléctricos puros","L7e","2100","16.6","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 L7e PB + HP 500","","Eléctricos puros","L7e","2100","16.6","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 L7e PB + riego","","Eléctricos puros","L7e","2100","16.6","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 L7e PF","","Eléctricos puros","L7e","2100","16.3","16.5","57.0","8.6"
"Goupil G4 plomo 8,6 N1 CAJA SATÉLITE","","Eléctricos puros","N1","2100","17.1","16.5","54.0","8.6"
"Goupil G4 plomo 8,6 N1 FURGÓN","","Eléctricos puros","N1","2100","17.1","16.5","54.0","8.6"
"Goupil G4 plomo 8,6 N1 MIXTO FURGON","","Eléctricos puros","N1","2100","16.5","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 N1 MIXTO PB + ASPIR.","","Eléctricos puros","N1","2100","16.5","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 N1 MIXTO PB + COFRE","","Eléctricos puros","N1","2100","16.5","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 N1 MIXTO PB + GRUA","","Eléctricos puros","N1","2100","16.5","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 N1 MIXTO PB + HP 200","","Eléctricos puros","N1","2100","16.5","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 N1 MIXTO PF + HP 200","","Eléctricos puros","N1","2100","16.2","16.5","57.0","8.6"
"Goupil G4 plomo 8,6 N1 PB","","Eléctricos puros","N1","2100","16.6","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 N1 PB + HP 500","","Eléctricos puros","N1","2100","16.6","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 N1 PB + riego","","Eléctricos puros","N1","2100","16.6","16.5","56.0","8.6"
"Goupil G4 plomo 8,6 N1 PF","","Eléctricos puros","N1","2100","16.3","16.5","57.0","8.6"
"Goupil G4 plomo Goupil G4 plomo CAJA SATÉLITE","","Eléctricos puros","N1","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo CAJA SATÉLITE","","Eléctricos puros","L7e","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo FURGON","","Eléctricos puros","L7e","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo FURGON","","Eléctricos puros","N1","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo MIXTO FURGON","","Eléctricos puros","N1","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo MIXTO FURGON","","Eléctricos puros","L7e","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo MIXTO PB + ASPIR,","","Eléctricos puros","L7e","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo MIXTO PB + ASPIR,","","Eléctricos puros","N1","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo MIXTO PB + GRUA","","Eléctricos puros","N1","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo MIXTO PB + GRUA","","Eléctricos puros","L7e","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo MIXTO PB + HP 200","","Eléctricos puros","L7e","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo MIXTO PB + HP 200","","Eléctricos puros","N1","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo MIXTO PF + HP 200","","Eléctricos puros","N1","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo MIXTO PF + HP 200","","Eléctricos puros","L7e","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo PB","","Eléctricos puros","L7e","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo PB","","Eléctricos puros","N1","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo PB + HP 500","","Eléctricos puros","N1","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo PB + HP 500","","Eléctricos puros","L7e","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo PF","","Eléctricos puros","L7e","2100","24.8","17.0","81.0","15.0"
"Goupil G4 plomo Goupil G4 plomo PF","","Eléctricos puros","N1","2100","24.8","17.0","81.0","15.0"
"Goupil G4-L Litio 14 L7e CAJA SATÉLITE","","Eléctricos puros","L7e","2100","13.7","16.5","89.0","14.0"
"Goupil G4-L Litio 14 L7e FURGÓN","","Eléctricos puros","L7e","2100","13.7","16.5","89.0","14.0"
"Goupil G4-L Litio 14 L7e MIXTO FURGON","","Eléctricos puros","L7e","2100","11.4","16.5","89.0","14.0"
"Goupil G4-L Litio 14 L7e MIXTO PB + ASPIR.","","Eléctricos puros","L7e","2100","11.4","16.5","89.0","14.0"
"Goupil G4-L Litio 14 L7e MIXTO PB + COFRE","","Eléctricos puros","L7e","2100","11.4","16.5","89.0","14.0"
"Goupil G4-L Litio 14 L7e MIXTO PB + GRUA","","Eléctricos puros","L7e","2100","11.4","16.5","89.0","14.0"
"Goupil G4-L Litio 14 L7e MIXTO PB + HP 200","","Eléctricos puros","L7e","2100","11.4","16.5","89.0","14.0"
"Goupil G4-L Litio 14 L7e MIXTO PF + HP 200","","Eléctricos puros","L7e","2100","11.4","16.5","89.0","14.0"
"Goupil G4-L Litio 14 L7e PB","","Eléctricos puros","L7e","2100","13.3","16.5","89.0","14.0"
"Goupil G4-L Litio 14 L7e PB + HP 500","","Eléctricos puros","L7e","2100","11.4","16.5","89.0","14.0"
"Goupil G4-L Litio 14 L7e PB + riego","","Eléctricos puros","L7e","2100","11.4","16.5","89.0","14.0"
"Goupil G4-L Litio 14 L7e PF","","Eléctricos puros","L7e","2100","13.0","16.5","89.0","14.0"
"Goupil G4-L Litio 14 N1 CAJA SATÉLITE","","Eléctricos puros","N1","2100","13.7","16.5","89.0","14.0"
"Goupil G4-L Litio 14 N1 FURGÓN","","Eléctricos puros","N1","2100","13.7","16.5","89.0","14.0"
"Goupil G4-L Litio 14 N1 MIXTO FURGON","","Eléctricos puros","N1","2100","11.4","16.5","89.0","14.0"
