"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Toyota PROACE VERSO EV Shuttle media Advance 75 kWh (MY23)","","Eléctricos puros","M1","3100","25.0","100.0","339.0","75.0"
"Toyota PROACE VERSO EV Shuttle media Vx 50 kWh (MY23)","","Eléctricos puros","M1","3015","23.0","100.0","238.0","50.0"
"Toyota PROACE VERSO EV Shuttle media Vx 50 kWh (RC22)","","Eléctricos puros","M1","2950","23.0","100.0","238.0","50.0"
"Toyota PROACE VERSO EV Shuttle media VX 75 kWh (MY22)","","Eléctricos puros","M1","3100","25.0","100.0","339.0","75.0"
"Toyota PROACE VERSO EV Shuttle media Vx 75 kWh (MY23)","","Eléctricos puros","M1","3100","25.0","100.0","339.0","75.0"
"Toyota PROACE VERSO EV Shuttle media Vx 75 kWh (RC22)","","Eléctricos puros","M1","3100","25.0","100.0","339.0","75.0"
"Toyota PROACE VERSO EV Shuttle medio VX 50kW (MY21)","","Eléctricos puros","M1","3015","23.0","100.0","238.0","50.0"
"Toyota PROACE VERSO EV Shuttle medio VX 75kW (MY21)","","Eléctricos puros","M1","3100","25.0","100.0","339.0","75.0"
"Toyota PROACE VERSO EV Vip larga Luxury 75 kWh (MY22)","","Eléctricos puros","M1","3065","25.0","100.0","339.0","75.0"
"Toyota PROACE VERSO EV Vip larga Luxury 75 kWh (RC22)","","Eléctricos puros","M1","3065","25.0","100.0","339.0","75.0"
"Toyota PROACE VERSO EV Vip media Luxury 75 kWh (MY22)","","Eléctricos puros","M1","3060","25.0","100.0","339.0","75.0"
"Toyota PROACE VERSO EV Vip media Luxury 75 kWh (MY23)","","Eléctricos puros","M1","3060","25.0","100.0","339.0","75.0"
"Toyota PROACE VERSO EV Vip media Luxury 75 kWh (RC22)","","Eléctricos puros","M1","3060","25.0","100.0","339.0","75.0"
"Toyota PROACE VERSO Family Advance/Advance plus larga 2.0D 145CV 6MT (MY22)","","Gasóleo","M1","2790","","","",""
"Toyota PROACE VERSO Family Advance/Advance plus larga 2.0D 145CV 8AT (MY22)","","Gasóleo","M1","2830","","","",""
"Toyota PROACE VERSO Family Advance/Advance plus media 2.0D 145CV 6MT (MY22)","","Gasóleo","M1","2760","","","",""
"Toyota PROACE VERSO Family Advance/Advance plus media 2.0D 145CV 8AT (MY22)","","Gasóleo","M1","2800","","","",""
"Toyota PROACE VERSO Family corto advance Llanta 17p (MY21)","","Gasóleo","M1","2660","","","",""
"Toyota PROACE VERSO Family corto Llanta 17p (MY20)","","Gasóleo","M1","2650","","","",""
"Toyota PROACE VERSO Family larga Advance 2.0D 145 CV 6MT (MY23)","","Gasóleo","M1","2790","","","",""
