"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Fiat Doblo Dobló POP M1 1.6 MULTIJET 70 kW (95 CV)","","Gasóleo","M1","1220","","","",""
"Fiat Doblo Dobló TREKKING 1.6 MULTIJET 89 kW (120 CV)","","Gasóleo","M1","1220","","","",""
"Fiat Doblo Work Up Maxi Base 1.6 Mjet 78 kW (105 CV)","","Gasóleo","N1","2510","","","",""
"Fiat Ducato Furgón 35 L2H1 3.0 1FC GNC Natural Power 101 kW (136 CV)","","Gas natural","N1","3500","","","",""
"Fiat Ducato Furgón 35 L3H2 3.0 1FC GNC Natural Power 101 kW (136 CV)","","Gas natural","N1","3500","","","",""
"Fiat Ducato Furgón 35 L3H3 3.0 1FC GNC Natural Power 101 kW (136 CV)","","Gas natural","N1","3500","","","",""
"Fiat Ducato Maxi Furgón 35 L4H2 3.0 1FC GNC Natural Power 101 kW (136 CV)","","Gas natural","N1","3500","","","",""
"Fiat Ducato Maxi Furgón 35 L4H3 3.0 1FC GNC Natural Power 101 kW (136 CV)","","Gas natural","N1","3500","","","",""
"Fiat E-Doblo DOBLE CABINA 100kW Batería 50kWH","","Eléctricos puros","N1","2290","19.2","100.0","267.0","50.0"
"Fiat E-Doblo FURGÓN MAXI 100kW Batería 50kWH","","Eléctricos puros","N1","2290","19.2","100.0","267.0","50.0"
"Fiat E-Doblo FURGÓN Standard 100kW Batería 50kWH","","Eléctricos puros","N1","2290","19.2","100.0","267.0","50.0"
"Fiat E-Scudo Furgón Business","","Eléctricos puros","N1","2840","248.0","100.0","231.0","50.0"
"Fiat E-Ulysse MY23 E-Ulysse Lounge Talla L 100 kW (136cv) Batería 75kWh","","Eléctricos puros","M1","1870","27.8","100.0","310.0","75.0"
"Fiat E-Ulysse MY23 E-Ulysse Lounge Talla M 100 kW (136cv) Batería 75kWh","","Eléctricos puros","M1","1870","26.1","100.0","330.0","75.0"
"Fiat E-Ulysse MY23 E-Ulysse Talla L 100 kW (136cv) Batería 75kWh","","Eléctricos puros","M1","1870","27.8","100.0","310.0","75.0"
"Fiat E-Ulysse MY23 E-Ulysse Talla M 100 kW (136cv) Batería 50kWh","","Eléctricos puros","M1","1870","24.6","100.0","230.0","50.0"
"Fiat E-Ulysse MY23 E-Ulysse Talla M 100 kW (136cv) Batería 75kWh","","Eléctricos puros","M1","1870","26.1","100.0","330.0","75.0"
"Fiat eDoblo eDoblo BEV + launch Pack bateria 50 KW 100kw (136 cv)","","Eléctricos puros","M1","1814","19.6","100.0","285.0","50.0"
"Fiat eDoblo eDoblo BEV bateria 50 KW 100kw (136 cv)","","Eléctricos puros","M1","1814","19.6","100.0","285.0","50.0"
"Fiat eDoblo eDoblo BEV Launch Edition bateria 50 KW 100kw (136 cv)","","Eléctricos puros","M1","1814","19.6","100.0","285.0","50.0"
"Fiat eDucato Chasis 35 L2 47kWh","","Eléctricos puros","N1","3500","35.1","90.0","158.0","47.0"
"Fiat eDucato Chasis 35 L2 79kWh","","Eléctricos puros","N1","3500","38.6","90.0","260.0","79.0"
"Fiat eDucato Chasis 35 L2-L3 47kWh","","Eléctricos puros","N1","3500","35.1","90.0","158.0","47.0"
"Fiat eDucato Chasis 35 L2-L3 79kWh","","Eléctricos puros","N1","3500","38.6","90.0","260.0","79.0"
"Fiat eDucato Chasis 35 L3 47kWh","","Eléctricos puros","N1","3500","35.1","90.0","158.0","47.0"
"Fiat eDucato Chasis 35 L3 79kWh","","Eléctricos puros","N1","3500","38.6","90.0","260.0","79.0"
"Fiat eDucato Chasis 35 L4 47kWh","","Eléctricos puros","N1","3500","35.1","90.0","158.0","47.0"
"Fiat eDucato Chasis 35 L4 79kWh","","Eléctricos puros","N1","3500","38.6","90.0","260.0","79.0"
"Fiat eDucato Chasis 40 L2 47kWh","","Eléctricos puros","N2","4250","35.1","90.0","143.0","47.0"
"Fiat eDucato Chasis 40 L2 79kWh","","Eléctricos puros","N2","4250","38.6","90.0","237.0","79.0"
"Fiat eDucato Chasis 40 L2-L3 47kWh","","Eléctricos puros","N2","4250","35.1","90.0","143.0","47.0"
"Fiat eDucato Chasis 40 L3 47kWh","","Eléctricos puros","N2","4250","35.1","90.0","143.0","47.0"
"Fiat eDucato Chasis 40 L3 79kWh","","Eléctricos puros","N2","4250","38.6","90.0","237.0","79.0"
"Fiat eDucato Chasis 40 L4 47kWh","","Eléctricos puros","N2","4250","35.1","90.0","143.0","47.0"
"Fiat eDucato Chasis 40 L4 79kWh","","Eléctricos puros","N2","4250","38.6","90.0","237.0","79.0"
"Fiat eDucato Combi 35 L2H2","","Eléctricos puros","N1","3500","31.0","90.0","167.0","47.0"
"Fiat eDucato Combi 35 L2H2","","Eléctricos puros","N1","3500","33.6","90.0","271.0","47.0"
"Fiat eDucato Combi 35 L2H2","","Eléctricos puros","N1","3500","33.6","90.0","271.0","47.0"
"Fiat eDucato Furgón 35 L2H1 47kWh","","Eléctricos puros","N1","3500","31.8","90.0","174.0","47.0"
"Fiat eDucato Furgón 35 L2H1 79kWh","","Eléctricos puros","N1","3500","31.8","90.0","283.0","79.0"
"Fiat eDucato Furgón 35 L2H2 47kWh","","Eléctricos puros","N1","3500","33.4","90.0","167.0","47.0"
"Fiat eDucato Furgón 35 L2H2 79kWh","","Eléctricos puros","N1","3500","33.4","90.0","272.0","79.0"
"Fiat eDucato Furgón 35 L3H2 47kWh","","Eléctricos puros","N1","3500","33.6","90.0","165.0","47.0"
"Fiat eDucato Furgón 35 L3H2 79kWh","","Eléctricos puros","N1","3500","33.6","90.0","271.0","79.0"
"Fiat eDucato Furgón 35 L3H3 47kWh","","Eléctricos puros","N1","3500","34.9","90.0","159.0","47.0"
"Fiat eDucato Furgón 35 L3H3 79kWh","","Eléctricos puros","N1","3500","34.9","90.0","262.0","79.0"
"Fiat eDucato Furgón 35 L4H2 47kWh","","Eléctricos puros","N1","3500","33.8","90.0","164.0","47.0"
"Fiat eDucato Furgón 35 L4H2 79kWh","","Eléctricos puros","N1","3500","33.8","90.0","269.0","79.0"
"Fiat eDucato Furgón 35 L4H3 47kWh","","Eléctricos puros","N1","3500","35.1","90.0","158.0","47.0"
"Fiat eDucato Furgón 35 L4H3 79kWh","","Eléctricos puros","N1","3500","35.1","90.0","260.0","79.0"
"Fiat eDucato Furgón 40 L2H1 47kWh","","Eléctricos puros","N2","4250","32.8","90.0","159.0","47.0"
"Fiat eDucato Furgón 40 L2H1 79kWh","","Eléctricos puros","N2","4250","35.2","90.0","260.0","79.0"
"Fiat eDucato Furgón 40 L2H2 47kWh","","Eléctricos puros","N2","4250","34.5","90.0","152.0","47.0"
"Fiat eDucato Furgón 40 L2H2 79kWh","","Eléctricos puros","N2","4250","36.8","90.0","249.0","79.0"
"Fiat eDucato Furgón 40 L3H2 47kWh","","Eléctricos puros","N2","4250","34.9","90.0","150.0","47.0"
"Fiat eDucato Furgón 40 L3H2 79kWh","","Eléctricos puros","N2","4250","37.1","90.0","247.0","79.0"
"Fiat eDucato Furgón 40 L3H3 47kWh","","Eléctricos puros","N2","4250","36.3","90.0","144.0","47.0"
"Fiat eDucato Furgón 40 L3H3 79kWh","","Eléctricos puros","N2","4250","38.4","90.0","238.0","79.0"
"Fiat eDucato Furgón 40 L4H2 47kWh","","Eléctricos puros","N2","4250","35.1","90.0","149.0","47.0"
"Fiat eDucato Furgón 40 L4H2 79kWh","","Eléctricos puros","N2","4250","37.3","90.0","245.0","79.0"
"Fiat eDucato Furgón 40 L4H3 47kWh","","Eléctricos puros","N2","4250","36.5","90.0","143.0","47.0"
"Fiat eDucato Furgón 40 L4H3 79kWh","","Eléctricos puros","N2","4250","38.6","90.0","237.0","79.0"
"Fiat eDucato Panorama 35 L2H2","","Eléctricos puros","N1","3500","33.6","90.0","162.0","47.0"
"Fiat eDucato Panorama 35 L2H2","","Eléctricos puros","N1","3500","33.6","90.0","162.0","47.0"
"Fiat FIAT 600 BEV Nuevo Fiat 600 BEV La prima 54kwh 115kw (156cv)","","Eléctricos puros","M1","1520","15.2","115.0","406.0","54.0"
"Fiat FIAT 600 BEV Nuevo Fiat 600 BEV RED 54kwh 115kw (156cv)","","Eléctricos puros","M1","1520","15.1","115.0","409.0","54.0"
"Fiat Fiorino Cargo Base 1.3 Mjet 80 CV","","Gasóleo","N1","1740","","","",""
"Fiat Fiorino Cargo Base 1.3 Mjet 95 CV","","Gasóleo","N1","1740","","","",""
"Fiat Fiorino Cargo Base N1 1.4 Natural Power 52 kW (70 CV)","","Gas natural","N1","1680","","","",""
"Fiat Fiorino Cargo SX 1.3 Mjet 80 CV","","Gasóleo","N1","1740","","","",""
"Fiat Fiorino Cargo SX 1.3 Mjet 95 CV","","Gasóleo","N1","1740","","","",""
"Fiat Fiorino Cargo SX N1 1.4 1.4 Natural Power 52 kW (70 CV)","","Gas natural","N1","1680","","","",""
"Fiat Fiorino Combi SX 1.3 Mjet 95 CV","","Gasóleo","N1","1780","","","",""
"Fiat Panda Panda 0,9 Lounge 63 kW (70 CV) TwinAir Gasol./Met","","Gas natural","M1","1050","","","",""
"Fiat Panda Panda 1,2 Lounge 51 kW (69 CV) Gasol./GLP","","Gases licuados del petróleo (GLP)","M1","1050","","","",""
"Fiat Panda Panda 1.2 Easy 51 kW (69 CV)","","Gasolina","M1","1050","","","",""
"Fiat Panda Panda 1.2 Easy 51 kW (69 CV)","","Gasolina","M1","1050","","","",""
"Fiat Panda Panda 1.2 Easy 51 kW (70 CV) TwinAir Gasol./Met","","Gas natural","M1","1050","","","",""
"Fiat Panda Panda 1.2 Lounge 51 kW (69 CV)","","Gasolina","M1","1050","","","",""
"Fiat Panda Panda 1.2 Lounge 51 kW (69 CV)","","Gasolina","M1","1050","","","",""
"Fiat Panda Panda 1.2 Lounge 51 kW (69 CV) Gasol./GLP","","Gases licuados del petróleo (GLP)","M1","1050","","","",""
"Fiat Panda Panda 1.2 Pop 51 kW (69 CV)","","Gasolina","M1","1050","","","",""
"Fiat Panda Panda 1.2 Pop 51 kW (69 CV)","","Gasolina","M1","1050","","","",""
"Fiat Panda Panda 1.2 Pop 51 kW (70 CV) TwinAir Gasol./Met","","Gas natural","M1","1050","","","",""
"Fiat Panda Panda 4x4 0,9 63 kW (85 CV) TwinAir 4x4","","Gasolina","M1","1050","","","",""
"Fiat Panda Panda City Cross 1.0 Gse 51kw (70CV)","","Híbridos de gasolina","M1","1055","","","","50.0"
"Fiat Panda Panda City Cross 1.2 51 kW (69CV) 4X2","","Gasolina","M1","1050","","","",""
"Fiat Panda Panda City Cross 1.2 51 kW (69CV) 4X2","","Gasolina","M1","1050","","","",""
"Fiat Panda Panda City Cross Hybrid 1.0 Gse (70CV) 4x2","","Híbridos de gasolina","M1","1050","","","",""
"Fiat Panda Panda City Life Hybrid 1.0 Gse 51kw (70CV)","","Híbridos de gasolina","M1","1055","","","","50.0"
