"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"SEAT LEON 2.0 TDI CR 110kW (150cv) St&Sp STYLE VISIO EDITION s48","","Gasóleo","M1","1850","","","",""
"SEAT LEON 2.0 TDI CR 110kW (150cv) St&Sp XCELLENCE","","Gasóleo","M1","1850","","","",""
"SEAT LEON 2.0 TDI CR 110kW (150cv) St&Sp XCELLENCE EDITION PLUS","","Gasóleo","M1","1850","","","",""
"SEAT LEON 2.0 TDI CR 110kW (150cv) St&Sp XCELLENCE EDITION PLUS s48","","Gasóleo","M1","1850","","","",""
"SEAT LEON 2.0 TDI CR 110kW (150cv) St&Sp XCELLENCE s48","","Gasóleo","M1","1850","","","",""
"SEAT LEON 2.0 TSI 140KW S/S FR DCT MY19","","Gasolina","M1","1870","","","",""
"SEAT LEON 2.0 TSI 140KW S/S FR EDITION DCT MY19","","Gasolina","M1","1870","","","",""
"SEAT LEON 2.0 TSI 140KW S/S FR EDITION ST DCT MY19","","Gasolina","M1","1910","","","",""
"SEAT LEON 2.0 TSI 140KW S/S X-PER ED ST 4WD DCT MY19","","Gasolina","M1","2020","","","",""
"SEAT LEON 2.0 TSI 140KW S/S X-PERIENCE ST 4WD DCT MY19","","Gasolina","M1","2020","","","",""
"SEAT LEON 2.0 TSI 140W S/S FR ST DCT MY19","","Gasolina","M1","1910","","","",""
"SEAT LEON 2.0 TSI 213kW (290cv) DSG-7 St&Sp CUPRA","","Gasolina","M1","1920","","","",""
"SEAT LEON 2.0 TSI 213KW S/S CUPRA DCT MY19","","Gasolina","M1","1920","","","",""
"SEAT LEON 2.0 TSI 213KW S/S CUPRA ST DCT MY19","","Gasolina","M1","2020","","","",""
"SEAT LEON 2.0 TSI 221KW S/S CUPRA R ST DCT 4WD MY19","","Gasolina","M1","2090","","","",""
"SEAT LEON 2.0 TSI 221KW S/S CUPRA ST DCT 4WD MY19","","Gasolina","M1","2090","","","",""
"SEAT LEON CUPRA 5F168Z 2.0 TSI 213kW (290cv) DSG-7 St&Sp CUPRA s48","","Gasolina","M1","1920","","","",""
"SEAT Leon Sportourer ST 1.0 EcoTSI 85kW (115cv) St&Sp REFERENCE EDITION","","Gasolina","M1","1780","","","",""
"SEAT Leon Sportourer ST 1.0 EcoTSI 85kW (115cv) St&Sp STYLE","","Gasolina","M1","1780","","","",""
"SEAT Leon Sportourer ST 1.0 EcoTSI 85kW (115cv) St&Sp STYLE EDITION con NAVI","","Gasolina","M1","1780","","","",""
"SEAT Leon Sportourer ST 1.0 EcoTSI 85kW (115cv) St&Sp STYLE EDITION con NAVI s48","","Gasolina","M1","1780","","","",""
