"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Iveco Family 38S14E SV IVECO Family 38S14E SV 2 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","3800","37.0","140.0","200.0","74.0"
"Iveco Family 42C14E SV IVECO Family 42C14E SV 2 baterias Paso: 3520 TECHO MEDIO H2","","Eléctricos puros","N2","4250","40.0","140.0","185.0","74.0"
"Iveco Family 42C14E SV IVECO Family 42C14E SV 2 baterias Paso: 3520L TECHO MEDIO H2","","Eléctricos puros","N2","4250","40.0","140.0","185.0","74.0"
"Iveco Family 42C14E SV IVECO Family 42C14E SV 2 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","4250","40.0","140.0","185.0","74.0"
"Iveco Family 42C14E SV IVECO Family 42C14E SV 3 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","4250","42.7","140.0","260.0","111.0"
"Iveco Family 42C14E SV/P IVECO Family 42C14E SV/P 2 baterias Paso: 3520 TECHO MEDIO H2","","Eléctricos puros","N2","4250","40.0","140.0","185.0","74.0"
"Iveco Family 42C14E SV/P IVECO Family 42C14E SV/P 2 baterias Paso: 3520L TECHO MEDIO H2","","Eléctricos puros","N2","4250","40.0","140.0","185.0","74.0"
"Iveco Family 42C14E SV/P IVECO Family 42C14E SV/P 2 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","4250","40.0","140.0","185.0","74.0"
"Iveco Family 42C14E SV/P IVECO Family 42C14E SV/P 3 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","4250","42.7","140.0","260.0","111.0"
"Iveco Family 42S10E SV IVECO Family 42S10E SV 1 bateria Paso: 3520 TECHO MEDIO H2","","Eléctricos puros","N2","4250","33.6","100.0","110.0","37.0"
"Iveco Family 42S10E SV IVECO Family 42S10E SV 1 bateria Paso: 3520L TECHO MEDIO H2","","Eléctricos puros","N2","4250","33.6","100.0","110.0","37.0"
"Iveco Family 42S10E SV IVECO Family 42S10E SV 1 bateria Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","4250","33.6","100.0","110.0","37.0"
"Iveco Family 42S14E SV IVECO Family 42S14E SV 2 baterias Paso: 3520 TECHO MEDIO H2","","Eléctricos puros","N2","4250","37.0","140.0","200.0","74.0"
"Iveco Family 42S14E SV IVECO Family 42S14E SV 2 baterias Paso: 3520L TECHO MEDIO H2","","Eléctricos puros","N2","4250","37.0","140.0","200.0","74.0"
"Iveco Family 42S14E SV IVECO Family 42S14E SV 2 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","4250","37.0","140.0","200.0","74.0"
"Iveco Family 45C14E SV IVECO Family 45C14E SV 2 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","4600","40.0","140.0","185.0","74.0"
"Iveco Family 45C14E SV IVECO Family 45C14E SV 3 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","4600","42.7","140.0","260.0","111.0"
"Iveco Family 45C14E SV/P IVECO Family 45C14E SV/P 2 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","4600","40.0","140.0","185.0","74.0"
"Iveco Family 45C14E SV/P IVECO Family 45C14E SV/P 3 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","4600","42.7","140.0","260.0","111.0"
"Iveco Family 50C14E SV IVECO Family 50C14E SV 2 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","5200","40.0","140.0","185.0","74.0"
"Iveco Family 50C14E SV IVECO Family 50C14E SV 3 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","5200","42.7","140.0","260.0","111.0"
"Iveco Family 50C14E SV/P IVECO Family 50C14E SV/P 2 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","5200","40.0","140.0","185.0","74.0"
"Iveco Family 50C14E SV/P IVECO Family 50C14E SV/P 3 baterias Paso: 4100 TECHO MEDIO H2","","Eléctricos puros","N2","5200","42.7","140.0","260.0","111.0"
"Iveco Furgón 35S+10E V IVECO Furgón 35S+10E V 1 bateria Paso: 3520 TECHO BAJO H1","","Eléctricos puros","N1","3500","30.8","100.0","120.0","37.0"
"Iveco Furgón 35S+10E V IVECO Furgón 35S+10E V 1 bateria Paso: 3520 TECHO MEDIO H2","","Eléctricos puros","N1","3500","30.8","100.0","120.0","37.0"
