"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"BMW Serie 1 118d (7M91)Man.01/2021","","Gasóleo","M1","1950","","","","70.0"
"BMW Serie 1 118d Man.11/2019","","Gasóleo","M1","1980","","","",""
"BMW Serie 1 118i (7K31)Auto.01/2021","","Gasolina","M1","1870","","","","60.0"
"BMW Serie 1 118i (7K31)Man.01/2021","","Gasolina","M1","1845","","","","60.0"
"BMW Serie 1 118i Man.11/2019","","Gasolina","M1","1870","","","",""
"BMW Serie 1 120d (7N31)Auto.01/2021","","Gasóleo","M1","2000","","","","70.0"
"BMW Serie 1 120d xDrive Auto.11/2019","","Gasóleo","M1","2065","","","",""
"BMW Serie 1 120i (7K51)Auto.01/2021","","Gasolina","M1","1920","","","","70.0"
"BMW Serie 1 128ti (7L51)Auto.01/2021","","Gasolina","M1","2000","","","","70.0"
"BMW Serie 1 M135i xDrive (7L11)Auto.01/2021","","Gasolina","M1","2085","","","","70.0"
"BMW Serie 1 M135i xDrive Auto.11/2019","","Gasolina","M1","2085","","","",""
"BMW Serie 2 216d Active Tourer (6T51) Auto.07/2020","","Gasóleo","M1","1975","","","",""
"BMW Serie 2 216d Active Tourer (6T51)Auto.01/2021","","Gasóleo","M1","1975","","","","70.0"
"BMW Serie 2 216d Active Tourer (6T51)Man.01/2021","","Gasóleo","M1","1970","","","","70.0"
"BMW Serie 2 216d Active Tourer Man.11/2019","","Gasóleo","M1","1975","","","",""
"BMW Serie 2 216d Gran Coupé (11AM) Auto.07/2020","","Gasóleo","M1","1980","","","",""
"BMW Serie 2 216d Gran Coupé (11AM)Auto.01/2021","","Gasóleo","M1","1980","","","","70.0"
"BMW Serie 2 216d Gran Tourer (6W51)Auto.01/2021","","Gasóleo","M1","2155","","","","70.0"
"BMW Serie 2 216d Gran Tourer (6W51)Man.01/2021","","Gasóleo","M1","2130","","","","70.0"
"BMW Serie 2 216d Gran Tourer Man.11/2019","","Gasóleo","M1","2155","","","",""
"BMW Serie 2 218d (21BY) Auto. 11/2021","","Gasóleo","M1","1620","","","",""
"BMW Serie 2 218d Active Tourer (6T91)Auto.01/2021","","Gasóleo","M1","2040","","","","70.0"
"BMW Serie 2 218d Active Tourer (6T91)Man.01/2021","","Gasóleo","M1","2010","","","","70.0"
"BMW Serie 2 218d Active Tourer Man.11/2019","","Gasóleo","M1","2040","","","",""
"BMW Serie 2 218d Cabrio Auto.11/2019","","Gasóleo","M1","2035","","","",""
"BMW Serie 2 218d Coupé Auto.11/2019","","Gasóleo","M1","1950","","","",""
"BMW Serie 2 218d Gran Coupé (31AM) Auto.07/2020","","Gasóleo","M1","2015","","","",""
"BMW Serie 2 218d Gran Coupé (31AM)Auto.01/2021","","Gasóleo","M1","2015","","","","70.0"
"BMW Serie 2 218d Gran Coupé (31AM)Man.01/2021","","Gasóleo","M1","1985","","","","70.0"
"BMW Serie 2 218d Gran Tourer (6W91)Auto.01/2021","","Gasóleo","M1","2200","","","","70.0"
"BMW Serie 2 218d Gran Tourer (6W91)Man.01/2021","","Gasóleo","M1","2165","","","","70.0"
"BMW Serie 2 218d Gran Tourer Man.11/2019","","Gasóleo","M1","2200","","","",""
"BMW Serie 2 218d xDrive Active Tourer (6U11) Auto.07/2020","","Gasóleo","M1","2100","","","",""
"BMW Serie 2 218d xDrive Active Tourer (6U11)Auto.01/2021","","Gasóleo","M1","2100","","","","70.0"
"BMW Serie 2 218d xDrive Active Tourer Auto.11/2019","","Gasóleo","M1","2100","","","",""
"BMW Serie 2 218d xDrive Gran Tourer (6X11)Auto.01/2021","","Gasóleo","M1","2260","","","","70.0"
"BMW Serie 2 218d xDrive Gran Tourer Auto.11/2019","","Gasóleo","M1","2260","","","",""
"BMW Serie 2 218i (21BX) Auto. 11/2021","","Gasolina","M1","1545","","","",""
"BMW Serie 2 218i (31CL)Auto.01/2021","","Gasolina","M1","2015","","","","80.0"
"BMW Serie 2 218i (31CL)Man.01/2021","","Gasolina","M1","1990","","","","80.0"
"BMW Serie 2 218i Active Tourer (6S11)Auto.01/2021","","Gasolina","M1","1945","","","","70.0"
"BMW Serie 2 218i Active Tourer (6S11)Man.01/2021","","Gasolina","M1","1920","","","","70.0"
"BMW Serie 2 218i Cabrio (2M11) Auto.07/2020","","Gasolina","M1","1985","","","",""
"BMW Serie 2 218i Cabrio Man.11/2019","","Gasolina","M1","1985","","","",""
"BMW Serie 2 218i Coup© (11DE)Auto.01/2021","","Gasolina","M1","1910","","","","80.0"
"BMW Serie 2 218i Coup© (11DE)Man.01/2021","","Gasolina","M1","1930","","","","80.0"
"BMW Serie 2 218i Coupé (2H31) Auto.07/2020","","Gasolina","M1","1870","","","",""
"BMW Serie 2 218i Gran Coupé (11AK)Auto.01/2021","","Gasolina","M1","1905","","","","60.0"
