Año,Semana,Precio Gasolina,Precio Gasoleo
2017,Semana 34,1.191,1.073
2017,Semana 35,1.19,1.07
2017,Semana 36,1.189,1.067
2017,Semana 37,1.2,1.072
2017,Semana 38,1.217,1.084
2017,Semana 39,1.214,1.089
2017,Semana 40,1.211,1.094
2017,Semana 41,1.211,1.107
2017,Semana 42,1.206,1.108
2017,Semana 43,1.203,1.104
2017,Semana 44,1.203,1.109
2017,Semana 45,1.206,1.11
2017,Semana 46,1.22,1.12
2017,Semana 47,1.239,1.134
2017,Semana 48,1.241,1.136
2017,Semana 49,1.238,1.135
2017,Semana 50,1.237,1.135
2017,Semana 51,1.234,1.133
2017,Semana 52,1.235,1.137
2018,Semana 1,1.242,1.146
2018,Semana 2,1.248,1.155
2018,Semana 3,1.254,1.163
2018,Semana 4,1.254,1.165
2018,Semana 5,1.256,1.163
2018,Semana 6,1.256,1.162
2018,Semana 7,1.248,1.153
2018,Semana 8,1.228,1.132
2018,Semana 9,1.224,1.129
2018,Semana 10,1.226,1.136
2018,Semana 11,1.221,1.131
2018,Semana 12,1.22,1.129
2018,Semana 13,1.236,1.14
2018,Semana 14,1.2445,1.1475
2018,Semana 15,1.253,1.155
2018,Semana 16,1.26,1.164
2018,Semana 17,1.269,1.173
2018,Semana 18,1.279,1.183
2018,Semana 19,1.286,1.19
2018,Semana 20,1.302,1.207
2018,Semana 21,1.322,1.227
2018,Semana 22,1.335,1.24
2018,Semana 23,1.337,1.242
2018,Semana 24,1.333,1.237
2018,Semana 25,1.328,1.232
2018,Semana 26,1.319,1.223
2018,Semana 27,1.318,1.221
2018,Semana 28,1.325,1.229
2018,Semana 29,1.325,1.229
2018,Semana 30,1.318,1.221
2018,Semana 31,1.318,1.221
2018,Semana 32,1.325,1.226
2018,Semana 33,1.326,1.226
2018,Semana 34,1.327,1.228
2018,Semana 35,1.329,1.23
2018,Semana 36,1.336,1.238
2018,Semana 37,1.34,1.246
2018,Semana 38,1.337,1.247
2018,Semana 39,1.332,1.244
2018,Semana 40,1.334,1.25
2018,Semana 41,1.351,1.271
2018,Semana 42,1.356,1.284
2018,Semana 43,1.344,1.275
2018,Semana 44,1.339,1.276
2018,Semana 45,1.334,1.274
2018,Semana 46,1.315,1.263
2018,Semana 47,1.295,1.247
2018,Semana 48,1.272,1.225
2018,Semana 49,1.241,1.195
2018,Semana 50,1.224,1.176
2018,Semana 51,1.211,1.163
2019,Semana 1,1.195,1.146
2019,Semana 2,1.179,1.129
2019,Semana 3,1.197,1.148
2019,Semana 4,1.212,1.166
2019,Semana 5,1.222,1.177
2019,Semana 6,1.226,1.184
2019,Semana 7,1.23,1.19
2019,Semana 8,1.236,1.2
2019,Semana 9,1.252,1.219
2019,Semana 10,1.257,1.225
2019,Semana 11,1.261,1.228
2019,Semana 12,1.267,1.23
2019,Semana 13,1.277,1.228
2019,Semana 14,1.291,1.228
2019,Semana 15,1.307,1.232
2019,Semana 16,1.329,1.242
2019,Semana 17,1.341,1.2494999999999998
2019,Semana 18,1.353,1.257
2019,Semana 19,1.358,1.258
2019,Semana 20,1.355,1.257
2019,Semana 21,1.354,1.259
2019,Semana 22,1.357,1.26
2019,Semana 23,1.349,1.247
2019,Semana 24,1.325,1.219
2019,Semana 25,1.306,1.199
2019,Semana 26,1.301,1.194
2019,Semana 27,1.308,1.201
2019,Semana 28,1.311,1.205
2019,Semana 29,1.321,1.21
2019,Semana 30,1.329,1.213
2019,Semana 31,1.327,1.212
2019,Semana 32,1.331,1.216
2019,Semana 33,1.321,1.208
2019,Semana 34,1.312,1.2
2019,Semana 35,1.308,1.198
2019,Semana 36,1.307,1.197
2019,Semana 37,1.302,1.2
2019,Semana 38,1.304,1.209
2019,Semana 39,1.318,1.226
2019,Semana 40,1.32,1.229
2019,Semana 41,1.313,1.221
2019,Semana 42,1.308,1.213
2019,Semana 43,1.302,1.211
2019,Semana 44,1.296,1.211
2019,Semana 45,1.296,1.214
2019,Semana 46,1.299,1.215
2019,Semana 47,1.297,1.214
2019,Semana 48,1.298,1.214
2019,Semana 49,1.306,1.219
2019,Semana 50,1.304,1.218
2019,Semana 51,1.303,1.221
2020,Semana 1,1.3115,1.234
2020,Semana 2,1.32,1.247
2020,Semana 3,1.326,1.253
2020,Semana 4,1.321,1.246
2020,Semana 5,1.317,1.235
2020,Semana 6,1.307,1.221
2020,Semana 7,1.298,1.206
2020,Semana 8,1.296,1.2
2020,Semana 9,1.299,1.201
2020,Semana 10,1.293,1.19
2020,Semana 11,1.277,1.171
2020,Semana 12,1.233,1.127
2020,Semana 13,1.176,1.084
2020,Semana 14,1.143,1.057
2020,Semana 15,1.122,1.037
2020,Semana 16,1.1150000000000002,1.037
2020,Semana 17,1.108,1.018
2020,Semana 18,1.088,0.999
2020,Semana 19,1.072,0.981
2020,Semana 20,1.074,0.98
2020,Semana 21,1.078,0.985
2020,Semana 22,1.089,0.997
2020,Semana 23,1.094,1.001
2020,Semana 24,1.103,1.007
2020,Semana 25,1.119,1.019
2020,Semana 26,1.13,1.028
2020,Semana 27,1.145,1.04
2020,Semana 28,1.151,1.045
2020,Semana 29,1.16,1.056
2020,Semana 30,1.164,1.06
2020,Semana 31,1.164,1.063
2020,Semana 32,1.162,1.06
2020,Semana 33,1.159,1.059
2020,Semana 34,1.163,1.061
2020,Semana 35,1.166,1.061
2020,Semana 36,1.171,1.059
2020,Semana 37,1.169,1.054
2020,Semana 38,1.162,1.04
2020,Semana 39,1.162,1.03
2020,Semana 40,1.162,1.028
2020,Semana 41,1.162,1.028
2020,Semana 42,1.162,1.029
2020,Semana 43,1.161,1.029
2020,Semana 44,1.154,1.025
2020,Semana 45,1.145,1.017
2020,Semana 46,1.142,1.014
2020,Semana 47,1.151,1.024
2020,Semana 48,1.156,1.031
2020,Semana 49,1.166,1.043
2020,Semana 50,1.17,1.048
2020,Semana 51,1.175,1.057
2020,Semana 52,1.184,1.069
2021,Semana 1,1.1915,1.077
2021,Semana 2,1.1952500000000001,1.081
2021,Semana 3,1.199,1.085
2021,Semana 4,1.215,1.099
2021,Semana 5,1.224,1.106
2021,Semana 6,1.227,1.108
2021,Semana 7,1.238,1.119
2021,Semana 8,1.251,1.133
2021,Semana 9,1.268,1.15
2021,Semana 10,1.282,1.165
2021,Semana 11,1.293,1.173
2021,Semana 12,1.311,1.187
2021,Semana 13,1.321,1.192
2021,Semana 14,1.317,1.184
2021,Semana 15,1.319,1.179
2021,Semana 16,1.315,1.179
2021,Semana 17,1.319,1.179
2021,Semana 18,1.326,1.183
2021,Semana 19,1.331,1.188
2021,Semana 20,1.344,1.199
2021,Semana 21,1.35,1.208
2021,Semana 22,1.35,1.21
2021,Semana 23,1.351,1.212
2021,Semana 24,1.358,1.221
2021,Semana 25,1.367,1.231
2021,Semana 26,1.374,1.238
2021,Semana 27,1.383,1.246
2021,Semana 28,1.391,1.253
2021,Semana 29,1.4,1.262
2021,Semana 30,1.408,1.267
2021,Semana 31,1.408,1.263
2021,Semana 32,1.416,1.269
2021,Semana 33,1.419,1.27
2021,Semana 34,1.417,1.266
2021,Semana 35,1.415,1.26
2021,Semana 36,1.414,1.258
2021,Semana 37,1.421,1.265
2021,Semana 38,1.428,1.27
2021,Semana 39,1.436,1.279
2021,Semana 40,1.437,1.29
2021,Semana 41,1.448,1.309
2021,Semana 42,1.466,1.335
2021,Semana 43,1.483,1.357
2021,Semana 44,1.497,1.373
2021,Semana 45,1.505,1.381
2021,Semana 46,1.51,1.384
2021,Semana 47,1.513,1.385
2021,Semana 48,1.512,1.38
2021,Semana 49,1.509,1.376
2021,Semana 50,1.488,1.354
2021,Semana 51,1.479,1.346
2021,Semana 52,1.476,1.344
2022,Semana 1,1.4775,1.3455
2022,Semana 2,1.479,1.347
2022,Semana 3,1.489,1.359
2022,Semana 4,1.502,1.38
2022,Semana 5,1.52,1.403
2022,Semana 6,1.538,1.422
2022,Semana 7,1.558,1.444
2022,Semana 8,1.575,1.462
2022,Semana 9,1.591,1.479
2022,Semana 10,1.608,1.496
2022,Semana 11,1.679,1.581
2022,Semana 12,1.844,1.817
2022,Semana 13,1.813,1.797
2022,Semana 14,1.618,1.637
2022,Semana 15,1.413,1.447
2022,Semana 16,1.3900000000000001,1.413
2022,Semana 17,1.5035,1.53
2022,Semana 18,1.617,1.647
2022,Semana 19,1.637,1.6720000000000002
2022,Semana 20,1.678,1.711
2022,Semana 21,1.697,1.687
2022,Semana 22,1.74,1.667
2022,Semana 23,1.768,1.6520000000000001
2022,Semana 24,1.848,1.716
2022,Semana 25,1.917,1.8030000000000002
2022,Semana 26,1.941,1.8760000000000001
2022,Semana 27,1.9280000000000002,1.9000000000000001
2022,Semana 28,1.9120000000000001,1.8760000000000001
2022,Semana 29,1.872,1.8219999999999998
2022,Semana 30,1.8259999999999998,1.7710000000000001
2022,Semana 31,1.754,1.733
2022,Semana 32,1.702,1.693
2022,Semana 33,1.6600000000000001,1.6543
2022,Semana 34,1.597,1.606
2022,Semana 35,1.586,1.616
2022,Semana 36,1.594,1.682
2022,Semana 37,1.579,1.721
2022,Semana 38,1.548,1.705
2022,Semana 39,1.508,1.667
2022,Semana 40,1.48,1.622
2022,Semana 41,1.476,1.608
2022,Semana 42,1.5110000000000001,1.6560000000000001
2022,Semana 43,1.556,1.749
2022,Semana 44,1.563,1.772
2022,Semana 45,1.559,1.7710000000000001
2022,Semana 46,1.571,1.7630000000000001
2022,Semana 47,1.584,1.739
2022,Semana 48,1.564,1.667
2022,Semana 49,1.53,1.621
2022,Semana 50,1.488,1.564
2022,Semana 51,1.442,1.51
2022,Semana 52,1.3900000000000001,1.461
2022,Semana 53,1.365,1.443
2023,Semana 1,1.583,1.66
2023,Semana 2,1.616,1.681
2023,Semana 3,1.619,1.679
2023,Semana 4,1.636,1.688
2023,Semana 5,1.66,1.7
2023,Semana 6,1.65,1.68
2023,Semana 7,1.633,1.628
2023,Semana 8,1.636,1.611
2023,Semana 9,1.632,1.589
2023,Semana 10,1.632,1.589
2023,Semana 11,1.644,1.592
2023,Semana 12,1.635,1.571
2023,Semana 13,1.627,1.545
2023,Semana 14,1.6335,1.5325
2023,Semana 15,1.64,1.52
2023,Semana 16,1.651,1.519
2023,Semana 17,1.641,1.496
2023,Semana 18,1.622,1.464
2023,Semana 19,1.599,1.433
2023,Semana 20,1.579,1.411
2023,Semana 21,1.576,1.409
2023,Semana 22,1.584,1.415
2023,Semana 23,1.588,1.417
2023,Semana 24,1.594,1.424
2023,Semana 25,1.596,1.427
2023,Semana 26,1.598,1.441
2023,Semana 27,1.591,1.437
2023,Semana 28,1.593,1.439
2023,Semana 29,1.602,1.453
2023,Semana 30,1.615,1.465
2023,Semana 31,1.65,1.501
2023,Semana 32,1.68,1.552
2023,Semana 33,1.692,1.586
2023,Semana 34,1.709,1.601
2023,Semana 35,1.721,1.612
2023,Semana 36,1.731,1.622
2023,Semana 37,1.735,1.634
2023,Semana 38,1.751,1.668
2023,Semana 39,1.759,1.685
2023,Semana 40,1.751,1.687
2023,Semana 41,1.719,1.682
2023,Semana 42,1.679,1.656
2023,Semana 43,1.662,1.654
2023,Semana 44,1.652,1.645
2023,Semana 45,1.646,1.64
2023,Semana 46,1.619,1.607
2023,Semana 47,1.6,1.577
2023,Semana 48,1.585,1.558
2023,Semana 49,1.572,1.543
2023,Semana 50,1.557,1.526
2023,Semana 51,1.536,1.501
2023,Semana 52,1.531,1.492
2024,Semana 1,1.534,1.493
2024,Semana 2,1.535,1.488
2024,Semana 3,1.535,1.483
2024,Semana 4,1.537,1.486
