Año,Semana,Precio Gasolina,Precio Gasoleo
2005,Semana 8,0.883,0.816
2005,Semana 9,0.884,0.82
2005,Semana 10,0.888,0.838
2005,Semana 11,0.902,0.858
2005,Semana 12,0.902,0.862
2005,Semana 13,0.902,0.863
2005,Semana 14,0.908,0.8685
2005,Semana 15,0.914,0.874
2005,Semana 16,0.922,0.877
2005,Semana 17,0.933,0.885
2005,Semana 18,0.943,0.886
2005,Semana 19,0.943,0.879
2005,Semana 20,0.935,0.869
2005,Semana 21,0.928,0.859
2005,Semana 22,0.93,0.859
2005,Semana 23,0.927,0.86
2005,Semana 24,0.93,0.869
2005,Semana 25,0.946,0.889
2005,Semana 26,0.965,0.909
2005,Semana 27,0.981,0.916
2005,Semana 28,0.98,0.923
2005,Semana 29,0.996,0.935
2005,Semana 30,1.0,0.934
2005,Semana 31,0.999,0.931
2005,Semana 32,1.008,0.929
2005,Semana 33,1.016,0.929
2005,Semana 34,1.016,0.929
2005,Semana 35,1.034,0.95
2005,Semana 36,1.045,0.962
2005,Semana 37,1.099,0.981
2005,Semana 38,1.092,0.975
2005,Semana 39,1.073,0.973
2005,Semana 40,1.074,0.974
2005,Semana 41,1.064,0.973
2005,Semana 42,1.064,0.974
2005,Semana 43,1.051,0.974
2005,Semana 44,1.033,0.973
2005,Semana 45,1.019,0.9675
2005,Semana 46,1.005,0.962
2005,Semana 47,0.992,0.945
2005,Semana 48,0.98,0.928
2005,Semana 49,0.96,0.907
2005,Semana 50,0.957,0.897
2005,Semana 51,0.977,0.917
2005,Semana 52,0.98,0.917
2006,Semana 1,0.9855,0.921
2006,Semana 2,0.9882500000000001,0.923
2006,Semana 3,0.991,0.925
2006,Semana 4,1.0,0.929
2006,Semana 5,1.005,0.936
2006,Semana 6,1.005,0.944
2006,Semana 7,1.008,0.944
2006,Semana 8,1.003,0.943
2006,Semana 9,0.982,0.939
2006,Semana 10,1.0,0.945
2006,Semana 11,0.998,0.944
2006,Semana 12,1.003,0.951
2006,Semana 13,1.017,0.954
2006,Semana 14,1.022,0.955
2006,Semana 15,1.037,0.962
2006,Semana 16,1.051,0.968
2006,Semana 17,1.0675,0.9804999999999999
2006,Semana 18,1.084,0.993
2006,Semana 19,1.094,1.0
2006,Semana 20,1.098,1.001
2006,Semana 21,1.098,1.001
2006,Semana 22,1.087,0.986
2006,Semana 23,1.089,0.985
2006,Semana 24,1.083,0.975
2006,Semana 25,1.09,0.98
2006,Semana 26,1.093,0.987
2006,Semana 27,1.085,0.981
2006,Semana 28,1.101,0.985
2006,Semana 29,1.11,0.994
2006,Semana 30,1.13,1.003
2006,Semana 31,1.135,1.004
2006,Semana 32,1.137,1.002
2006,Semana 33,1.136,1.006
2006,Semana 34,1.128,1.009
2006,Semana 35,1.105,1.0
2006,Semana 36,1.078,0.997
2006,Semana 37,1.061,0.991
2006,Semana 38,1.026,0.976
2006,Semana 39,1.006,0.953
2006,Semana 40,0.993,0.938
2006,Semana 41,0.976,0.925
2006,Semana 42,0.969,0.922
2006,Semana 43,0.966,0.921
2006,Semana 44,0.96,0.921
2006,Semana 45,0.96,0.917
2006,Semana 46,0.95,0.905
2006,Semana 47,0.955,0.908
2006,Semana 48,0.956,0.906
2006,Semana 49,0.957,0.906
2006,Semana 50,0.958,0.909
2006,Semana 51,0.964,0.911
2006,Semana 52,0.965,0.909
2007,Semana 1,0.962,0.9045000000000001
2007,Semana 2,0.959,0.9
2007,Semana 3,0.949,0.89
2007,Semana 4,0.94,0.884
2007,Semana 5,0.941,0.884
2007,Semana 6,0.947,0.889
2007,Semana 7,0.956,0.899
2007,Semana 8,0.956,0.898
2007,Semana 9,0.969,0.906
2007,Semana 10,0.998,0.915
2007,Semana 11,1.009,0.923
2007,Semana 12,1.001,0.917
2007,Semana 13,1.001,0.916
2007,Semana 14,1.024,0.935
2007,Semana 15,1.0350000000000001,0.9430000000000001
2007,Semana 16,1.046,0.951
