"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Kia CEED (MY23) 1.5 MHEV Tech DCT","","5.7","5.7","129.0","129.0"
"Kia CEED (MY23) 1.6 MHEV GT-LINE DCT 136 cv","","4.7","4.7","123.0","123.0"
"Kia CEED (MY23) 1.6 MHEV GT-LINE DCT 136 cv (Pack Premium)","","4.7","4.7","123.0","123.0"
"Kia CEED (MY23) 1.6 MHEV IMT Concept 136 cv","","4.4","4.4","115.0","115.0"
"Kia CEED (MY23) 1.6 MHEV IMT Drive 136 cv","","4.4","4.4","115.0","115.0"
"Kia CEED (MY23) 1.6 MHEV IMT GT-LINE 136 cv","","4.6","4.6","119.0","119.0"
"Kia CEED (MY23) 1.6 MHEV IMT GT-LINE 136 cv (Pack Premium)","","4.6","4.6","119.0","119.0"
"Kia CEED (MY23) 1.6 MHEV IMT Stile Edition 136 cv","","4.5","4.5","119.0","119.0"
"Kia CEED (MY23) 1.6 MHEV IMT Tech 136 cv","","4.5","4.5","118.0","118.0"
"Kia CEED (MY23) 1.6 MHEV Stile Edition DCT 136 cv","","4.7","4.7","122.0","122.0"
"Kia CEED (MY23) 1.6 MHEV Tech DCT 136 cv","","4.6","4.6","121.0","121.0"
"Kia CEED (MY23) 1.6 T-GDI GT DCT","","6.8","6.8","154.0","154.0"
"Kia CEED (MY23) 1.6 T-GDI GT DCT (Pack Premium GT)","","6.8","6.8","154.0","154.0"
"Kia CEED 1.0 T-GDi 100CV Concept Eco-Dynamics","","5.6","6.1","127.0","139.0"
"Kia CEED 1.0 T-GDi 100CV Drive Eco-Dynamics","","5.6","6.1","127.0","139.0"
"Kia CEED 1.0 T-GDi 100CV Tech Eco-Dynamics","","5.6","6.1","127.0","139.0"
"Kia CEED 1.0 T-GDi 120CV Concept Eco-Dynamics","","5.6","5.6","127.0","127.0"
"Kia CEED 1.0 T-GDi 120CV Drive Eco-Dynamics","","5.6","6.1","127.0","139.0"
"Kia CEED 1.0 T-GDi 120CV GT Line Eco-Dynamics","","5.6","6.1","127.0","139.0"
"Kia CEED 1.0 T-GDi 120CV Tech Eco-Dynamics","","5.6","6.1","127.0","139.0"
"Kia CEED 1.0 T-GDi Business 120CV - Navegador Eco-Dynamics","","5.6","5.6","127.0","127.0"
