"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"SEAT IBIZA 1.0 TGI 90CV Start&Stop STYLE XM Wired","","3.5","4.1","101.0","111.0"
"SEAT IBIZA 1.0 TGI 90CV Start&Stop XCELLENCE","","3.5","4.1","102.0","111.0"
"SEAT IBIZA 1.0 TGI 90CV Start&Stop XCELLENCE","","3.8","4.1","103.0","112.0"
"SEAT IBIZA 1.0 TGI 90CV Start&Stop XCELLENCE GO Navi","","3.5","4.1","95.0","111.0"
"SEAT IBIZA 1.0 TGI 90CV Start&Stop XCELLENCE GO2","","3.5","4.1","101.0","111.0"
"SEAT IBIZA 1.0 TGI 90CV Start&Stop XCELLENCE MY22","","3.5","4.1","100.0","111.0"
"SEAT IBIZA 1.0 TGI 90CV Start&Stop XCELLENCE Plus","","3.8","4.1","103.0","112.0"
"SEAT IBIZA 1.0 TGI 90CV Start&Stop XCELLENCE PLUS MY22","","3.5","4.1","100.0","111.0"
"SEAT IBIZA 1.0 TGI 90CV Start&Stop XCELLENCE Plus s48","","3.7","4.0","102.0","111.0"
"SEAT IBIZA 1.0 TGI 90CV Start&Stop XCELLENCE s48","","3.7","4.0","102.0","111.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop DSG-7 FR","","1.0","6.4","133.0","146.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop DSG-7 FR GO","","5.3","6.4","122.0","146.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop DSG-7 FR GO2","","5.3","6.4","133.0","146.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop DSG-7 FR MY22","","5.3","6.4","132.0","146.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop DSG-7 FR PLUS MY22","","5.3","6.4","132.0","146.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop DSG-7 XCELLENCE","","5.3","6.4","127.0","146.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop DSG-7 XCELLENCE GO","","5.3","6.4","122.0","146.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop DSG-7 XCELLENCE GO Navi","","5.3","6.4","122.0","146.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop DSG-7 XCELLENCE GO2","","5.3","6.4","126.0","146.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop DSG-7 XCELLENCE MY22","","5.3","6.4","127.0","146.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop DSG-7 XCELLENCE PLUS MY22","","5.3","6.4","126.0","146.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop FR","","4.9","6.1","112.0","138.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop FR","","4.9","6.1","123.0","138.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop FR GO","","4.9","6.1","112.0","138.0"
"SEAT IBIZA 1.0 TSI 110CV Start&Stop FR GO2","","4.9","6.1","123.0","138.0"
