"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Kia XCEED 5p 1.6 CRDI MHEV 136CV Business Eco-Dynamics+","","5.0","5.0","131.0","131.0"
"Kia XCEED PHEV (MY22) 1.6 PHEV eDrive","","1.4","1.4","32.0","32.0"
"Kia XCEED PHEV (MY22) 1.6 PHEV eMotion","","1.7","1.7","38.0","38.0"
"Kia XCEED PHEV (MY22) 1.6 PHEV eMotion (Pack Premium)","","1.7","1.7","38.0","38.0"
"Kia XCEED PHEV (MY22) 1.6 PHEV eTech","","1.7","1.7","38.0","38.0"
"Kia XCEED PHEV (MY23) 1.6 PHEV eDrive","","1.4","1.4","32.0","32.0"
"Kia XCEED PHEV (MY23) 1.6 PHEV eMotion","","1.7","1.7","38.0","38.0"
"Kia XCEED PHEV (MY23) 1.6 PHEV eMotion (Pack Premium)","","1.7","1.7","38.0","38.0"
"Kia XCEED PHEV (MY23) 1.6 PHEV eTech","","1.7","1.7","38.0","38.0"
"KING LONG E10 Autobus urbano 10.50 m LE","","","","",""
"KING LONG E10 Autobus urbano 10.50 m LF","","","","",""
"KING LONG E12 Autobus urbano 11.98 m LF","","","","",""
"KING LONG E12 Autobus urbano 12.20 m LE","","","","",""
"KING LONG E12 Autobus urbano 12.20 m LE","","","","",""
"KING LONG PE10 Autobus urbano 10.5 m LE","","","","",""
"KING LONG PE12 Autobus urbano 11.98 m LF","","","","",""
"KING LONG PE15 Autobus urbano 14.69 m LE","","","","",""
"KTM KTM FREERIDE E-XC","","","","",""
"KYMCO IONEX S7","","","","",""
"Land Rover Discovery 2.0 I4 300CV 4WD Auto - S/SE/HSE/HSE Luxury - 5 asientos","","10.8","11.9","242.4","270.1"
"Land Rover Discovery 2.0 I4 300CV 4WD Auto - S/SE/HSE/HSE Luxury - 7 asientos","","10.8","11.9","242.4","270.1"
"Land Rover Discovery 2.0D SD4 240CV 4WD Auto - S/SE/HSE/HSE Luxury - 5 asientos","","8.3","9.4","217.0","247.0"
"Land Rover Discovery 2.0D SD4 240CV 4WD Auto - S/SE/HSE/HSE Luxury - 7 asientos","","8.3","9.4","217.0","247.0"
"Land Rover Discovery 3.0D SDV6 306CV 4WD Auto - SE/HSE/HSE Luxury - 5 asientos","","8.8","10.0","231.8","261.8"
"Land Rover Discovery 3.0D SDV6 306CV 4WD Auto - SE/HSE/HSE Luxury - 7 asientos","","8.8","10.0","231.8","261.8"
"Land Rover Discovery Sport 1.5 I3 PHEV 300 PS AWD - Standard/S/SE/HSE/R-Dynamic/R-Dynamic S/R-Dynamic SE/R-Dynamic HSE","","1.4","2.0","32.0","44.0"
"Land Rover Discovery Sport eD4 150CV 2WD - Pure/SE/HSE/HSE Luxury","","6.8","7.3","179.2","191.9"
"Land Rover Discovery Sport SD4 240CV 4WD Auto - SE/HSE/HSE Luxury - 5 asientos","","7.6","8.8","200.2","230.2"
"Land Rover Discovery Sport SD4 240CV 4WD Auto - SE/HSE/HSE Luxury - 7 asientos","","7.6","8.8","200.2","230.2"
"Land Rover Discovery Sport TD4 150CV 4WD Auto - Pure/SE/HSE/HSE Luxury - 5 asientos","","7.2","8.3","187.7","217.7"
"Land Rover Discovery Sport TD4 150CV 4WD Auto - Pure/SE/HSE/HSE Luxury - 7 asientos","","7.2","8.3","187.7","217.7"
