"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Kia NIRO 1.6 HEV Concept","","4.8","4.8","110.0","110.0"
"Kia NIRO 1.6 HEV Concept (MY22)","","4.8","4.8","110.0","110.0"
"Kia NIRO 1.6 HEV Drive","","4.8","4.8","110.0","110.0"
"Kia NIRO 1.6 HEV Drive (MY22)","","4.9","4.9","110.0","110.0"
"Kia NIRO 1.6 HEV Emotion","","5.2","5.2","119.0","119.0"
"Kia NIRO 1.6 HEV Emotion (MY22)","","5.2","5.3","119.0","120.0"
"Kia NIRO 1.6 HEV Emotion (MY22) (Pack Luxury)","","5.2","5.3","119.0","120.0"
"Kia NIRO 1.6 HEV Emotion (Pack Luxury)","","5.2","5.2","119.0","119.0"
"Kia NIRO 1.6 PHEV Concept","","1.4","1.4","31.0","31.0"
"Kia NIRO 1.6 PHEV Drive","","1.4","1.4","31.0","31.0"
"Kia NIRO 1.6 PHEV Emotion","","1.4","1.4","31.0","31.0"
"Kia NIRO 1.6 PHEV Emotion (Pack Luxury)","","1.4","1.4","31.0","31.0"
"Kia Nuevo e-Niro Concept","","","","",""
"Kia Nuevo e-Niro Drive","","","","",""
"Kia Nuevo e-Niro Emotion","","","","",""
"Kia Nuevo e-Niro Emotion Pack Luxury","","","","",""
"Kia Nuevo e-Niro Winter Edition","","","","",""
"Kia NUEVO NIRO 1.6 HEV Concept","","4.4","4.4","100.0","100.0"
"Kia NUEVO NIRO 1.6 HEV Drive","","4.4","4.4","101.0","101.0"
"Kia NUEVO NIRO 1.6 HEV Drive Pack Design","","4.4","4.4","101.0","101.0"
"Kia NUEVO NIRO 1.6 HEV Emotion","","4.6","4.6","105.0","105.0"
"Kia NUEVO NIRO 1.6 HEV Emotion Pack Luxury","","4.7","4.7","106.0","106.0"
"Kia NUEVO NIRO 1.6 PHEV Concept","","0.8","1.0","18.0","18.0"
"Kia NUEVO NIRO 1.6 PHEV Drive","","0.8","1.0","19.0","19.0"
"Kia NUEVO NIRO 1.6 PHEV Drive Pack Design","","0.8","1.0","19.0","19.0"
"Kia NUEVO NIRO 1.6 PHEV Emotion","","0.8","1.0","21.0","21.0"
"Kia NUEVO NIRO 1.6 PHEV Emotion Pack Luxury","","0.8","1.0","22.0","22.0"
"Kia NUEVO SORENTO 1.6 HEV Drive 4X2(7pl)","","6.7","6.7","151.0","153.0"
"Kia NUEVO SORENTO 1.6 HEV Emotion 4X2(7pl)","","6.7","6.7","151.0","153.0"
"Kia NUEVO SORENTO 1.6 HEV Emotion 4X2(7pl) (Pack Luxury)","","6.7","6.7","151.0","153.0"
"Kia NUEVO SORENTO 1.6 HEV Emotion 4X4(7pl)","","7.4","7.4","167.0","168.0"
