"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Hyundai New i20 5P TGDI 1.0 100CV TECNO","","5.3","5.3","120.0","121.0"
"Hyundai New i20 5P TGDI 1.0 120CV 48V DT N LINE X","","5.3","5.3","121.0","121.0"
"Hyundai New i20 5P TGDI 1.0 120CV 48V DT NLINE X","","5.3","5.3","120.0","120.0"
"Hyundai New i20 5P TGDI 1.0 120CV 48V DT STYLE2C","","5.3","5.3","120.0","120.0"
"Hyundai New i20 5P TGDI 1.0 120CV 48V DT STYLUX","","5.3","5.3","120.0","120.0"
"Hyundai NEXO 5P FCEV 120KW 4X2 STYLE","","1.0","1.0","",""
"Hyundai S.FE TM CRDI 2.2 194CV 4X4 DCT STYLE","","6.8","6.8","179.0","179.0"
"Hyundai S.FE TM CRDI 2.2 194CV 4X4 DCT TECNO","","6.8","6.8","178.0","178.0"
"Hyundai S.FE TM CRDI 2.2 194CV DCT KLASS","","6.4","6.4","166.0","166.0"
"Hyundai S.FE TM CRDI 2.2 194CV DCT MAXX","","6.4","6.4","167.0","167.0"
"Hyundai S.FE TM CRDI 2.2 194CV DCT TECNO","","6.3","6.3","166.0","166.0"
"Hyundai S.FE TM CRDI 2.2 200CV 4X4 DCT STYLE","","6.9","6.9","180.0","180.0"
"Hyundai S.FE TM CRDI 2.2 200CV 4X4 DCT TECNO","","6.8","6.8","179.0","179.0"
"Hyundai S.FE TM CRDI 2.2 200CV DCT KLASS","","6.2","6.2","163.0","163.0"
"Hyundai S.FE TM CRDI 2.2 200CV DCT MAXX","","6.2","6.2","164.0","164.0"
"Hyundai S.FE TM CRDI 2.2 200CV DCT TECNO","","6.3","6.3","165.0","165.0"
"Hyundai S.FE TM HEV TGDI 1.6 230CV 4X4 AT STYLE","","7.4","7.4","169.0","169.0"
"Hyundai S.FE TM HEV TGDI 1.6 230CV 4X4 AT TECNO","","7.4","7.4","168.0","168.0"
"Hyundai S.FE TM HEV TGDI 1.6 230CV AT KLASS","","6.4","6.4","144.0","144.0"
"Hyundai S.FE TM HEV TGDI 1.6 230CV AT MAXX","","6.4","6.4","145.0","145.0"
"Hyundai S.FE TM HEV TGDI 1.6 230CV AT TECNO","","6.7","6.7","152.0","152.0"
"Hyundai S.FE TM PHEV TGDI 1.6 265CV 4X4 AT MAXX","","1.6","1.6","37.0","37.0"
"Hyundai S.FE TM PHEV TGDI 1.6 265CV 4X4 AT STYLE","","1.6","1.6","37.0","37.0"
"Hyundai S.FE TM PHEV TGDI 1.6 265CV 4X4 AT TECNO","","1.6","1.6","37.0","37.0"
"Hyundai STARIA 7S 2.2 CRDI 177CV 4x4 8AT STYLE","","8.9","8.9","232.0","232.0"
"Hyundai STARIA 9S 2.2 CRDI 177CV 4X4 8AT STYLE 9S","","8.9","8.9","232.0","232.0"
"Hyundai STARIA 9S 2.2 CRDI 177CV 8AT TECNO","","8.2","8.5","215.0","222.0"
"Hyundai STARIA 9S CRDI 2.2 177CV AT MAXX","","8.2","8.2","244.0","244.0"
"Hyundai STARIA 9S CRDI 2.2 177CV AT TECNO","","8.2","8.2","214.0","214.0"
"Hyundai STARIA 9S CRDI 2.2 177CV AT TECNO LE","","8.2","8.2","214.0","214.0"
"Hyundai TUCSON                  1.6 CRDI 115CV KLASS","","5.2","5.3","136.0","138.0"
"Hyundai TUCSON                  1.6 CRDI 115CV KLASS SAFE","","5.2","5.2","136.0","136.0"
"Hyundai TUCSON                  1.6 CRDI 115CV MAXX","","5.2","5.3","136.0","138.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT MAXX","","5.5","5.8","145.0","151.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT MAXX SKY","","5.8","5.8","152.0","152.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT NLINE SKY","","5.8","6.0","152.0","157.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT STYLE","","5.8","5.8","152.0","152.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT STYLE TEAL","","5.9","5.9","154.0","154.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT TECNO 2C","","5.6","5.8","148.0","153.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT TECNO SKY","","5.9","5.9","154.0","154.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT MAXX","","5.0","5.3","132.0","139.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT MAXX SAFE","","5.0","5.0","132.0","132.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT MAXX SKY","","5.1","5.3","133.0","140.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT NLINE SKY","","5.3","5.5","138.0","145.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT NLINE SKY SAFE","","5.3","5.3","138.0","138.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT TECNO 2C","","5.1","5.4","134.0","141.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT TECNO SKY","","5.2","5.4","135.0","142.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V MAXX","","4.9","5.0","129.0","132.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V MAXX SAFE","","4.9","4.9","129.0","129.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V MAXX SKY","","5.0","5.0","130.0","130.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V TECNO 2C","","5.1","5.1","132.0","135.0"
"Hyundai TUCSON                  1.6 CRDI 136CV 48V TECNO SKY","","5.1","5.1","134.0","134.0"
"Hyundai TUCSON                  1.6 TGDI 150CV 30A","","6.8","6.8","155.0","155.0"
"Hyundai TUCSON                  1.6 TGDI 150CV 48V DT NLINE SKY","","6.6","6.6","149.0","149.0"
"Hyundai TUCSON                  1.6 TGDI 150CV 48V DT NLINE SKY SAFE","","6.6","6.6","149.0","149.0"
"Hyundai TUCSON                  1.6 TGDI 150CV 48V DT TECNO 2C","","6.5","6.5","146.0","146.0"
"Hyundai TUCSON                  1.6 TGDI 150CV 48V DT TECNO SKY","","6.5","6.5","147.0","147.0"
"Hyundai TUCSON                  1.6 TGDI 150CV 48V MAXX","","6.5","6.5","148.0","148.0"
"Hyundai TUCSON                  1.6 TGDI 150CV 48V MAXX SKY","","6.6","6.6","149.0","149.0"
"Hyundai TUCSON                  1.6 TGDI 150CV 48V NLINE","","6.7","6.7","153.0","153.0"
"Hyundai TUCSON                  1.6 TGDI 150CV 48V TECNO 2C","","6.6","6.6","150.0","150.0"
"Hyundai TUCSON                  1.6 TGDI 150CV 48V TECNO SKY","","6.7","6.7","151.0","151.0"
"Hyundai TUCSON                  1.6 TGDI 150CV KLASS","","6.7","6.7","151.0","151.0"
"Hyundai TUCSON                  1.6 TGDI 150CV KLASS SAFE","","6.7","6.7","151.0","151.0"
"Hyundai TUCSON                  1.6 TGDI 150CV MAXX","","6.7","6.7","152.0","152.0"
"Hyundai TUCSON                  1.6 TGDI 150CV MAXX SILVER","","6.7","6.7","152.0","152.0"
"Hyundai TUCSON                  1.6 TGDI 150CV NLINE 30A","","6.8","6.8","155.0","155.0"
"Hyundai TUCSON                  1.6 TGDI 180CV 48V 4X4 DT STYLE","","7.1","7.1","160.0","162.0"
"Hyundai TUCSON                  1.6 TGDI 180CV 48V 4X4 DT STYLE TEAL","","7.1","7.1","162.0","162.0"
