"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"SKODA OCTAVIA COMBI MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2058)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2119)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY22 ACTIVE 1.0 TSI 81 kW (110 CV) Manual 6 vel.","","5.3","5.4","119.0","123.0"
"SKODA OCTAVIA COMBI MY22 ACTIVE 2.0 TDI 85 kW (115 CV) Manual","","4.2","4.3","111.0","114.0"
"SKODA OCTAVIA COMBI MY22 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2058)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY22 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY22 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2119)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY22 AMBITION 1.0 TSI 81 kW (110 CV) DSG - mHEV","","5.2","5.7","119.0","129.0"
"SKODA OCTAVIA COMBI MY22 AMBITION 1.0 TSI 81 kW (110 CV) Manual","","5.3","5.7","120.0","129.0"
"SKODA OCTAVIA COMBI MY22 AMBITION 1.5 TSI 110 kW (150 CV) DSG m-HEV","","5.4","5.9","124.0","133.0"
"SKODA OCTAVIA COMBI MY22 AMBITION 1.5 TSI 110 kW (150 CV) Manual","","5.6","6.0","126.0","136.0"
"SKODA OCTAVIA COMBI MY22 AMBITION 1.5 TSI 96 kW (130 CV) DSG - G-TEC","","5.9","6.2","106.0","110.0"
"SKODA OCTAVIA COMBI MY22 AMBITION 1.5 TSI 96 kW (130 CV) Manual - G-TEC","","5.7","5.9","102.0","106.0"
"SKODA OCTAVIA COMBI MY22 AMBITION 2.0 TDI 110 kW (150 CV) DSG","","4.5","4.8","118.0","126.0"
"SKODA OCTAVIA COMBI MY22 AMBITION 2.0 TDI 110 kW (150 CV) Manual","","4.3","4.6","113.0","122.0"
"SKODA OCTAVIA COMBI MY22 AMBITION 2.0 TDI 85 kW (115 CV) DSG","","4.5","4.8","118.0","126.0"
"SKODA OCTAVIA COMBI MY22 AMBITION 2.0 TDI 85 kW (115 CV) Manual","","4.3","4.6","112.0","120.0"
"SKODA OCTAVIA COMBI MY22 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2141)","","1.3","1.4","28.0","29.0"
"SKODA OCTAVIA COMBI MY22 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2152)","","1.3","1.4","28.0","29.0"
"SKODA OCTAVIA COMBI MY22 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2163)","","1.3","1.4","28.0","29.0"
"SKODA OCTAVIA COMBI MY22 RS 2.0 TDI 147kW (200 CV) DSG","","5.0","5.2","132.0","136.0"
"SKODA OCTAVIA COMBI MY22 RS 2.0 TSI 180 kW (245 CV) DSG","","6.9","7.2","156.0","163.0"
"SKODA OCTAVIA COMBI MY22 SCOUT 1,5 TSI 110 kW (150 CV) DSG m-HEV","","5.7","5.9","130.0","133.0"
"SKODA OCTAVIA COMBI MY22 SCOUT 1.5 TSI 110 kW (150 CV) Manual","","5.8","6.0","132.0","136.0"
"SKODA OCTAVIA COMBI MY22 SCOUT 2.0 TDI 110kW (150 CV) DSG 4x4","","5.3","5.5","140.0","144.0"
"SKODA OCTAVIA COMBI MY22 SCOUT 2.0 TDI 147kW (200 CV) DSG 4x4","","5.7","5.9","150.0","155.0"
"SKODA OCTAVIA COMBI MY22 SCOUT 2.0 TSI 140kW (190 CV) DSG 4x4","","7.3","7.4","165.0","169.0"
"SKODA OCTAVIA COMBI MY22 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2058)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY22 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY22 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2119)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY22 SPORT 1.5 TSI 110 kW (150 CV) DSG m-HEV","","5.6","5.9","126.0","133.0"
"SKODA OCTAVIA COMBI MY22 SPORT 2.0 TDI 110 kW (150 CV) DSG","","4.5","4.8","118.0","126.0"
"SKODA OCTAVIA COMBI MY22 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2058)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY22 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY22 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2119)","","1.1","1.4","24.0","29.0"
"SKODA OCTAVIA COMBI MY22 STYLE 1.5 TSI 110 kW (150 CV) DSG m-HEV","","5.6","5.9","127.0","133.0"
"SKODA OCTAVIA COMBI MY22 STYLE 1.5 TSI 110 kW (150 CV) Manual","","5.7","6.0","130.0","136.0"
