"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"MG MG ZS EV MG ZS EV (105 kW) MY2019","","","","",""
"MG MG ZS EV MG ZS EV (105 kW) MY2020","","","","",""
"MG MG ZS EV MG ZS EV (115 kW)","","","","",""
"MG MG ZS EV MG ZS EV (130 kW)","","","","",""
"MG MG ZS MG ZS (78 kW)","","6.6","6.6","149.0","149.0"
"MG MG ZS MG ZS (82 kW)","","6.6","6.6","149.0","149.0"
"MG MG ZS MG ZS (82 kW) AT","","7.2","7.2","163.0","163.0"
"MG MG4 Electric 170 CV (125 kW) AF5LKEAA","","","","",""
"MG MG4 Electric 170 CV (125 kW) STD: AF5LKEA","","","","",""
"MG MG4 Electric 203 CV (150 kW) COM: BF5LKEB","","","","",""
"MG MG4 Electric 203 CV (150 kW) LUX: BF5LKEE","","","","",""
"MG MG4 Electric 204 CV (150 kW) BF5LKE??","","","","",""
"MG MG4 Electric 245 CV (180 kW) CF5LKE?E","","","","",""
"MG MG4 Electric 435 CV (320 kW) DF5LKE?D","","","","",""
"MG MG5 Electric 115 kW (01-LSJ-I)","","","","",""
"MG MG5 Electric 115 kW (03-LSJ-I)","","","","",""
"MG MG5 Electric 115 kW (05-LSJ-I)","","","","",""
"MG MG5 Electric 115 kW (07-LSJ-I)","","","","",""
"MG MG5 Electric 130 kW (02-LSJ-I)","","","","",""
"MG MG5 Electric 130 kW (04-LSJ-I)","","","","",""
"MG MG5 Electric 130 kW (06-LSJ-I)","","","","",""
"MG MG5 Electric 130 kW (08-LSJ-I)","","","","",""
"MICRO MICROLINO COMPETIZIONE","","","","",""
"MICRO MICROLINO DOLCE","","","","",""
"MICRO MICROLINO PIONEER","","","","",""
"MINI 3 puertas COOPER AUTOMÁTICO","","5.5","5.9","124.0","134.0"
"MINI 3 puertas COOPER MANUAL","","5.5","5.9","124.0","133.0"
"MINI 3 puertas COOPER S AUTOMÁTICO","","5.8","6.2","133.0","141.0"
"MINI 3 puertas COOPER SE","","","","",""
"MINI 3 puertas JOHN COOPER WORKS AUTOMÁTICO","","6.6","6.9","151.0","156.0"
"MINI 5 puertas COOPER AUTOMÁTICO","","5.6","5.9","126.0","134.0"
"MINI 5 puertas COOPER MANUAL","","5.5","5.8","125.0","132.0"
"MINI 5 puertas COOPER S AUTOMÁTICO","","5.9","6.3","134.0","144.0"
"MINI CABRIO COOPER AUTOMÁTICO","","5.9","6.1","135.0","140.0"
"MINI CABRIO COOPER S AUTOMÁTICO","","6.2","6.4","141.0","146.0"
"MINI CABRIO COOPER SE","","","","",""
"MINI CABRIO JOHN COOPER WORKS AUTOMÁTICO","","6.9","7.1","156.0","162.0"
"MINI Clubman COOPER AUTOMÁTICO","","6.0","6.2","137.0","141.0"
"MINI Clubman COOPER D AUTOMÁTICO","","5.0","5.1","130.0","134.0"
"MINI Clubman COOPER S AUTOMÁTICO","","6.3","6.7","145.0","151.0"
"MINI Clubman JOHN COOPER WORKS ALL4 AUTOMÁTICO","","7.4","7.9","169.0","180.0"
"MINI COOPER ELÉCTRICO E","","","","",""
"MINI COOPER ELÉCTRICO SE","","","","",""
"MINI COUNTRYMAN C AUTOMÁTICO","","6.3","6.5","143.0","147.0"
"MINI COUNTRYMAN COOPER AUTOMÁTICO","","6.3","6.7","144.0","153.0"
"MINI COUNTRYMAN COOPER D AUTOMÁTICO","","5.0","5.3","130.0","138.0"
"MINI COUNTRYMAN COOPER S ALL4 AUTOMÁTICO","","7.1","7.4","160.0","167.0"
"MINI COUNTRYMAN COOPER SD ALL4 AUTOMÁTICO","","5.4","5.6","142.0","147.0"
"MINI COUNTRYMAN COOPER SE ALL4","","1.8","2.0","40.0","44.0"
"MINI COUNTRYMAN JOHN COOPER WORKS ALL4 AUTOMÁTICO","","7.8","8.3","177.0","187.0"
"MINI COUNTRYMAN JOHN COOPER WORKS AUTOMÁTICO","","7.6","8.2","174.0","188.0"
"Mitsubishi ASX 130T MHEV 7DCT Kaiteki","","5.0","7.4","112.0","168.0"
"Mitsubishi ASX 130T MHEV Kaiteki","","5.0","7.1","112.0","160.0"
"Mitsubishi ASX 130T MHEV Motion","","5.0","7.1","112.0","160.0"
"Mitsubishi ASX 160 HEV Kaiteki","","4.2","5.5","94.0","125.0"
"Mitsubishi ASX 160 PHEV Kaiteki","","1.4","5.8","31.0","131.0"
"Mitsubishi ASX 160 PHEV Kaiteki+","","1.4","5.8","31.0","131.0"
"Mitsubishi ECLIPSE CROSS ECLIPSE CROSS PHEV KAITEKI 4WD","","1.0","8.5","23.0","192.0"
"Mitsubishi ECLIPSE CROSS ECLIPSE CROSS PHEV KAITEKI+ 4WD","","1.0","8.5","23.0","192.0"
"Mitsubishi ECLIPSE CROSS ECLIPSE CROSS PHEV Motion 4WD","","1.0","8.5","23.0","192.0"
"Mitsubishi L200 C/C 220 DI-D M-PRO MY20","","7.6","9.7","199.2","254.4"
"Mitsubishi L200 D/C 220 DI-D 6AT Kaiteky MY20","","8.6","11.1","225.5","292.1"
"Mitsubishi L200 D/C 220 DI-D 6AT M-PRO MY20","","8.7","11.0","228.0","289.5"
"Mitsubishi L200 D/C 220 DI-D 6AT Motion MY20","","8.6","11.1","225.5","292.1"
"Mitsubishi L200 D/C 220 DI-D M-PRO MY20","","7.6","9.7","199.2","254.4"
"Mitsubishi Outlander PHEV","","0.1","7.4","3.0","167.0"
"Mitsubishi SPACE STAR 120 MPI CVT Kaiteki","","4.6","6.3","103.4","143.5"
"Mitsubishi SPACE STAR 120 MPI Kaiteki","","4.5","5.7","101.1","130.4"
"Mitsubishi SPACE STAR 120 MPI Motion","","4.4","5.5","98.7","125.4"
"Mitsubishi SPACE STAR 120 MPI Spirit","","4.4","5.9","103.2","134.0"
"NERVA EXE 0","","","","",""
"NEXT Mojito","","","","",""
"NEXTELECTRICMOTORS NXPLUS 0","","","","",""
"NEXTELECTRICMOTORS OVEGA 0","","","","",""
"NEXTEM ORCA 1","","","","",""
"NEXTEM ORCA Caja Alta","","","","",""
"NEXTEM ORCA Chasis","","","","",""
"NEXTEM ORCA Pick up","","","","",""
"NEXTEM ORCA Van","","","","",""
"Nissan 370Z Coupé GT Automático 3.7 Petrol 328PS","","12.0","12.0","271.0","271.0"
"Nissan 370Z Coupé GT Manual 3.7 Petrol 328PS","","12.1","12.1","274.0","274.0"
"Nissan 370Z Coupé Manual 3.7 Petrol 328PS","","12.1","12.1","274.0","274.0"
"Nissan 370Z Coupé NISMO Manual 3.7 Petrol 344PS","","12.2","12.2","276.0","276.0"
"Nissan 370Z Roadster GT Automático 3.7 Petrol 328PS","","12.2","12.2","276.0","276.0"
"Nissan 370Z Roadster GT Manual 3.7 Petrol 328PS","","12.8","12.8","289.0","289.0"
"Nissan ARIYA 63kWh 160kW (217CV) 4x2 ADVANCE","","","","",""
"Nissan ARIYA 63kWh 160kW (217CV) 4x2 ADVANCE  Cargador 22kW","","","","",""
"Nissan ARIYA 63kWh 160kW (217CV) 4x2 ADVANCE  Cargador 22kW + Techo Solar","","","","",""
"Nissan ARIYA 63kWh 160kW (217CV) 4x2 ENGAGE","","","","",""
"Nissan ARIYA 63kWh 160kW (217CV) 4x2 ENGAGE P. Tech","","","","",""
"Nissan ARIYA 63kWh 160kW (217CV) 4x2 EVOLVE","","","","",""
"Nissan ARIYA 63kWh 160kW (217CV) 4x2 EVOLVE  Cargador 22kW","","","","",""
"Nissan ARIYA 87kWh 178kW (242CV) 4x2 ADVANCE","","","","",""
"Nissan ARIYA 87kWh 178kW (242CV) 4x2 ADVANCE  Cargador 22kW","","","","",""
"Nissan ARIYA 87kWh 178kW (242CV) 4x2 ADVANCE  Cargador 22kW + Techo Solar","","","","",""
"Nissan ARIYA 87kWh 178kW (242CV) 4x2 ENGAGE","","","","",""
"Nissan ARIYA 87kWh 178kW (242CV) 4x2 ENGAGE P. Tech","","","","",""
"Nissan ARIYA 87kWh 178kW (242CV) 4x2 EVOLVE","","","","",""
"Nissan ARIYA 87kWh 178kW (242CV) 4x2 EVOLVE  Cargador 22kW","","","","",""
"Nissan ARIYA 87kWh 178kW (242CV) 4x2 EVOLVE P. Sport","","","","",""
