"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Audi A6 AVANT 40 TDI 150 kW (204 CV) S tronic 7 vel. Básico MY22","","5.4","5.5","142.0","144.0"
"Audi A6 AVANT 40 TDI 150 kW (204 CV) S tronic 7 vel. Básico MY23","","5.4","6.1","141.0","161.0"
"Audi A6 AVANT 40 TDI 150 kW (204 CV) S tronic 7 vel. Design MY21","","5.4","5.7","142.0","149.0"
"Audi A6 AVANT 40 TDI 150 kW (204 CV) S tronic 7 vel. MY21","","5.4","5.6","141.0","147.0"
"Audi A6 AVANT 40 TDI 150 kW (204 CV) S tronic 7 vel. S line/Black line MY23","","5.4","6.1","141.0","161.0"
"Audi A6 AVANT 40 TDI 150 kW (204 CV) S tronic 7 vel. Sport MY21","","5.5","5.9","143.0","156.0"
"Audi A6 AVANT 40 TDI 150 kW (204 CV) S tronic 7 vel. Sport MY22","","5.5","6.0","143.0","156.0"
"Audi A6 AVANT 40 TDI 150 kW (204 CV) S tronic 7 vel. Sport MY23","","5.4","6.1","141.0","161.0"
"Audi A6 AVANT 40 TDI 150 kW (204 CV) S tronic MY 20","","5.5","6.4","144.0","168.0"
"Audi A6 AVANT 40 TDI 150 kW (204 CV) S tronic MY19","","5.6","6.4","147.0","168.0"
"Audi A6 AVANT 40 TDI quattro 150 kW (204 CV) S tronic MY 20","","5.9","6.5","153.0","171.0"
"Audi A6 AVANT 40 TDI quattro 150 kW (204 CV) S tronic MY19","","6.0","6.6","156.0","172.0"
"Audi A6 AVANT 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Design MY21","","5.8","5.8","152.0","152.0"
"Audi A6 AVANT 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. MY21","","5.8","6.1","151.0","161.0"
"Audi A6 AVANT 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. S line/Black line MY23","","5.6","6.4","146.0","167.0"
"Audi A6 AVANT 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Sport MY21","","5.8","6.1","152.0","161.0"
"Audi A6 AVANT 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Sport MY22","","5.8","6.1","151.0","159.0"
"Audi A6 AVANT 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Sport MY23","","5.6","6.4","146.0","167.0"
"Audi A6 AVANT 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel.Básico MY23","","5.6","6.4","146.0","166.0"
"Audi A6 AVANT 45 TDI quattro 170 kW (231 CV) tiptronic 8 vel. Design MY21","","7.2","7.2","187.0","187.0"
"Audi A6 AVANT 45 TDI quattro 170 kW (231 CV) tiptronic 8 vel. Sport MY21","","7.2","7.4","188.0","193.0"
"Audi A6 AVANT 45 TDI quattro 170 kW (231 CV) tiptronic MY 20","","7.0","7.6","183.0","198.0"
"Audi A6 AVANT 45 TDI quattro 170 kW (231 CV) tiptronic MY19","","7.1","7.6","185.0","199.0"
