"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Renault ZOE SOCIETE 40 Q90","","","","",""
"Renault ZOE SOCIETE 40 R90 (SEMI: LIF MB 17R / LIF MB 17RP)","","","","",""
"Renault Zoe ZOE ZE - 100 kW R135 Batería 50kWh (semi: INT C MC 1LP / INT C MC 1L)","","","","",""
"REO XY40EV 0","","","","",""
"Rieju E-city LF3000DT","","","","",""
"Rieju NUUK Cargo","","","","",""
"Rieju NUUK CARGOPRO NUU3/1/A","","","","",""
"Rieju NUUK Tracker","","","","",""
"Rieju NUUK Urban","","","","",""
"ROTOM MOTORS GYD-TC, T10 GYD-TC / T / T10","","","","",""
"ROTOM MOTORS GYD2000 35aH","","","","",""
"ROTOM MOTORS GYD2000 70aH","","","","",""
"SAKURA JS2A JS2A","","","","",""
"Scania Chasis C Chassis LF 4x2 280cv GNC","","","","",""
"Scania Chasis C Chassis LF 4x2 340cv GNC","","","","",""
"Scania Chasis K Chassis LE 4x2 280cv GNC","","","","",""
"Scania Chasis K Chassis LE 4x2 320cv Hybrid","","","","",""
"Scania Chasis K Chassis LE 4x2 340cv GNC","","","","",""
"Scania Chasis K Chassis LE 4x2 360cv Hybrid","","","","",""
"Scania Chasis K Chassis LE 6x2*4 280cv GNC","","","","",""
"Scania Chasis K Chassis LE 6x2*4 320cv Hybrid","","","","",""
"Scania Chasis K Chassis LE 6x2*4 340cv GNC","","","","",""
"Scania Chasis K Chassis LE 6x2*4 360cv Hybrid","","","","",""
"Scania Chasis K Chassis LE 6x2/2 280cv GNC","","","","",""
"Scania Chasis K Chassis LE 6x2/2 340cv GNC","","","","",""
"Scania Chasis K Chassis NF 4x2 280cvGNC","","","","",""
"Scania Chasis K Chassis NF 4x2 320cv Hybrid","","","","",""
"Scania Chasis K Chassis NF 4x2 340cv GNC","","","","",""
"Scania Chasis K Chassis NF 4x2 360cv Hybrid","","","","",""
"Scania Chasis K Chassis NF 6x2*4 280cv GNC","","","","",""
"Scania Chasis K Chassis NF 6x2*4 320cv Hybrid","","","","",""
"Scania Chasis K Chassis NF 6x2*4 340cv GNC","","","","",""
"Scania Chasis K Chassis NF 6x2*4 360cv Hybrid","","","","",""
"Scania Chasis K Chassis NF 6x2/2 280cv GNC","","","","",""
"Scania Chasis K Chassis NF 6x2/2 340cv GNC","","","","",""
"Scania Rígido B4x2 280cv GNL/GNC","","","","",""
"Scania Rígido B4x2 340cv GNL/GNC","","","","",""
"Scania Rígido B4x2 410cv GNL/GNC","","","","",""
"Scania Rígido B6x2 280cv GNL/GNC","","","","",""
"Scania Rígido B6x2 340cv GNL/GNC","","","","",""
"Scania Rígido B6x2 410cv GNL/GNC","","","","",""
"Scania Rígido B6x2*4 280cv GNL/GNC","","","","",""
"Scania Rígido B6x2*4 340cv GNL/GNC","","","","",""
"Scania Rígido B6x2*4 410cv GNL/GNC","","","","",""
"Scania Rígido B8x2*6 280cv GNL/GNC","","","","",""
"Scania Rígido B8x2*6 340cv GNL/GNC","","","","",""
"Scania Rígido B8x2*6 410cv GNL/GNC","","","","",""
"Scania Rígido B8x2/*6 280cv GNL/GNC","","","","",""
"Scania Rígido B8x2/*6 340cv GNL/GNC","","","","",""
"Scania Rígido B8x2/*6 410cv GNL/GNC","","","","",""
"Scania Rígido B8x4*4 280cv GNL/GNC","","","","",""
"Scania Rígido B8x4*4 340cv GNL/GNC","","","","",""
"Scania Rígido B8x4*4 410cv GNL/GNC","","","","",""
"Scania Rígido Regional B6x2*4 BEV Regional","","","","",""
"Scania Rígido Urbano B4x2 220cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B4x2 250cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B4x2 280cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B4x2 320cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B4x2 360cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B4x2 BEV Urbano Eléctrico 5 baterías","","","","",""
"Scania Rígido Urbano B4x2 BEV Urbano Eléctrico 9 baterías","","","","",""
"Scania Rígido Urbano B6x2 220cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2 250cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2 280cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2 280cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2 320cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2 360cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2 BEV Urbano Eléctrico 5 baterías","","","","",""
"Scania Rígido Urbano B6x2 BEV Urbano Eléctrico 9 baterías","","","","",""
"Scania Rígido Urbano B6x2*4 220cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2*4 250cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2*4 280cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2*4 280cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2*4 320cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2*4 360cv PHEV Híbrido enchufable","","","","",""
"Scania Rígido Urbano B6x2*4 BEV Urbano Eléctrico 5 baterías","","","","",""
"Scania Rígido Urbano B6x2*4 BEV Urbano Eléctrico 9 baterías","","","","",""
"Scania Tractora A4x2 280cv GNL/GNC","","","","",""
"Scania Tractora A4x2 340cv GNL/GNC","","","","",""
"Scania Tractora A4x2 410cv GNL/GNC","","","","",""
"Scania Tractora Regional A4x2 BEV Regional","","","","",""
"SEAT ALHAMBRA 1.4 TSI 110kW (150CV) DSG Star&Stop STYLE con 7 plazas MY22","","7.9","9.1","189.0","206.0"
"SEAT ALHAMBRA 1.4 TSI 110kW (150CV) DSG Star&Stop XCELLENCE con 7 plazas MY22","","7.9","9.1","196.0","206.0"
"SEAT ALHAMBRA 1.4 TSI 110kW (150CV) Star&Stop STYLE con 7 plazas MY22","","7.6","8.6","177.0","194.0"
"SEAT ALHAMBRA 1.4 TSI 110kW (150CV) Star&Stop STYLE GO con 7 plazas MY22","","7.6","8.6","180.0","194.0"
"SEAT ALHAMBRA 1.4 TSI 110KW S/S REFERENCE MY19","","7.6","8.5","171.0","192.0"
"SEAT ALHAMBRA 1.4 TSI 110KW S/S REFERENCE TRAVEL ED MY19","","7.6","8.5","171.0","192.0"
"SEAT ALHAMBRA 1.4 TSI 110KW S/S STYLE DSG MY19","","8.1","9.2","184.0","208.0"
"SEAT ALHAMBRA 1.4 TSI 110KW S/S STYLE MY19","","7.6","8.5","171.0","192.0"
"SEAT ALHAMBRA 1.4 TSI 110KW S/S STYLE TRAVEL ED DSG MY19","","8.1","9.2","184.0","208.0"
"SEAT ALHAMBRA 1.4 TSI 110KW S/S STYLE TRAVEL EDITION MY19","","7.6","8.5","171.0","192.0"
"SEAT ALHAMBRA 1.4 TSI 110KW S/S XCELLENCE DSG MY19","","8.1","9.2","184.0","208.0"
"SEAT ALHAMBRA 1.4 TSI 110KW S/S XCELLENCE TRAV ED DSG MY19","","8.1","9.2","184.0","208.0"
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) DSG Start&Stop STYLE con 7 plazas s48","","6.5","7.2","175.0","207.0"
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) DSG Start&Stop STYLE Travel Edition con 7 plazas s48","","7.7","9.1","175.0","207.0"
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) DSG Start&Stop XCELLENCE con 7 plazas s48","","7.7","9.1","175.0","207.0"
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) DSG Start&Stop XCELLENCE Travel Edition con 7 plazas s48","","7.7","9.1","175.0","207.0"
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) Start&Stop STYLE con 7 plazas s48","","7.2","8.3","164.0","189.0"
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) Start&Stop STYLE Travel Edition con 7 plazas s48","","7.2","8.3","164.0","189.0"
"SEAT ALHAMBRA 2.0 TDI 110KW ECO S/S REF TRAVEL EDITION MY19","","6.1","6.8","160.0","177.0"
