"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Toyota PRIUS Llanta 17p (MY19)","","4.1","4.7","94.0","107.0"
"Toyota PRIUS PHEV Advance / Luxury (MY21)","","1.2","1.5","28.0","34.0"
"Toyota PRIUS PHEV Solar (MY21)","","1.2","1.5","28.0","34.0"
"Toyota PRIUS PLUS Advance / Executive Llanta 17p (MY19)","","5.7","6.0","130.0","137.0"
"Toyota PRIUS PLUS Eco Llanta 16p (MY19)","","5.7","6.0","130.0","137.0"
"Toyota PRIUS PLUS Llanta 16p (MY18)","","5.7","6.0","130.0","137.0"
"Toyota PRIUS PLUS Llanta 17p (MY18)","","5.7","6.0","130.0","137.0"
"Toyota PROACE Cabina plataforma Medio 2.0D (MY20)","","7.3","11.0","193.0","289.0"
"Toyota PROACE Cabina plataforma medio 2.0D GX (MY21)","","7.4","11.0","192.8","288.8"
"Toyota PROACE CITY VAN 1.5D 100CV GX L1 2P 1000 KG (MY21)","","5.1","6.1","133.2","160.2"
"Toyota PROACE CITY VAN 1.5D 100CV GX L1 2P 650 KG (MY21)","","5.1","6.1","133.2","160.2"
"Toyota PROACE CITY VAN 1.5D 100CV GX L1 650 KG (MY22)","","5.0","5.9","130.9","155.7"
"Toyota PROACE CITY VAN 1.5D 100CV GX L2 2P 1000 KG (MY21)","","5.1","6.1","133.2","160.2"
"Toyota PROACE CITY VAN 1.5D 100CV GX plus flotas/VX L1 (MY22)","","5.0","5.9","130.9","155.7"
"Toyota PROACE CITY VAN 1.5D 100CV GX plus flotas/VX L1 (RC22) - Desde 07/2023","","5.2","6.1","136.1","160.9"
"Toyota PROACE CITY VAN 1.5D 100CV GX plus flotas/VX L1(RC22)","","5.0","5.9","130.9","155.7"
"Toyota PROACE CITY VAN 1.5D 100CV GX/GX plus L1 (MY22)","","5.0","5.9","130.9","155.7"
"Toyota PROACE CITY VAN 1.5D 100CV GX/GX plus L1 (RC22)","","5.0","5.9","130.9","155.7"
"Toyota PROACE CITY VAN 1.5D 100CV GX/GX plus L1 (RC22) - Desde 07/2023","","5.2","6.1","136.1","160.9"
"Toyota PROACE CITY VAN 1.5D 100CV GX/GX plus L1 650 kg (RC22) - Desde 07/2023","","5.2","6.1","136.1","160.9"
"Toyota PROACE CITY VAN 1.5D 100CV GX/GX plus L1 650 kg(RC22)","","5.0","5.9","130.9","155.7"
"Toyota PROACE CITY VAN 1.5D 100CV GX/GX plus L2 (MY22)","","5.0","5.9","130.9","155.7"
"Toyota PROACE CITY VAN 1.5D 100CV GX/GX plus L2 (RC22)","","5.0","5.9","130.9","155.7"
"Toyota PROACE CITY VAN 1.5D 100CV GX/GX plus L2 (RC22) - Desde 07/2023","","5.2","6.1","136.1","160.9"
"Toyota PROACE CITY VAN 1.5D 100CV VX L1 3P 1000 KG (MY21)","","5.1","6.1","133.2","160.2"
"Toyota PROACE CITY VAN 1.5D 130CV GX L1 2P 1000 KG (MY21)","","5.4","6.0","140.8","157.6"
"Toyota PROACE CITY VAN 1.5D 130CV GX L2 (MY22)","","5.1","6.0","132.6","157.1"
"Toyota PROACE CITY VAN 1.5D 130CV GX L2 2P 1000 KG (MY21)","","5.4","6.0","140.8","157.6"
"Toyota PROACE CITY VAN 1.5D 130CV GX/GX plus L1 (MY22)","","5.1","6.0","132.6","157.1"
"Toyota PROACE CITY VAN 1.5D 130CV GX/GX plus L1 (RC22)","","5.1","6.0","132.6","157.1"
"Toyota PROACE CITY VAN 1.5D 130CV GX/GX plus L1 (RC22) - Desde 07/2023","","5.4","6.5","141.3","170.9"
"Toyota PROACE CITY VAN 1.5D 130CV GX/GX plus L2 (RC22)","","5.1","6.0","132.6","157.1"
"Toyota PROACE CITY VAN 1.5D 130CV GX/GX plus L2 (RC22) - Desde 07/2023","","5.4","6.5","141.3","170.9"
"Toyota PROACE CITY VAN 1.5D 130CV VX L2 (MY22)","","5.1","6.0","132.6","157.1"
"Toyota PROACE CITY VAN 1.5D 130CV VX L2 (RC22)","","5.1","6.0","132.6","157.1"
"Toyota PROACE CITY VAN 1.5D 130CV VX L2 (RC22) - Desde 07/2023","","5.4","6.5","141.3","170.9"
"Toyota PROACE CITY VAN 1.5D 130CV VX L2 3P 1000 KG (MY21)","","5.4","6.0","140.8","157.6"
"Toyota PROACE CITY VAN 1.5D 75CV GX L1 2P 1000 KG (MY21)","","5.3","5.7","139.4","149.7"
"Toyota PROACE CITY VAN 1.5D L1 2P 1000 kg. (MY20)","","5.1","6.1","133.0","160.0"
"Toyota PROACE CITY VAN 1.5D L1 2P 1000 kg. (MY20)","","5.4","6.0","141.0","158.0"
"Toyota PROACE CITY VAN 1.5D L1 2P 650 kg. (MY20)","","5.1","6.1","133.0","160.0"
"Toyota PROACE CITY VAN 1.5D L1 2P 650 kg. (MY20)","","5.1","6.1","133.0","160.0"
"Toyota PROACE CITY VAN 1.5D L1 3P 1000 kg. (MY20)","","5.1","6.1","133.0","160.0"
"Toyota PROACE CITY VAN 1.5D L2 2P 1000 kg. (MY20)","","5.1","6.1","133.0","160.0"
"Toyota PROACE CITY VAN 1.5D L2 2P 1000 kg. (MY20)","","5.4","6.0","141.0","158.0"
"Toyota PROACE CITY VAN 1.5D L2 3P 1000 kg. (MY20)","","5.4","6.0","141.0","158.0"
"Toyota PROACE CITY VAN EV Furgón largo GX 50 kWh (MY22)","","","","",""
"Toyota PROACE CITY VAN EV Furgón largo GX/GX PLUS 50 kWh (RC22)","","","","",""
"Toyota PROACE CITY VAN EV Furgón largo VX 50 kWh (MY22)","","","","",""
"Toyota PROACE CITY VAN EV Furgón largo VX 50 kWh (RC22)","","","","",""
"Toyota PROACE CITY VAN EV Furgón medio GX 50 kWh (MY22)","","","","",""
"Toyota PROACE CITY VAN EV Furgón medio GX/GX PLUS 50 kWh(RC22)","","","","",""
"Toyota PROACE CITY VAN EV Furgón medio VX 50 kWh (MY22)","","","","",""
"Toyota PROACE CITY VAN EV Furgón medio VX 50 kWh (RC22)","","","","",""
"Toyota PROACE CITY VERSO Combi / Family 1.5D L1 5P 6MT VX/ Active (MY20)","","5.2","6.1","137.0","161.0"
"Toyota PROACE CITY VERSO Combi / Family 1.5D L1 5P Aut. Llanta 16p (MY20)","","5.4","6.2","141.0","163.0"
"Toyota PROACE CITY VERSO Combi 1.5D L1 5P 5MT GX/ VX (MY20)","","5.1","6.1","133.0","160.0"
"Toyota PROACE CITY VERSO Combi 1.5D L1 GX/VX 5p (MY21)","","4.9","5.9","129.1","154.2"
"Toyota PROACE CITY VERSO Combi 1.5D L1 VX 5p (MY21)","","5.0","5.9","130.0","154.4"
"Toyota PROACE CITY VERSO Combi 1.5D L2 2PL 5P GX/ VX (MY20)","","5.2","6.1","137.0","161.0"
"Toyota PROACE CITY VERSO Combi 1.5D L2 5P GX Llanta 16p (MY20)","","5.1","6.1","133.0","160.0"
"Toyota PROACE CITY VERSO Combi 1.5D L2 7P VX (MY20)","","5.2","6.1","137.0","161.0"
"Toyota PROACE CITY VERSO Combi 1.5D L2 GX 5p (MY21)","","4.9","5.9","129.1","154.2"
"Toyota PROACE CITY VERSO Combi 1.5D L2 GX/VX 5p (MY21)","","5.0","5.9","130.0","154.4"
"Toyota PROACE CITY VERSO Combi 1.5D L2 VX 7p (MY21)","","5.0","5.9","130.0","154.4"
"Toyota PROACE CITY VERSO Combi Gx L2 1.5D 100CV 6MT (MY22)","","4.9","5.9","129.1","154.2"
"Toyota PROACE CITY VERSO Combi Gx L2 1.5D 100CV 6MT (RC22)","","4.9","5.9","129.1","154.2"
"Toyota PROACE CITY VERSO Combi Gx/Gx flotas/Vx L1 1.5D 100CV 6MT (MY22)","","4.9","5.9","129.1","154.2"
"Toyota PROACE CITY VERSO Combi Gx/Gx Flotas/Vx L1 1.5D 100CV 6MT (RC22)","","4.9","5.9","129.1","154.2"
"Toyota PROACE CITY VERSO Combi Gx/Vx L2 1.5D 130CV 6MT (MY22)","","5.0","5.9","130.0","154.4"
"Toyota PROACE CITY VERSO Combi Gx/Vx L2 1.5D 130CV 6MT (RC22)","","5.0","5.9","130.0","154.4"
"Toyota PROACE CITY VERSO Combi Vx 7 plazas L2 1.5D 130CV 6MT (MY22)","","5.0","5.9","130.0","154.4"
"Toyota PROACE CITY VERSO Combi Vx 7 plazas L2 1.5D 130CV 6MT (RC22)","","5.0","5.9","130.0","154.4"
"Toyota PROACE CITY VERSO Combi Vx L1 1.5D 130CV 6MT (MY22)","","5.0","5.9","130.0","154.4"
"Toyota PROACE CITY VERSO Combi Vx L1 1.5D 130CV 6MT (RC22)","","5.0","5.9","130.0","154.4"
"Toyota PROACE CITY VERSO Combi Vx L1 1.5D 130CV 8AT (MY22)","","5.2","6.2","136.7","163.4"
"Toyota PROACE CITY VERSO Combi Vx L1 1.5D 130CV 8AT (RC22)","","5.2","6.2","136.7","163.4"
"Toyota PROACE CITY VERSO Combi1.5D L2 1PL 5P GX (MY20)","","5.1","6.1","133.0","160.0"
"Toyota PROACE CITY VERSO EV Combi larga GX/VX 50 kWh (MY22)","","","","",""
"Toyota PROACE CITY VERSO EV Combi larga Gx/Vx 50 kWh (RC22)","","","","",""
"Toyota PROACE CITY VERSO EV Combi larga VX 50 kWh (MY22)","","","","",""
"Toyota PROACE CITY VERSO EV Combi larga Vx 50 kWh (RC22)","","","","",""
"Toyota PROACE CITY VERSO EV Combi media GX/VX 50 kWh (MY22)","","","","",""
"Toyota PROACE CITY VERSO EV Combi media Gx/Vx 50 kWh (RC22)","","","","",""
"Toyota PROACE CITY VERSO EV Family larga Active 50 kWh (MY22)","","","","",""
"Toyota PROACE CITY VERSO EV Family larga Active 50 kWh (RC22)","","","","",""
"Toyota PROACE CITY VERSO EV Family media Active/Advance 50 kWh (MY22)","","","","",""
"Toyota PROACE CITY VERSO EV Family media Active/Advance 50 kWh (RC22)","","","","",""
"Toyota PROACE CITY VERSO Family 1.2 L1 5P Aut. Active (MY20)","","6.6","7.8","149.0","176.0"
"Toyota PROACE CITY VERSO Family 1.2 L1 Active 5P.(MY20)","","6.5","7.7","147.0","174.0"
"Toyota PROACE CITY VERSO Family 1.2 L2 Active 7P Aut.(MY20)","","6.6","7.8","149.0","176.0"
"Toyota PROACE CITY VERSO Family 1.2P L1 ACTIVE 5p (MY21)","","6.2","7.4","139.8","166.9"
"Toyota PROACE CITY VERSO Family 1.2P L1 ACTIVE 5p Aut. (MY21)","","6.5","7.7","145.8","173.0"
"Toyota PROACE CITY VERSO Family 1.2P L1 ADVANCE 5p (MY21)","","6.5","7.7","145.8","173.0"
"Toyota PROACE CITY VERSO Family 1.2P L1 ADVANCE 5p Aut. (MY21)","","6.5","7.7","145.8","173.0"
"Toyota PROACE CITY VERSO Family 1.2P L2 ACTIVE 7p Aut. (MY21)","","6.5","7.7","145.8","173.0"
"Toyota PROACE CITY VERSO Family 1.5D L1 5P Aut Advance. (MY20)","","5.4","6.2","141.0","163.0"
"Toyota PROACE CITY VERSO Family 1.5D L1 ACTIVE 5p (MY21)","","5.0","5.9","130.0","154.4"
"Toyota PROACE CITY VERSO Family 1.5D L1 ADVANCE 5p (MY21)","","5.0","5.9","130.0","154.4"
"Toyota PROACE CITY VERSO Family 1.5D L2 7P Aut. Active (MY20)","","5.4","6.2","141.0","163.0"
