"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"BMW Serie 3 318d Touring (6L31) Auto.07/2020","","4.8","5.6","126.0","147.0"
"BMW Serie 3 318d Touring (6L31)Auto.01/2021","","4.8","5.6","126.0","147.0"
"BMW Serie 3 318d Touring (6L31)Man.01/2021","","5.2","5.8","134.0","153.0"
"BMW Serie 3 318d Touring Auto.11/2019","","5.3","6.0","138.0","157.0"
"BMW Serie 3 318d Touring Man.11/2019","","5.1","5.9","134.0","154.0"
"BMW Serie 3 320d Berlina (11DY) Auto.07/2020","","4.6","5.3","120.0","140.0"
"BMW Serie 3 320d Berlina (11DY)Auto.01/2021","","4.6","5.3","120.0","140.0"
"BMW Serie 3 320d Berlina Auto.11/2019","","5.0","5.5","130.0","143.0"
"BMW Serie 3 320d Gran Turismo Auto.11/2019","","5.8","6.3","152.0","165.0"
"BMW Serie 3 320d Gran Turismo Man.11/2019","","5.8","6.3","153.0","166.0"
"BMW Serie 3 320d Touring (11DZ) Auto.07/2020","","4.9","5.6","128.0","146.0"
"BMW Serie 3 320d Touring (11DZ)Auto.01/2021","","4.9","5.6","128.0","146.0"
"BMW Serie 3 320d Touring Auto.11/2019","","5.3","6.0","138.0","158.0"
"BMW Serie 3 320d xDrive  Gran Turismo Auto.11/2019","","6.2","6.7","163.0","177.0"
"BMW Serie 3 320d xDrive Berlina (31DY) Auto.07/2020","","4.9","5.7","128.0","148.0"
"BMW Serie 3 320d xDrive Berlina 48V (31DY)Auto.01/2021","","4.9","5.7","129.0","148.0"
"BMW Serie 3 320d xDrive Berlina Auto.11/2019","","5.3","5.8","138.0","152.0"
"BMW Serie 3 320d xDrive Touring (31DZ) Auto.07/2020","","5.1","5.9","134.0","155.0"
"BMW Serie 3 320d xDrive Touring 48V (31DZ)Auto.01/2021","","5.1","5.9","134.0","155.0"
"BMW Serie 3 320d xDrive Touring Auto.11/2019","","5.5","5.9","144.0","155.0"
"BMW Serie 3 320e Berlina (5Y91) Auto. 03/2021","","1.3","1.8","29.0","41.0"
"BMW Serie 3 320i Berlina (5F31) Auto.07/2020","","6.3","7.2","142.0","164.0"
"BMW Serie 3 320i Berlina (5F31)Auto.01/2021","","6.3","7.3","142.0","164.0"
"BMW Serie 3 320i Berlina Auto.11/2019","","6.3","7.0","143.0","158.0"
"BMW Serie 3 320i Gran Turismo Auto.11/2019","","7.7","8.3","175.0","188.0"
"BMW Serie 3 320i Touring (6K31)Auto.01/2021","","6.7","7.5","151.0","170.0"
"BMW Serie 3 320i Touring Auto.11/2019","","6.8","7.3","153.0","165.0"
"BMW Serie 3 330d Berlina (5X91)Auto.01/2021","","5.0","5.7","130.0","148.0"
"BMW Serie 3 330d Berlina Auto.11/2019","","5.7","6.1","148.0","160.0"
"BMW Serie 3 330d Gran Turismo Auto.11/2019","","6.7","7.3","176.0","192.0"
"BMW Serie 3 330d Touring (6M91)Auto.01/2021","","5.2","5.9","136.0","154.0"
"BMW Serie 3 330d Touring Auto.11/2019","","6.0","6.3","157.0","166.0"
"BMW Serie 3 330d xDrive (5Y11)Auto.01/2021","","5.3","6.0","138.0","157.0"
"BMW Serie 3 330d xDrive Berlina Auto.11/2019","","6.0","6.4","157.0","168.0"
"BMW Serie 3 330d xDrive Gran Turismo Auto.11/2019","","7.1","7.6","187.0","198.0"
"BMW Serie 3 330d xDrive Touring (6N51)Auto.01/2021","","5.5","6.2","144.0","163.0"
"BMW Serie 3 330d xDrive Touring Auto.11/2019","","6.3","6.7","164.0","176.0"
"BMW Serie 3 330e Berlina (5P51) Auto.07/2020","","1.3","1.8","30.0","41.0"
"BMW Serie 3 330e Berlina (5P51)Auto.01/2021","","1.3","1.8","30.0","41.0"
"BMW Serie 3 330e Berlina Auto.11/2019","","1.4","1.6","31.0","37.0"
"BMW Serie 3 330e xDrive (6N71)Auto.01/2021","","1.6","2.1","35.0","47.0"
"BMW Serie 3 330e xDrive Touring (6N71) Auto.07/2020","","1.6","2.1","35.0","48.0"
"BMW Serie 3 330i Berlina (5R11)Auto.01/2021","","6.5","7.4","147.0","167.0"
"BMW Serie 3 330i Berlina Auto.11/2019","","6.6","7.1","149.0","161.0"
"BMW Serie 3 330i Gran Turismo Auto.11/2019","","7.9","8.5","179.0","193.0"
"BMW Serie 3 330i Touring (6K51)Auto.01/2021","","6.9","7.7","155.0","176.0"
"BMW Serie 3 330i Touring Auto.11/2019","","6.8","7.4","155.0","167.0"
"BMW Serie 3 330i xDrive Berlina (5R71)Auto.01/2021","","7.0","7.8","154.0","174.0"
"BMW Serie 3 330i xDrive Berlina Auto.11/2019","","6.8","7.5","155.0","169.0"
"BMW Serie 3 330i xDrive Gran Turismo Auto.11/2019","","8.2","8.8","186.0","199.0"
"BMW Serie 3 330i xDrive Touring (6K71)Auto.01/2021","","7.2","8.1","160.0","182.0"
"BMW Serie 3 330i xDrive Touring Auto.11/2019","","7.2","7.8","163.0","177.0"
"BMW Serie 3 335d xDrive Gran Turismo Auto.11/2019","","7.1","7.5","185.0","196.0"
"BMW Serie 3 340i xDrive Gran Turismo Auto.11/2019","","8.8","9.3","200.0","213.0"
"BMW Serie 3 M340d xDrive (51DY)Auto.01/2021","","5.9","6.6","155.0","172.0"
"BMW Serie 3 M340d xDrive (51DZ)Auto.01/2021","","6.1","6.8","160.0","177.0"
"BMW Serie 3 M340d xDrive Berlina (51DY) Auto.07/2020","","5.9","6.6","155.0","172.0"
"BMW Serie 3 M340d xDrive Touring (51DZ) Auto.07/2020","","6.1","6.8","160.0","177.0"
"BMW Serie 3 M340i xDrive Berlina (5U91)Auto.01/2021","","7.5","8.3","172.0","189.0"
"BMW Serie 3 M340i xDrive Berlina Auto.11/2019","","7.9","8.7","181.0","197.0"
"BMW Serie 3 M340i xDrive Touring (6N11)Auto.01/2021","","7.8","8.4","178.0","193.0"
"BMW Serie 3 M340i xDrive Touring Auto.11/2019","","8.2","8.9","186.0","202.0"
"BMW Serie 4 418d Gran Coupé (4K11) Auto.07/2020","","5.5","6.0","143.0","158.0"
"BMW Serie 4 418d Gran Coupé Auto.11/2019","","5.5","6.0","143.0","158.0"
"BMW Serie 4 418d Gran Coupé Man.11/2019","","5.5","6.1","145.0","161.0"
"BMW Serie 4 420d Cabrio (11AU)Auto.01/2021","","4.9","5.5","127.0","143.0"
"BMW Serie 4 420d Cabrio (8S11) Auto.07/2020","","5.9","6.3","154.0","164.0"
"BMW Serie 4 420d Cabrio Auto.11/2019","","5.9","6.3","154.0","164.0"
"BMW Serie 4 420d Cabrio Man.11/2019","","6.0","6.5","156.0","169.0"
"BMW Serie 4 420d Coup© (11AS)Auto.01/2021","","4.5","5.2","118.0","137.0"
"BMW Serie 4 420d Coupé (11AS) Auto.07/2020","","4.5","5.2","118.0","137.0"
"BMW Serie 4 420d Coupé Auto.11/2019","","5.6","6.0","146.0","158.0"
"BMW Serie 4 420d Coupé Man.11/2019","","5.6","6.1","147.0","159.0"
"BMW Serie 4 420d Gran Coupé (21AX) Auto. 07/2021","","4.8","5.4","126.0","141.0"
"BMW Serie 4 420d Gran Coupé (4K31) Auto.07/2020","","5.6","6.1","148.0","159.0"
"BMW Serie 4 420d Gran Coupé Auto.11/2019","","5.6","6.1","148.0","159.0"
"BMW Serie 4 420d Gran Coupé Man.11/2019","","5.7","6.1","149.0","159.0"
"BMW Serie 4 420d xDrive Coupé Auto.11/2019","","5.9","6.4","154.0","167.0"
"BMW Serie 4 420d xDrive Gran Coupé Auto.11/2019","","5.9","6.4","156.0","168.0"
"BMW Serie 4 420i Cabrio (11AT)Auto.01/2021","","6.8","7.5","152.0","169.0"
"BMW Serie 4 420i Cabrio Auto.11/2019","","7.8","8.5","178.0","193.0"
"BMW Serie 4 420i Coupé (11AP) Auto.07/2020","","6.3","7.1","143.0","161.0"
"BMW Serie 4 420I coupe (11AP)Auto.01/2021","","6.4","7.3","143.0","161.0"
"BMW Serie 4 420i Coupé Auto.11/2019","","7.3","8.0","166.0","183.0"
"BMW Serie 4 420i Coupé Man.11/2019","","7.3","7.8","166.0","178.0"
"BMW Serie 4 420i Gran Coupé (11AV) Auto. 07/2021","","6.6","7.3","150.0","166.0"
"BMW Serie 4 420i Gran Coupé (4H31) Auto.07/2020","","7.4","8.1","169.0","185.0"
"BMW Serie 4 420i Gran Coupé Auto.11/2019","","7.4","8.1","169.0","185.0"
"BMW Serie 4 420i Gran Coupé Man.11/2019","","7.4","7.9","168.0","180.0"
"BMW Serie 4 430d Cabrio Auto.11/2019","","6.8","7.3","178.0","191.0"
"BMW Serie 4 430d Coupé Auto.11/2019","","6.5","7.0","170.0","184.0"
"BMW Serie 4 430d Gran Coupé Auto.11/2019","","6.5","7.0","171.0","184.0"
"BMW Serie 4 430d xDrive (41AS) Auto. 03/2021","","5.2","5.9","137.0","155.0"
"BMW Serie 4 430d xDrive Coupé Auto.11/2019","","6.9","7.3","181.0","192.0"
"BMW Serie 4 430d xDrive Gran Coupé Auto.11/2019","","7.0","7.3","182.0","192.0"
"BMW Serie 4 430i Cabrio (21AT)Auto.01/2021","","7.0","7.8","158.0","176.0"
"BMW Serie 4 430i Cabrio Auto.11/2019","","7.9","8.5","180.0","193.0"
"BMW Serie 4 430i Coup© (51AP)Auto.01/2021","","6.8","7.6","150.0","168.0"
"BMW Serie 4 430i Coupé (51AP) Auto.07/2020","","6.6","7.4","150.0","168.0"
"BMW Serie 4 430i Coupé Auto.11/2019","","7.4","8.0","168.0","183.0"
