"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"SEAT NUEVO LEON 2.0 TDI 85kW (115cv) St&Sp STYLE","","4.2","4.7","112.0","123.0"
"SEAT NUEVO LEON 2.0 TDI 85kW (115cv) St&Sp STYLE GO","","4.2","4.7","113.0","123.0"
"SEAT NUEVO LEON 2.0 TDI 85kW (115cv) St&Sp STYLE GO","","4.1","4.7","107.0","124.0"
"SEAT NUEVO LEON 2.0 TDI 85kW (115cv) St&Sp STYLE GO MY22","","4.2","4.7","113.0","123.0"
"SEAT NUEVO LEON 2.0 TDI 85kW (115cv) St&Sp STYLE GO s.48/2020","","4.2","4.7","109.0","123.0"
"SEAT NUEVO LEON 2.0 TDI 85kW (115cv) St&Sp STYLE LAUNCH PACK con Navegador","","4.1","4.7","107.0","124.0"
"SEAT NUEVO LEON 2.0 TDI 85kW (115cv) St&Sp STYLE MY22","","4.2","4.7","112.0","123.0"
"SEAT NUEVO LEON 2.0 TDI 85kW (115cv) St&Sp STYLE s.48/2020","","4.2","4.7","109.0","123.0"
"SEAT NUEVO LEON 2.0 TDI CR 110kW (150cv) DSG-7 St&Sp FR","","4.3","5.0","116.0","119.0"
"SEAT NUEVO LEON 2.0 TDI CR 110kW (150cv) DSG-7 St&Sp FR","","4.3","4.9","118.0","129.0"
"SEAT NUEVO LEON 2.0 TDI CR 110kW (150cv) DSG-7 St&Sp FR GO ""L""","","4.3","5.0","116.0","119.0"
"SEAT NUEVO LEON 2.0 TDI CR 110kW (150cv) DSG-7 St&Sp FR GO ""L"" s.48/2020","","4.3","4.9","113.0","123.0"
"SEAT NUEVO LEON 2.0 TDI CR 110kW (150cv) DSG-7 St&Sp FR GO ""XL""","","4.3","5.0","116.0","119.0"
"SEAT NUEVO LEON 2.0 TDI CR 110kW (150cv) DSG-7 St&Sp FR GO ""XL"" s.48/2020","","4.3","4.9","113.0","123.0"
"SEAT NUEVO LEON 2.0 TDI CR 110kW (150cv) DSG-7 St&Sp FR GO L","","4.3","4.9","118.0","129.0"
"SEAT NUEVO LEON 2.0 TDI CR 110kW (150cv) DSG-7 St&Sp FR GO L MY22","","4.3","4.9","118.0","129.0"
"SEAT NUEVO LEON 2.0 TDI CR 110kW (150cv) DSG-7 St&Sp FR GO XL","","4.3","4.9","118.0","129.0"
"SEAT NUEVO LEON 2.0 TDI CR 110kW (150cv) DSG-7 St&Sp FR GO XL MY22","","4.3","4.9","118.0","129.0"
"SEAT NUEVO LEON 2.0 TDI CR 110kW (150cv) DSG-7 St&Sp FR LAUNCH PACK L","","4.3","5.0","114.0","132.0"
