"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Mazda 3 (2020) 2.0GE (180) ORIGIN-X Y EVOLUTION-X 5P Man.","","5.5","5.5","125.0","125.0"
"Mazda 3 (2020) 2.0GE (180) ZENITH-X 4P Aut.","","6.2","6.2","142.0","142.0"
"Mazda 3 (2020) 2.0GE (180) ZENITH-X 4P Man.","","5.6","5.6","127.0","127.0"
"Mazda 3 (2020) 2.0GE (180) ZENITH-X 5P Aut.","","6.3","6.3","142.0","142.0"
"Mazda 3 (2020) 2.0GE (180) ZENITH-X 5P Man.","","5.8","5.8","131.0","131.0"
"Mazda 3 2.0GE (122) EVOLUTION 4P Aut.","","6.0","6.0","138.0","138.0"
"Mazda 3 2.0GE (122) ORIGIN 5P Man.","","5.5","5.5","124.0","124.0"
"Mazda 3 2.0GE (122) RESTO DE VERSIONES 4P Aut.","","6.1","6.1","139.0","139.0"
"Mazda 3 2.0GE (122) RESTO DE VERSIONES 5P Man.","","5.6","5.6","127.0","127.0"
"Mazda 3 2.0GE (122) VERSIONES 4P Man.","","5.4","5.4","123.0","123.0"
"Mazda 3 2.0GE (122) VERSIONES 5P Aut.","","6.1","6.1","140.0","140.0"
"Mazda 3 2.0GE (186) 4WD VERSIONES ZENITH-X 5P Man.","","6.0","6.0","135.0","135.0"
"Mazda 3 2.0GE (186) EVOLUTION-X 5P Aut.","","6.0","6.0","136.0","136.0"
"Mazda 3 2.0GE (186) ORIGIN-X 5P Man.","","5.2","5.2","118.0","118.0"
"Mazda 3 2.0GE (186) RESTO DE VERSIONES -X 5P Aut.","","6.0","6.0","137.0","137.0"
"Mazda 3 2.0GE (186) RESTO DE VERSIONES -X 5P Man.","","5.3","5.3","120.0","120.0"
"Mazda 3 2.0GE (186) VERSIONES -X 4P Aut.","","5.9","5.9","134.0","134.0"
"Mazda 3 2.0GE (186) VERSIONES -X 4P Man.","","5.1","5.1","116.0","116.0"
"Mazda CX-3 2.0GE (121) 2WD","","6.2","6.2","140.0","140.0"
"Mazda CX-3 2.0GE (121) 2WD AUT.","","7.1","7.1","160.0","160.0"
"Mazda CX-30 (2020) 1.8DE (115) 2WD","","5.1","5.1","135.0","135.0"
"Mazda CX-30 (2020) 1.8DE (115) 2WD AUT.","","6.0","6.0","158.0","158.0"
"Mazda CX-30 (2020) 2.0GE (122) 2WD","","6.2","6.2","141.0","141.0"
"Mazda CX-30 (2020) 2.0GE (122) 2WD AUT.","","6.6","6.6","151.0","151.0"
"Mazda CX-30 (2020) 2.0GE (122) AWD","","6.8","6.8","153.0","153.0"
"Mazda CX-30 (2020) 2.0GE (122) AWD AUT.","","7.3","7.3","165.0","165.0"
"Mazda CX-30 (2020) 2.0GE (180) 2WD -X","","5.9","5.9","133.0","133.0"
"Mazda CX-30 (2020) 2.0GE (180) 2WD -X AUT.","","6.5","6.5","146.0","146.0"
"Mazda CX-30 (2020) 2.0GE (180) AWD ZENITH-X","","6.5","6.5","146.0","146.0"
"Mazda CX-30 (2020) 2.0GE (180) AWD ZENITH-X AUT.","","7.0","7.0","160.0","160.0"
"Mazda CX-30 2.0GE (122) 2WD ORIGIN MAN.","","5.9","5.9","134.0","134.0"
"Mazda CX-30 2.0GE (122) 2WD RESTO VERSIONES MAN.","","5.9","5.9","134.0","134.0"
"Mazda CX-30 2.0GE (122) 2WD TODAS LAS VERSIONES AUT.","","6.4","6.4","144.0","144.0"
"Mazda CX-30 2.0GE (186) 2WD EVOLUTION-X MAN.","","5.6","5.6","127.0","127.0"
"Mazda CX-30 2.0GE (186) 2WD TODAS LAS VERSIONES-X AUT.","","6.1","6.1","138.0","138.0"
