"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"SEAT LEON 2.0 TDI CR 110kW (150cv) St&Sp STYLE VISIO EDITION s48","","5.1","5.5","134.0","146.0"
"SEAT LEON 2.0 TDI CR 110kW (150cv) St&Sp XCELLENCE","","5.1","5.5","134.0","146.0"
"SEAT LEON 2.0 TDI CR 110kW (150cv) St&Sp XCELLENCE EDITION PLUS","","5.1","5.5","134.0","146.0"
"SEAT LEON 2.0 TDI CR 110kW (150cv) St&Sp XCELLENCE EDITION PLUS s48","","5.1","5.5","134.0","146.0"
"SEAT LEON 2.0 TDI CR 110kW (150cv) St&Sp XCELLENCE s48","","5.1","5.5","134.0","146.0"
"SEAT LEON 2.0 TSI 140KW S/S FR DCT MY19","","6.3","7.3","148.0","165.0"
"SEAT LEON 2.0 TSI 140KW S/S FR EDITION DCT MY19","","6.3","7.3","148.0","165.0"
"SEAT LEON 2.0 TSI 140KW S/S FR EDITION ST DCT MY19","","6.6","7.3","149.0","165.0"
"SEAT LEON 2.0 TSI 140KW S/S X-PER ED ST 4WD DCT MY19","","7.2","8.0","163.0","179.0"
"SEAT LEON 2.0 TSI 140KW S/S X-PERIENCE ST 4WD DCT MY19","","7.2","8.0","163.0","179.0"
"SEAT LEON 2.0 TSI 140W S/S FR ST DCT MY19","","6.6","7.3","149.0","165.0"
"SEAT LEON 2.0 TSI 213kW (290cv) DSG-7 St&Sp CUPRA","","7.3","7.9","165.0","179.0"
"SEAT LEON 2.0 TSI 213KW S/S CUPRA DCT MY19","","7.3","7.9","165.0","179.0"
"SEAT LEON 2.0 TSI 213KW S/S CUPRA ST DCT MY19","","7.4","7.9","165.0","181.0"
"SEAT LEON 2.0 TSI 221KW S/S CUPRA R ST DCT 4WD MY19","","8.2","8.8","185.0","199.0"
"SEAT LEON 2.0 TSI 221KW S/S CUPRA ST DCT 4WD MY19","","8.2","8.8","185.0","199.0"
"SEAT LEON CUPRA 5F168Z 2.0 TSI 213kW (290cv) DSG-7 St&Sp CUPRA s48","","7.3","7.9","165.0","179.0"
"SEAT Leon Sportourer ST 1.0 EcoTSI 85kW (115cv) St&Sp REFERENCE EDITION","","5.4","6.3","121.0","139.0"
"SEAT Leon Sportourer ST 1.0 EcoTSI 85kW (115cv) St&Sp STYLE","","5.4","6.3","121.0","139.0"
"SEAT Leon Sportourer ST 1.0 EcoTSI 85kW (115cv) St&Sp STYLE EDITION con NAVI","","5.4","6.3","121.0","139.0"
"SEAT Leon Sportourer ST 1.0 EcoTSI 85kW (115cv) St&Sp STYLE EDITION con NAVI s48","","5.0","6.3","114.0","143.0"
"SEAT Leon Sportourer ST 1.0 EcoTSI 85kW (115cv) St&Sp STYLE s48","","5.0","6.3","114.0","143.0"
"SEAT Leon Sportourer ST 1.0 EcoTSI 85kW (115cv)St&Sp STYLE EDITION","","5.4","6.3","121.0","139.0"
"SEAT Leon Sportourer ST 1.0 EcoTSI 85kW (115cv)St&Sp STYLE EDITION s48","","5.0","6.3","114.0","143.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp FR","","6.0","7.0","135.0","158.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp FR EDITION PLUS","","6.0","7.0","135.0","158.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp FR FAST EDITION PLUS s48","","6.0","6.8","135.0","155.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp FR FAST EDITION s48","","6.0","6.8","135.0","155.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp XCELLENCE","","6.0","7.0","135.0","158.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp XCELLENCE EDITION PLUS","","6.0","7.0","135.0","158.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp XCELLENCE EDITION PLUS s48","","6.0","6.8","135.0","155.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp XCELLENCE s48","","6.0","6.8","135.0","155.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) St&Sp FR","","5.4","6.5","122.0","146.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) St&Sp FR EDITION PLUS","","5.4","6.5","122.0","146.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) St&Sp FR FAST EDITION PLUS s48","","5.5","6.4","125.0","145.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) St&Sp FR FAST EDITION s48","","5.5","6.4","125.0","145.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) St&Sp XCELLENCE","","5.4","6.5","122.0","146.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) St&Sp XCELLENCE EDITION PLUS","","5.4","6.5","122.0","146.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) St&Sp XCELLENCE EDITION PLUS s48","","5.5","6.4","125.0","145.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 110kW (150cv) St&Sp XCELLENCE s48","","5.5","6.4","125.0","145.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 96kW (130cv) St&Sp STYLE","","5.7","6.8","128.0","153.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 96kW (130cv) St&Sp STYLE EDITION","","5.7","6.8","128.0","153.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 96kW (130cv) St&Sp STYLE EDITION con NAVI","","5.7","6.8","128.0","153.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 96kW (130cv) St&Sp STYLE EDITION con NAVI s48","","5.1","6.2","115.0","141.0"
"SEAT Leon Sportourer ST 1.5 EcoTSI 96kW (130cv) St&Sp STYLE EDITION s48","","5.1","6.2","115.0","141.0"
