"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Kia CEED TOURER (MY23) 1.5 MHEV GT-LINE DCT (Pack Premium)","","5.8","5.8","131.0","131.0"
"Kia CEED TOURER (MY23) 1.5 MHEV Stile Edition DCT","","5.8","5.8","131.0","131.0"
"Kia CEED TOURER (MY23) 1.5 MHEV Tech DCT","","5.7","5.7","130.0","130.0"
"Kia CEED TOURER (MY23) 1.6 MHEV GT-LINE DCT 136 cv","","4.8","4.8","125.0","125.0"
"Kia CEED TOURER (MY23) 1.6 MHEV GT-LINE DCT 136 cv (Pack Premium)","","4.8","4.8","125.0","125.0"
"Kia CEED TOURER (MY23) 1.6 MHEV IMT Concept 136 cv","","4.4","4.4","116.0","116.0"
"Kia CEED TOURER (MY23) 1.6 MHEV IMT Drive 136 cv","","4.4","4.4","116.0","116.0"
"Kia CEED TOURER (MY23) 1.6 MHEV IMT GT-LINE 136 cv","","4.6","4.6","120.0","120.0"
"Kia CEED TOURER (MY23) 1.6 MHEV IMT GT-LINE 136 cv (Pack Premium)","","4.6","4.6","120.0","120.0"
"Kia CEED TOURER (MY23) 1.6 MHEV IMT Stile Edition 136 cv","","4.5","4.5","119.0","119.0"
"Kia CEED TOURER (MY23) 1.6 MHEV IMT Tech 136 cv","","4.5","4.5","119.0","119.0"
"Kia CEED TOURER (MY23) 1.6 MHEV Tech DCT 136 cv","","4.7","4.7","123.0","123.0"
"Kia CEED TOURER (MY23) 1.6 MHEV Tech Stile Edition 136 cv","","4.7","4.7","124.0","124.0"
"Kia CEED TOURER 1.0 MHEV 120CV Drive DCT Eco-Dynamics","","5.5","5.6","125.0","127.0"
"Kia CEED TOURER 1.0 T-GDi Concept 100CV Eco-Dynamics","","5.6","6.1","127.0","139.0"
"Kia CEED TOURER 1.0 T-GDi Concept 120CV Eco-Dynamics","","5.6","5.6","127.0","127.0"
"Kia CEED TOURER 1.0 T-GDi Drive 120CV Eco-Dynamics","","5.6","6.1","127.0","139.0"
"Kia CEED TOURER 1.0 T-GDi GT Line 120CV Eco-Dynamics","","5.6","6.1","127.0","139.0"
"Kia CEED TOURER 1.0 T-GDi Tech 120CV Eco-Dynamics","","5.6","6.1","127.0","139.0"
"Kia CEED TOURER 1.4 T-GDi Concept 140CV Eco-Dynamics","","6.0","6.0","137.0","137.0"
"Kia CEED TOURER 1.4 T-GDi Drive 140CV Eco-Dynamics","","5.9","6.4","135.0","146.0"
"Kia CEED TOURER 1.4 T-GDi GT Line 140CV Eco-Dynamics","","5.9","6.4","135.0","146.0"
"Kia CEED TOURER 1.4 T-GDi GT Line DCT 140CV Eco-Dynamics (Pack Premium)","","6.0","6.5","137.0","147.0"
