"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG STYLE XM MY24","","6.8","7.6","153.0","172.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG X-PERIENCE XL MY23","","6.8","7.6","163.0","172.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG X-PERIENCE XL MY24","","6.8","7.6","153.0","172.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG X-PERIENCE XM MY23","","6.8","7.6","163.0","172.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG X-PERIENCE XM MY24","","6.8","7.6","153.0","172.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG X-PERIENCE XXL MY23","","6.8","7.6","163.0","172.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG X-PERIENCE XXL MY24","","6.8","7.6","153.0","172.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG XCELLENCE","","7.0","8.1","171.0","184.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG XCELLENCE GO","","7.0","8.1","171.0","184.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG XCELLENCE GO L MY22","","7.0","8.1","171.0","184.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG XCELLENCE GO XL MY22","","7.0","8.1","171.0","184.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp DSG XCELLENCE MY22","","7.0","8.1","171.0","184.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp FR XL MY23","","6.5","7.4","154.0","167.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp FR XM MY23","","6.5","7.4","154.0","167.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp STYLE","","6.6","7.7","152.0","174.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp STYLE GO","","6.6","7.7","152.0","174.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp STYLE GO MY22","","6.6","7.7","152.0","174.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp STYLE MY22","","6.6","7.7","152.0","174.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp STYLE XL MY23","","6.5","7.4","154.0","167.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp STYLE XL MY24","","6.5","7.4","148.0","163.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp STYLE XM MY24","","6.5","7.4","148.0","163.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp X-PERIENCE XL MY23","","6.5","7.4","159.0","167.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp X-PERIENCE XM MY23","","6.5","7.4","158.0","167.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp XCELLENCE","","6.6","7.7","163.0","174.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp XCELLENCE GO","","6.6","7.7","163.0","174.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp XCELLENCE GO L MY22","","6.6","7.7","163.0","174.0"
"SEAT Tarraco 1.5 EcoTSI 110kW (150CV) St&Sp XCELLENCE MY22","","6.6","7.7","163.0","174.0"
"SEAT Tarraco 1.5 EcoTSI 150CV St&Sp DSG STYLE PLUS s48","","7.1","8.0","160.0","181.0"
"SEAT Tarraco 1.5 EcoTSI 150CV St&Sp DSG STYLE s48","","7.1","8.0","160.0","181.0"
"SEAT Tarraco 1.5 EcoTSI 150CV St&Sp DSG XCELLENCE s48","","7.1","8.0","160.0","181.0"
"SEAT Tarraco 1.5 EcoTSI 150CV St&Sp STYLE","","7.0","7.8","159.0","176.0"
"SEAT Tarraco 1.5 EcoTSI 150CV St&Sp STYLE PLUS","","7.0","7.8","159.0","176.0"
"SEAT Tarraco 1.5 EcoTSI 150CV St&Sp STYLE PLUS s48","","7.0","7.8","159.0","176.0"
"SEAT Tarraco 1.5 EcoTSI 150CV St&Sp STYLE s48","","7.0","7.8","159.0","176.0"
"SEAT Tarraco 1.5 EcoTSI 150CV St&Sp XCELLENCE","","7.0","7.8","159.0","176.0"
"SEAT Tarraco 1.5 EcoTSI 150CV St&Sp XCELLENCE PLUS","","7.0","7.8","159.0","176.0"
"SEAT Tarraco 1.5 EcoTSI 150CV St&Sp XCELLENCE PLUS s48","","7.0","7.8","159.0","176.0"
"SEAT Tarraco 1.5 EcoTSI 150CV St&Sp XCELLENCE s48","","7.0","7.8","159.0","176.0"
"SEAT Tarraco 1.5 TSI 110KW S/S STYLE MY19","","7.3","8.0","147.0","164.0"
"SEAT Tarraco 1.5 TSI 110KW S/S STYLE PLUS MY19","","7.3","8.0","147.0","164.0"
"SEAT Tarraco 1.5 TSI 110KW S/S XCELLENCE MY19","","7.3","8.0","147.0","164.0"
"SEAT Tarraco 1.5 TSI 110KW S/S XCELLENCE PLUS MY19","","7.3","8.0","147.0","164.0"
"SEAT Tarraco 2.0 EcoTSI 140kW (190 CV) St&Sp DSG 4Drive FR XL MY23","","7.8","8.7","182.0","198.0"
"SEAT Tarraco 2.0 EcoTSI 140kW (190 CV) St&Sp DSG 4Drive FR XM MY23","","7.8","8.7","181.0","198.0"
"SEAT Tarraco 2.0 EcoTSI 140kW (190 CV) St&Sp DSG 4Drive FR XXL MY23","","7.8","8.7","182.0","198.0"
"SEAT Tarraco 2.0 EcoTSI 140kW (190 CV) St&Sp DSG 4Drive X-PERIENCE MY23","","7.8","8.7","187.0","198.0"
"SEAT Tarraco 2.0 EcoTSI 140kW (190 CV) St&Sp DSG 4Drive X-PERIENCE XL MY23","","7.8","8.7","187.0","198.0"
"SEAT Tarraco 2.0 EcoTSI 140kW (190 CV) St&Sp DSG 4Drive X-PERIENCE XXL MY23","","7.8","8.7","187.0","198.0"
"SEAT Tarraco 2.0 EcoTSI 140KW (190CV) St&Sp DSG 4Drive FR","","7.8","8.7","181.0","198.0"
"SEAT Tarraco 2.0 EcoTSI 140KW (190CV) St&Sp DSG 4Drive FR GO","","7.8","8.7","181.0","198.0"
"SEAT Tarraco 2.0 EcoTSI 140KW (190CV) St&Sp DSG 4Drive FR GO L MY22","","7.8","8.7","181.0","198.0"
