"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Dacia Nuevo Duster (fase 2) JD1 TCe 1.0 74kW (100CV) ECO-G 4X2 (semi: D2 2 MTG 6US,N2 2 MTG 6US)","","6.3","6.7","124.1","131.3"
"Dacia Nuevo Duster (fase 2) JD1 TCe 1.0 74kW (100CV)ECO-G 4X2(semi:D3 2 MTG 6US,N3F2TMTG 6US,S3 2 MTG 6US,X3 2 MTG 6US,N3GF2TMTG6US)","","6.3","6.7","124.1","131.3"
"Dacia Nuevo Duster (fase 2) JD1 TCe 110kW (150CV) 4X2 EDC (semi: D3 2 M3A 6US, A3 2 M3A 6US, N3F2TM3A 6US, S3 2 M3A 6US)","","6.2","6.5","139.7","147.0"
"Dacia Nuevo Duster (fase 2) JD1 TCe 110kW (150CV) 4X2 EDC (semi: X3 2 M3A 6US, N3GF2TM3A6US)","","6.2","6.5","139.7","147.0"
"Dacia Nuevo Duster (fase 2) JD1 TCe 96kW (130CV) 4X2 GPF (semi: D2 2 MFM 6US)","","6.2","6.4","139.4","145.4"
"Dacia Nuevo Duster (fase 2) JD1 TCe 96kW (130CV) 4X2 GPF (semi: D3 2 MFM 6US ,A3 2 MFM 6US,D3F2TMFM 6US)","","6.2","6.4","139.4","145.4"
"Dacia Nuevo Duster (fase 2) JD1 TCe 96kW (130CV) 4X2 GPF (semi: N3GF2TMFM6US)","","6.2","6.4","139.4","145.4"
"Dacia Nuevo Jogger RI1 Hybrid 105kW (140CV) 5 plazas (semi: CMB N8 6W8Y, XTB N8 6W8Y)","","4.8","5.0","106.9","111.9"
"Dacia Nuevo Jogger RI1 Hybrid 105kW (140CV) 7 plazas (semi: CMB7 N8 6W8Y,SLBH7 N8 6W8Y, XTB7 N8 6W8Y)","","4.8","5.0","106.9","111.9"
"Dacia Nuevo Jogger RI1 Tce 74kW (100CV) ECO-G  (7 plazas) (semi: CMB7 MT 6UGS, XTVB7 MT6UGS)","","6.0","6.2","117.6","123.0"
"Dacia Nuevo Jogger RI1 Tce 74kW (100CV) ECO-G (5 plazas) (semi: ESB MT 6UGS,CMB MT 6UGS,SLVB MT 6UGS, XTVB MT 6UGS)","","6.0","6.2","117.6","123.0"
"Dacia Nuevo Jogger RI1 Tce 74kW (100CV) ECO-G (5 plazas) (semi: EST MT 6UGS,CMF MT 6UGS,SLV MT 6UGS)","","6.0","6.2","117.6","123.0"
"Dacia Nuevo Jogger RI1 Tce 74kW (100CV) ECO-G (7 plazas) (semi: CM7 MT6UGS,SLV7 MT 6UGS)","","6.0","6.2","117.6","123.0"
"Dacia Nuevo Jogger RI1 TCe 81kW (110CV) (5 plazas) (semi: CMB MD 6U S,SLVB MD 6U S, XTVB MD 6U S)","","5.6","5.9","126.7","133.7"
"Dacia Nuevo Jogger RI1 TCe 81kW (110CV) (5 plazas) (semi:CMF MD 6U S,SLV MD 6U S)","","5.6","5.9","126.7","133.7"
"Dacia Nuevo Jogger RI1 TCe 81kW (110CV) (7 plazas) (semi: CM7 MD 6U S,SLV7 MD 6U S)","","5.6","5.9","126.7","133.7"
"Dacia Nuevo Jogger RI1 TCe 81kW (110CV) (7 plazas) (semi: CMB7 MD 6U S,SLVB7 MD 6U S, XTVB7 MD6U S)","","5.6","5.9","126.7","133.7"
"Dacia Nuevo Logan LJI Tce 74kW (100CV) ECO-G (semi: CMF MT 6UGS , EST MT 6UGS)","","5.3","5.6","106.0","112.5"
"Dacia Nuevo Logan LJI Tce 74kW (100CV) ECO-G (semi: TMU MT 6UGS, TMF MT 6UGS)","","5.3","5.6","106.0","112.5"
"Dacia Nuevo Sandero BI1 SCe 49kW (65 CV) (semi: ACC MG 6U S, EST MG 6U S,CMF MG 6U S)","","5.2","5.5","117.0","124.0"
"Dacia Nuevo Sandero BI1 SCe 49kW (65 CV) (Semi: ACC MG 6U S, EST MG 6U S)","","5.2","5.5","117.0","124.0"
"Dacia Nuevo Sandero BI1 SCe 49kW (65 CV) (semi: ACU MG 6U S, ESU MG 6U S, CMU MG 6U S)","","5.2","5.5","117.0","124.0"
"Dacia Nuevo Sandero BI1 TCe 67kW (90CV) (Semi : CMF M6 6U S, ESU M6 6U S, CMU M6 6U S)","","5.1","5.5","116.0","124.0"
