"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Peugeot BOXER Boxer Furgón 435 L3 H3 BHDI 140","","8.2","11.1","216.0","291.0"
"Peugeot BOXER Boxer Furgón 435 L4 H2 BHDI 140","","8.2","11.1","216.0","291.0"
"Peugeot BOXER Boxer Furgón 435 L4 H2 BHDI 165","","8.2","11.1","215.0","287.0"
"Peugeot BOXER Boxer Furgón 435 L4 H3 BHDI 140","","8.2","11.1","216.0","291.0"
"Peugeot BOXER Boxer Furgón 435 L4 H3 BHDI 165","","8.2","10.9","215.0","287.0"
"Peugeot BOXER Boxer Furgón Asphalt 335 L3 H2 BHDI 140","","8.2","11.1","216.0","291.0"
"Peugeot BOXER Boxer Furgón Pack 330 L1 H1 BHDI 120","","8.1","10.6","212.0","279.0"
"Peugeot BOXER Boxer Furgón Pack 330 L1 H1 BHDI 140","","8.2","11.1","216.0","291.0"
"Peugeot BOXER Boxer Furgón Pack 333 L2 H2 BHDI 140","","8.2","11.1","216.0","291.0"
"Peugeot BOXER Boxer Furgón Pack 335 L2 H2 BHDI 140","","8.2","11.1","216.0","291.0"
"Peugeot BOXER Boxer Furgón Pack 335 L3 H2 BHDI 140","","8.2","11.1","216.0","291.0"
"Peugeot BOXER Boxer Minibús 9 pl. 333 L2 H2 BHDI 140","","8.7","10.4","227.0","272.0"
"Peugeot E-308 5P Allure Eléctrico 156 (115 Kw)","","","","",""
"Peugeot E-308 5P GT Eléctrico 156 (115 Kw)","","","","",""
"Peugeot E-308 SW Allure Eléctrico 156 (115 Kw)","","","","",""
"Peugeot E-308 SW GT Eléctrico 156 (115 Kw)","","","","",""
"Peugeot Expert Combi e-Expert Combi Eléctrico 100 Kw Batería 50 Kwh Compact","","","","",""
"Peugeot Expert Combi e-Expert Combi Eléctrico 100 Kw Batería 50 Kwh Long","","","","",""
"Peugeot Expert Combi e-Expert Combi Eléctrico 100 Kw Batería 50 Kwh Standard","","","","",""
"Peugeot Expert Combi e-Expert Combi Eléctrico 100 Kw Batería 75 Kwh Long","","","","",""
"Peugeot Expert Combi e-Expert Combi Eléctrico 100 Kw Batería 75 Kwh Standard","","","","",""
"Peugeot Expert Combi Expert Combi BlueHDi 100 MAN 6 Vel. Standard","","6.1","7.0","160.0","184.0"
"Peugeot Expert Combi Expert Combi BlueHDi 100 MAN. 6 Vel Compact","","6.1","7.0","160.0","184.0"
"Peugeot Expert Combi Expert Combi BlueHDi 120 MAN S&S 6 Vel. Compact","","6.0","7.0","157.0","185.0"
