"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"CENNTRO Metro 20Kw Serie especial Pick up","","","","",""
"CENNTRO Metro 20Kw Serie especial Van","","","","",""
"CENNTRO Metro 26 Kw Chasis","","","","",""
"CENNTRO Metro 26 Kw Pick up","","","","",""
"CENNTRO Metro 26 Kw Van","","","","",""
"CENNTRO NEXTEM A","","","","",""
"CENNTRO NEXTEM D","","","","",""
"CENNTRO NEXTEM E","","","","",""
"Citroën AMI Buggy","","","","",""
"Citroën AMI Cargo Eléctrico","","","","",""
"Citroën AMI Eléctrico","","","","",""
"Citroën Berlingo BlueHDi 100 S&S 6v Talla M","","4.9","5.9","129.0","154.0"
"Citroën Berlingo BlueHDi 100 S&S 6v Talla XL","","4.9","5.9","129.0","154.0"
"Citroën Berlingo BlueHDi 100 S&S 6v Talla XL 7p","","4.9","5.9","129.0","154.0"
"Citroën Berlingo BlueHDi 130 S&S 6v Talla M","","5.0","5.9","130.0","154.0"
"Citroën Berlingo BlueHDi 130 S&S 6v Talla XL","","5.0","5.9","130.0","154.0"
"Citroën Berlingo BlueHDi 130 S&S 6v Talla XL 7p","","5.0","5.9","130.0","154.0"
"Citroën Berlingo BlueHDi 130 S&S EAT8 Talla M","","5.4","6.5","143.0","171.0"
"Citroën Berlingo PureTech 110 S&S 6v Talla M","","6.2","7.4","140.0","167.0"
"Citroën Berlingo Van BlueHDi 100 S&S Talla M  (Control Talla M)","","5.1","6.1","133.0","160.0"
"Citroën Berlingo Van BlueHDi 100 S&S Talla XL  (Control Talla XL)","","5.1","6.1","133.0","160.0"
"Citroën Berlingo Van BlueHDi 100 S&S Talla XL Doble Cabina","","5.1","6.1","133.0","160.0"
"Citroën Berlingo Van BlueHDi 130 S&S 6v Talla M  (Club Talla M)","","5.4","6.0","141.0","158.0"
"Citroën Berlingo Van BlueHDi 130 S&S EAT8 Talla M","","5.4","6.5","143.0","171.0"
"Citroën Berlingo Van PureTech 110 S&S 6v Talla M","","6.4","7.7","145.0","174.0"
"Citroën C-Elysée BlueHDi 100 S&S 6v","","4.5","5.2","109.0","117.0"
"Citroën C-Zero Eléctrico","","","","",""
"Citroën C1 VTi 72","","4.9","5.3","112.0","120.0"
"Citroën C1 VTi 72 ETG","","5.1","5.5","116.0","124.0"
"Citroën C1 VTi 72 S&S","","4.9","5.3","109.0","117.0"
"Citroën C3  Blue HDi 100 S&S 6v Max","","4.2","4.8","111.0","126.0"
"Citroën C3  Blue HDi 100 S&S 6v Plus","","4.2","4.8","111.0","126.0"
"Citroën C3  Blue HDi 100 S&S 6v YOU!","","4.2","5.0","110.0","131.0"
"Citroën C3  PureTech 110 S&S 6v ELLE","","5.3","5.9","120.0","133.0"
"Citroën C3  Puretech 110 S&S 6v Max","","5.2","5.6","116.0","126.0"
"Citroën C3  Puretech 110 S&S EAT6 Max","","5.6","6.1","127.0","138.0"
"Citroën C3  Puretech 83 S&S Max","","5.2","5.7","118.0","128.0"
"Citroën C3  Puretech 83 S&S Plus","","5.2","5.7","118.0","128.0"
"Citroën C3  Puretech 83 S&S YOU!","","5.3","5.9","119.0","133.0"
"Citroën C3 Aircross Blue HDi 110 S&S 6v You","","4.4","5.2","116.0","137.0"
"Citroën C3 Aircross BlueHDi 110 S&S 6v","","4.2","5.0","110.0","131.0"
"Citroën C3 Aircross BlueHdi 110 S&S 6v Max","","4.4","5.2","116.0","137.0"
"Citroën C3 Aircross BlueHdi 110 S&S 6v Plus","","4.4","5.2","116.0","137.0"
"Citroën C3 Aircross BlueHDi 120 S&S EAT6","","4.8","5.4","125.0","140.0"
"Citroën C3 Aircross PureTech 110 S&S 6v","","5.2","6.5","117.0","147.0"
"Citroën C3 Aircross PureTech 110 S&S 6v Max","","5.2","6.5","117.0","147.0"
"Citroën C3 Aircross PureTech 110 S&S 6v Plus","","5.2","6.5","117.0","147.0"
"Citroën C3 Aircross PureTech 110 S&S 6v You","","5.2","6.5","117.0","147.0"
"Citroën C3 Aircross PureTech 130 S&S EAT6","","5.6","6.7","127.0","151.0"
"Citroën C3 Aircross PureTech 130 S&S EAT6 Max","","5.8","6.9","131.0","156.0"
"Citroën C4 BlueHDi 130 S&S EAT8 MAX","","4.7","5.1","123.0","134.0"
"Citroën C4 BlueHDi 130 S&S EAT8 PLUS","","4.7","5.1","123.0","134.0"
"Citroën C4 Cactus BlueHDi 100 S&S 6v","","4.8","5.1","117.0","131.0"
"Citroën C4 Cactus BlueHDi 120 S&S EAT6","","4.8","5.3","127.0","140.0"
"Citroën C4 Cactus PureTech 110 S&S 6v","","5.7","6.1","128.0","137.0"
"Citroën C4 Cactus PureTech 110 S&S 6v","","5.7","6.1","124.0","154.0"
"Citroën C4 Cactus PureTech 110 S&S EAT6","","6.3","7.2","142.0","163.0"
"Citroën C4 Cactus PureTech 130 S&S 6v","","5.7","6.4","128.0","143.0"
"Citroën C4 Cactus PureTech 130 S&S EAT6","","6.3","7.2","135.0","159.0"
"Citroën C4 Cactus PureTech 82","","","","",""
"Citroën C4 PureTech 100 S&S 6v YOU","","5.2","5.8","118.0","131.0"
"Citroën C4 PureTech 130 S&S 6v C-SERIES","","4.8","4.8","117.0","135.0"
"Citroën C4 PureTech 130 S&S 6v MAX","","5.1","5.7","116.0","128.0"
"Citroën C4 PureTech 130 S&S 6v PLUS","","5.1","5.7","116.0","128.0"
"Citroën C4 PureTech 130 S&S 6v YOU","","5.1","5.7","116.0","128.0"
"Citroën C4 PureTech 130 S&S EAT8 MAX","","5.6","6.2","127.0","139.0"
"Citroën C4 PureTech 130 S&S EAT8 PLUS","","5.6","6.2","127.0","139.0"
"Citroën C4X BlueHDi 130 EAT8","","4.8","4.9","126.0","129.0"
"Citroën C4X BlueHDi 130 S&S EAT8 Max","","4.7","5.1","123.0","134.0"
"Citroën C4X BlueHDi 130 S&S EAT8 Plus","","4.7","5.1","123.0","134.0"
"Citroën C4X PureTech 100","","5.2","6.0","117.0","136.0"
"Citroën C4X PureTech 100 S&S 6v You","","5.2","5.8","118.0","131.0"
"Citroën C4X PureTech 130 EAT8","","5.7","5.8","129.0","132.0"
"Citroën C4X PureTech 130 S&S EAT8 Max","","5.6","6.2","127.0","139.0"
"Citroën C4X PureTech 130 S&S EAT8 Plus","","5.6","6.2","127.0","139.0"
"Citroën C5 Aircross Plug-In Hybrid 180 ë-EAT8","","1.4","1.4","32.0","32.0"
"Citroën C5 X Plug-In Hybrid 180 ë-EAT8","","1.0","1.3","24.0","30.0"
