"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Maserati GRECALE GT M182 M1820AGT420AC8 1D4A221C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE GT M182 M1820AGT420AC8 2D4A111C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE GT M182 M1820AGT420AC8 2D4A121C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE GT M182 M1820AGT420AC8 2D4A211C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE GT M182 M1820AGT420AC8 2D4A221C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE GT M182 M1820AGT420AC8 2DAA111C5","","8.7","9.4","198.0","213.0"
"Maserati GRECALE GT M182 M1820AGT420AC8 2DAA121C5","","8.7","9.4","198.0","213.0"
"Maserati GRECALE GT M182 M1820AGT420AC8 2DAA211C5","","8.7","9.4","198.0","213.0"
"Maserati GRECALE GT M182 M1820AGT420AC8 2DAA221C5","","8.7","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 0AGT420AC8 3EAA111C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 0AGT420AC8 3EAA121C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 0AGT420AC8 3EAA211C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 0AGT420AC8 3EAA221C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 M1820AGT420AC8 3D4A111C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 M1820AGT420AC8 3D4A121C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 M1820AGT420AC8 3D4A211C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 M1820AGT420AC8 3D4A221C5","","8.8","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 M1820AGT420AC8 3DAA111C5","","8.7","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 M1820AGT420AC8 3DAA121C5","","8.7","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 M1820AGT420AC8 3DAA211C5","","8.7","9.4","198.0","213.0"
"Maserati GRECALE MODENA M182 M1820AGT420AC8 3DAA221C5","","8.7","9.4","198.0","213.0"
"Maserati GRECALE TROFEO M182 0AGT630BC8 5EAA331D5","","11.2","11.2","254.0","254.0"
"Maserati GRECALE TROFEO M182 0AGT630BC8 5EAA341D5","","11.2","11.2","254.0","254.0"
"Maserati GRECALE TROFEO M182 0AGT630BC8 5EAA431D5","","11.2","11.2","254.0","254.0"
"Maserati GRECALE TROFEO M182 0AGT630BC8 5EAA441D5","","11.2","11.2","254.0","254.0"
"Maserati GRECALE TROFEO M182 M1820AGT630BC8 5D4A331D5","","11.2","11.2","254.0","254.0"
