"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"SKODA KAMIQ MY20 1.0 TSI 85 KW (115 CV) DSG","","5.9","6.4","134.0","145.0"
"SKODA KAMIQ MY20 1.5 TSI 110 KW (150 CV)","","5.8","6.3","131.0","142.0"
"SKODA KAMIQ MY20 1.5 TSI 110 KW (150 CV) DSG","","6.2","6.6","140.0","150.0"
"SKODA KAMIQ MY20 1.6 TDI 85 KW (115 CV)","","4.9","5.2","129.0","137.0"
"SKODA KAMIQ MY20 1.6 TDI 85 KW (115 CV) DSG","","4.9","5.2","129.0","137.0"
"SKODA KAMIQ MY21 1,0 TGI 66 kW Manual 6 vel. G-TEC","","5.6","5.7","100.0","102.0"
"SKODA KAMIQ MY21 1,0 TSI 70 kW (95 CV) Manual 5 vel.","","5.6","5.8","127.0","132.0"
"SKODA KAMIQ MY21 1,0 TSI 85 kW (115 CV) DSG 7 vel.","","5.9","6.3","135.0","143.0"
"SKODA KAMIQ MY21 1,0 TSI 85 kW (115 CV) Manual 6 vel.","","5.6","6.1","128.0","138.0"
"SKODA KAMIQ MY21 1,5 TSI 110 kW (150 CV) DSG 7 vel.","","6.2","6.5","140.0","148.0"
"SKODA KAMIQ MY21 1,5 TSI 110 kW (150 CV) Manual 6 vel.","","5.8","6.2","131.0","140.0"
"SKODA KAMIQ MY21 1,6 TDI 85 kW (115 CV) DSG 7 vel.","","5.1","5.5","134.0","144.0"
"SKODA KAMIQ MY21 1,6 TDI 85 kW (115 CV) Manual 6 vel.","","4.9","5.2","129.0","135.0"
"SKODA KAMIQ MY22 ACTIVE 1.0 TGI 66 kW (90 CV) Manual","","5.6","5.8","101.0","104.0"
"SKODA KAMIQ MY22 ACTIVE 1.0 TSI 70 kW (95 CV) Manual","","5.7","5.8","128.0","132.0"
"SKODA KAMIQ MY22 ACTIVE 1.0 TSI 81 kW (110 CV) Manual","","5.4","5.7","124.0","129.0"
"SKODA KAMIQ MY22 AMBITION 1.0 TGI 66 kW (90 CV) Manual","","5.6","5.9","101.0","105.0"
"SKODA KAMIQ MY22 AMBITION 1.0 TSI 70 kW (95 CV) Manual","","5.7","6.0","128.0","135.0"
"SKODA KAMIQ MY22 AMBITION 1.0 TSI 81 kW (110 CV) DSG","","5.9","6.2","133.0","140.0"
"SKODA KAMIQ MY22 AMBITION 1.0 TSI 81 kW (110 CV) Manual","","5.5","5.8","124.0","132.0"
"SKODA KAMIQ MY22 AMBITION 1.5 TSI 110 kW (150 CV) DSG","","6.0","6.3","136.0","143.0"
"SKODA KAMIQ MY22 AMBITION 1.5 TSI 110 kW (150 CV) Manual","","5.6","6.0","128.0","135.0"
"SKODA KAMIQ MY22 EMOTION 1.0 TGI 66 kW (90 CV) Manual","","5.2","5.6","92.0","101.0"
"SKODA KAMIQ MY22 EMOTION 1.0 TSI 70 kW (95 CV) Manual","","4.7","5.5","107.0","124.0"
"SKODA KAMIQ MY22 EMOTION 1.0 TSI 81 kW (110 CV) DSG","","4.7","5.4","108.0","124.0"
"SKODA KAMIQ MY22 EMOTION 1.0 TSI 81 kW (110 CV) Manual","","4.7","5.9","108.0","133.0"
"SKODA KAMIQ MY22 EMOTION 1.5 TSI 110 kW (150 CV) DSG","","5.0","6.0","114.0","136.0"
