"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"SEAT NUEVO LEON 1.4 e-Hybrid 150kW (204cv) DSG-6 St&Sp XCELLENCE","","1.1","1.3","25.0","30.0"
"SEAT NUEVO LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp XCELLENCE","","1.0","1.2","25.0","28.0"
"SEAT NUEVO LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp XCELLENCE GO L e-HYBRID","","1.0","1.2","25.0","28.0"
"SEAT NUEVO LEON 1.4 e-Hybrid 150kW (204cv) DSG-6 St&Sp XCELLENCE GO L e-Hybrid","","1.1","1.3","25.0","30.0"
"SEAT NUEVO LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp XCELLENCE GO L e-HYBRID MY22","","1.0","1.2","25.0","28.0"
"SEAT NUEVO LEON 1.4 e-Hybrid 150kW (204cv) DSG-6 St&Sp XCELLENCE GO XL e-Hybrid","","1.1","1.3","25.0","30.0"
"SEAT NUEVO LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp XCELLENCE GO XL e-HYBRID","","1.0","1.2","25.0","28.0"
"SEAT NUEVO LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp XCELLENCE GO XL e-HYBRID MY22","","1.0","1.2","25.0","28.0"
"SEAT NUEVO LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp XCELLENCE MY22","","1.0","1.2","25.0","28.0"
"SEAT NUEVO LEON 1.5 eTSI 110kW (150cv) DSG-7  St&Sp  XCELLENCE","","5.5","6.3","133.0","144.0"
"SEAT NUEVO LEON 1.5 eTSI 110kW (150cv) DSG-7 St&Sp  FR","","5.5","6.3","133.0","144.0"
"SEAT NUEVO LEON 1.5 eTSI 110kW (150cv) DSG-7 St&Sp  FR GO L","","5.5","6.3","133.0","144.0"
"SEAT NUEVO LEON 1.5 eTSI 110kW (150cv) DSG-7 St&Sp  FR GO XL","","5.5","6.3","133.0","144.0"
"SEAT NUEVO LEON 1.5 eTSI 110kW (150cv) DSG-7 St&Sp  XCELLENCE GO M","","5.5","6.3","133.0","144.0"
"SEAT NUEVO LEON 1.5 eTSI 110kW (150cv) DSG-7 St&Sp  XCELLENCE L","","5.5","6.3","133.0","144.0"
"SEAT NUEVO LEON 1.5 eTSI 110kW (150cv) DSG-7 St&Sp FR","","5.5","6.3","126.0","144.0"
