"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"BMW X4 X4 xDrive30d (4M31) Auto.07/2020","","6.1","7.0","158.0","183.0"
"BMW X4 X4 xDrive30d (4M31)Auto.01/2021","","6.1","6.9","158.0","182.0"
"BMW X4 X4 xDrive30d (61CA) Auto.08/2021","","6.1","7.0","161.0","183.0"
"BMW X4 X4 xDrive30d Auto.11/2019","","6.9","7.7","180.0","202.0"
"BMW X4 X4 xDrive30i (2V11)Auto.01/2021","","7.8","8.6","175.0","199.0"
"BMW X4 X4 xDrive30i (31DT) Auto.08/2021","","7.5","8.5","171.0","193.0"
"BMW X4 X4 xDrive30i Auto.11/2019","","7.8","8.9","178.0","202.0"
"BMW X5 M X5 M (JU01)Auto.01/2021","","12.7","13.4","301.0","309.0"
"BMW X5 X5 M Auto.11/2019","","12.0","13.2","288.0","299.0"
"BMW X5 X5 M50d Auto.11/2019","","8.3","9.1","217.0","238.0"
"BMW X5 X5 M50i (JU41) Auto.07/2020","","12.1","13.1","275.0","298.0"
"BMW X5 X5 M50i (JU41)Auto.01/2021","","11.4","12.0","263.0","282.0"
"BMW X5 X5 M50i Auto.11/2019","","12.1","13.1","276.0","298.0"
"BMW X5 X5 xDrive25d (CV41)Auto.01/2021","","6.8","8.5","184.0","221.0"
"BMW X5 X5 xDrive25d Auto.11/2019","","7.1","8.2","186.0","214.0"
"BMW X5 X5 xDrive30d (JU81)Auto.01/2021","","6.6","8.0","173.0","210.0"
"BMW X5 X5 xDrive30d Auto.11/2019","","7.5","8.6","197.0","224.0"
"BMW X5 X5 xDrive40d (TH41) Auto.07/2020","","7.1","8.5","187.0","223.0"
"BMW X5 X5 xDrive40d (TH41)Auto.01/2021","","7.1","8.5","187.0","223.0"
"BMW X5 X5 xDrive40i (CR61)Auto.01/2021","","8.9","10.7","204.0","244.0"
"BMW X5 X5 xDrive40i Auto.11/2019","","10.0","11.0","226.0","262.0"
"BMW X5 X5 xDrive45e (TA61) Auto.07/2020","","1.2","1.7","27.0","40.0"
"BMW X5 X5 xDrive45e (TA61)Auto.01/2021","","1.2","1.7","27.0","40.0"
"BMW X5 X5 xDrive45e Auto.11/2019","","1.2","1.9","27.0","43.0"
"BMW X5 xDrive40e iPerformance (KT01) Auto. 07/2017","","3.3","3.4","77.0","78.0"
"BMW X5 xDrive50e xLine 41EU","","0.8","1.1","18.0","26.0"
"BMW X6 M X6 M (CY01)Auto.01/2021","","12.5","13.3","297.0","306.0"
"BMW X6 X6 M Auto.11/2019","","12.0","13.0","282.0","295.0"
"BMW X6 X6 M50d Auto.11/2019","","8.2","9.0","216.0","235.0"
"BMW X6 X6 M50i (CY81)Auto.01/2021","","11.3","11.9","257.0","276.0"
"BMW X6 X6 M50i Auto.11/2019","","12.0","13.0","272.0","295.0"
"BMW X6 X6 xDrive30d (GT81) Auto.07/2020","","6.6","7.7","172.0","202.0"
"BMW X6 X6 xDrive30d (GT81)Auto.01/2021","","6.6","7.7","172.0","202.0"
"BMW X6 X6 xDrive30d Auto.11/2019","","7.5","8.4","196.0","219.0"
"BMW X6 X6 xDrive40d (TC61) Auto.07/2020","","7.1","8.3","187.0","217.0"
"BMW X6 X6 xDrive40d (TC61)Auto.01/2021","","7.1","8.3","187.0","217.0"
"BMW X6 X6 xDrive40i (CY61) Auto.07/2020","","9.9","11.2","225.0","255.0"
"BMW X6 X6 xDrive40i (CY61)Auto.01/2021","","8.8","10.3","202.0","236.0"
"BMW X6 X6 xDrive40i Auto.11/2019","","9.9","11.3","225.0","256.0"
"BMW X7 X7 M50d Auto.11/2019","","11.0","11.0","234.0","248.0"
"BMW X7 X7 M50i (CX61)Auto.01/2021","","12.1","12.9","280.0","293.0"
"BMW X7 X7 M50i Auto.11/2019","","12.5","13.4","285.0","304.0"
"BMW X7 X7 xDrive30d Auto.11/2019","","8.2","9.0","216.0","237.0"
"BMW X7 X7 xDrive40d (TB41) Auto.07/2020","","7.7","8.4","202.0","220.0"
"BMW X7 X7 xDrive40d (TB41)Auto.01/2021","","7.7","8.4","202.0","220.0"
"BMW X7 X7 xDrive40i (CW21)Auto.01/2021","","10.1","10.9","231.0","248.0"
"BMW X7 X7 xDrive40i Auto.11/2019","","10.0","11.0","247.0","266.0"
"BMW XM Label Red 31CS","","1.7","2.0","37.0","45.0"
"BMW Z4 Z4 M40i (HF51) Auto.07/2020","","7.9","8.0","181.0","182.0"
"BMW Z4 Z4 M40i (HF51)Auto.01/2021","","7.8","7.8","181.0","182.0"
"BMW Z4 Z4 M40i Auto.11/2019","","8.4","8.5","191.0","193.0"
"BMW Z4 Z4 sDrive20i (HF11) Auto.07/2020","","7.0","7.2","161.0","167.0"
"BMW Z4 Z4 sDrive20i (HF11) Man.07/2020","","7.0","7.2","160.0","165.0"
"BMW Z4 Z4 sDrive20i (HF11)Auto.01/2021","","7.0","7.2","160.0","165.0"
"BMW Z4 Z4 sDrive20i (HF11)Man.01/2021","","7.0","7.2","160.0","165.0"
"BMW Z4 Z4 sDrive20i Auto.11/2019","","7.1","7.3","161.0","166.0"
