"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Volkswagen Canarias Arteon Connect 2.0 TDI 110 kW (150CV) SG6","","4.9","4.9","127.4","127.4"
"Volkswagen Canarias Arteon Connect 2.0 TSI 140kW (190CV) DSG7","","7.5","7.5","169.0","169.0"
"Volkswagen Canarias Arteon Hybrid 115 kW/85kW (218 CV)","","1.1","1.1","26.0","26.0"
"Volkswagen Canarias Arteon R-Line 2.0 TDI 110 kW (150CV) DSG7","","5.1","5.1","133.0","133.0"
"Volkswagen Canarias Arteon R-Line 2.0 TDI 110 kW (150CV) SG6","","4.8","4.8","126.4","126.4"
"Volkswagen Canarias Arteon R-Line 2.0 TDI 176 kW (240CV) DSG7 4M","","7.1","7.1","187.2","187.2"
"Volkswagen Canarias Arteon R-Line 2.0 TSI 140 kW (190CV) DSG7","","7.4","7.4","167.7","167.7"
"Volkswagen Canarias Arteon R-Line 2.0 TSI 200 kW (272CV) DSG7 4M","","7.9","7.9","179.6","179.6"
"Volkswagen Canarias Arteon SB Hybrid 115 kW/85kW (218 CV)","","1.1","1.1","27.0","27.0"
"Volkswagen Canarias e-Golf e-Golf 100 kW (136 CV) DSG6","","","","",""
"Volkswagen Canarias e-up! e-up! 83 CV (61kW)","","","","",""
"Volkswagen Canarias Golf A8 1st Edition 1.5 TSI 110 kW (150 CV) DSG7","","6.0","6.0","135.3","135.3"
"Volkswagen Canarias Golf A8 1st Edition 1.5 TSI 110 kW (150 CV) SG6","","5.7","5.7","129.7","129.7"
"Volkswagen Canarias Golf A8 1st Edition 1.5 TSI 95 kW (130 CV) SG6","","5.5","5.5","124.9","124.9"
"Volkswagen Canarias Golf A8 Connect 1.0 TSI 86 kW (110 CV) SG6","","5.3","5.3","121.3","121.3"
"Volkswagen Canarias Golf A8 Connect 1.5 TSI 110 kW (150 CV) DSG7","","5.7","5.7","130.4","130.4"
"Volkswagen Canarias Golf A8 Connect 1.5 TSI 110 kW (150 CV) SG6","","5.5","5.5","124.9","124.9"
"Volkswagen Canarias Golf A8 Connect 1.5 TSI 95 kW (130 CV) SG6","","5.4","5.4","121.8","121.8"
"Volkswagen Canarias Golf A8 Connect 2.0 TDI 85 kW (115 CV) SG6","","4.1","4.1","107.5","107.5"
"Volkswagen Canarias Golf A8 R-Line 1.5 TSI 110 kW (150 CV) DSG7","","5.9","5.9","134.4","134.4"
"Volkswagen Canarias Golf A8 R-Line 1.5 TSI 110 kW (150 CV) SG6","","5.6","5.6","128.2","128.2"
"Volkswagen Canarias Golf A8 R-Line 1.5 TSI 95 kW (130 CV) SG6","","5.5","5.5","124.3","124.3"
"Volkswagen Canarias Golf Connect 5p 1.0 TSI 85 kW (115CV) SG6","","5.5","5.5","123.6","123.6"
"Volkswagen Canarias Golf Connect 5p 1.5 TSI 96 kW (130CV) BMT EVO SG6","","5.6","5.6","126.4","126.4"
"Volkswagen Canarias Golf Connect 5p 1.6 TDI 85 kW (115CV) SG5","","5.0","5.0","130.8","130.8"
"Volkswagen Canarias Golf Connect 5p 2.0 TDI 110 kW (150CV) DSG7","","5.2","5.2","137.5","137.5"
"Volkswagen Canarias Golf Connect RAC 5p 1.0 TSI 85 kW (115CV) SG6","","5.5","5.5","123.6","123.6"
"Volkswagen Canarias Golf GTE 1.4 TSI 180 kW (245 CV)","","1.1","1.1","26.0","26.0"
"Volkswagen Canarias Golf GTI Performance 2.0 TSI 180 kW (245CV) DSG7","","7.5","7.5","169.1","169.1"
"Volkswagen Canarias Golf GTI TCR 5p 2.0 TSI 213 kW (290CV) DSG7","","7.6","7.6","172.8","172.8"
"Volkswagen Canarias Golf IQ Drive 1.0 TSI 85 kW (115CV) SG6 5p","","5.8","5.8","131.3","131.3"
"Volkswagen Canarias Golf IQ Drive 1.5 TSI 110 kW (150CV) ACT BMT DSG7 5p","","6.4","6.4","145.4","145.4"
"Volkswagen Canarias Golf IQ Drive 1.5 TSI 110 kW (150CV) ACT BMT SG6 5p","","5.9","5.9","134.2","134.2"
"Volkswagen Canarias Golf IQ Drive 1.5 TSI 96 kW (130CV) BMT EVO SG6 5p","","5.7","5.7","130.2","130.2"
